Date,MSCI USA Enhanced Value
11/1997,10000
12/1997,10387.460760605458
01/1998,10469.791561260241
02/1998,11254.088288610465
03/1998,11756.668788106132
04/1998,11671.335552247449
05/1998,11345.046887390008
06/1998,11430.351642258342
07/1998,11439.861066359195
08/1998,9732.892618160673
09/1998,9940.828590099014
10/1998,10369.636622466476
11/1998,11423.430720867154
12/1998,11607.366669130643
01/1999,12268.405766651334
02/1999,12046.300473950145
03/1999,12690.804944037503
04/1999,13983.944745841454
05/1999,14265.127347847907
06/1999,14898.522399368368
07/1999,14125.324114163925
08/1999,14206.657930324463
09/1999,12925.751215008879
10/1999,13497.337855515436
11/1999,14222.851414476982
12/1999,14689.35227459195
01/2000,14654.560224319881
02/2000,14557.72216474685
03/2000,16484.10525769452
04/2000,17522.614866056185
05/2000,16838.14798661454
06/2000,15937.881489742083
07/2000,16596.39688060925
08/2000,18494.047990896175
09/2000,17196.163983373914
10/2000,18456.382675380013
11/2000,17066.01140798571
12/2000,16366.747241208697
01/2001,17579.60354689214
02/2001,16755.163643884334
03/2001,17247.110573760656
04/2001,18188.775595072195
05/2001,18862.904960807897
06/2001,19062.45676284872
07/2001,18663.090235445718
08/2001,17038.805399993067
09/2001,15416.33318555678
10/2001,15474.797035580523
11/2001,17231.914948590867
12/2001,17470.63720032156
01/2002,17962.510576735167
02/2002,17558.209621977956
03/2002,18432.72602785897
04/2002,17662.445167610822
05/2002,17144.75185690915
06/2002,14679.038393577883
07/2002,13661.574545099165
08/2002,13842.264131438742
09/2002,12007.523634135458
10/2002,12858.565756850785
11/2002,13540.276390118766
12/2002,12273.477643004124
01/2003,11659.484859754624
02/2003,11295.40493157018
03/2003,11079.14106784983
04/2003,11722.496167061334
05/2003,12034.273318024889
06/2003,12741.093288695292
07/2003,12888.468053643595
08/2003,13610.727952946674
09/2003,12668.425753110549
10/2003,13408.917641106143
11/2003,13328.793895294131
12/2003,13475.767354255224
01/2004,14089.026329954035
02/2004,14251.012793444566
03/2004,14340.099829994264
04/2004,14421.557119184583
05/2004,14209.67002431907
06/2004,14734.653529838188
07/2004,14395.300595175931
08/2004,14331.00679829201
09/2004,14381.578954077933
10/2004,14158.407367348582
11/2004,14645.486738751695
12/2004,14894.953950541902
01/2005,15307.462575070329
02/2005,15566.923502059839
03/2005,15835.355813739192
04/2005,15325.464839541813
05/2005,16677.980786603126
06/2005,17096.996953130445
07/2005,17776.359993763148
08/2005,17690.694372348735
09/2005,18387.37355938848
10/2005,17985.101862837786
11/2005,19145.957877433168
12/2005,19349.404669044034
01/2006,19596.495329582005
02/2006,19914.382188891494
03/2006,19748.98036252022
04/2006,19526.22002796416
05/2006,18521.469601975114
06/2006,18795.107046577057
07/2006,18923.16125680609
08/2006,19313.72467259499
09/2006,20009.0983647728
10/2006,20666.675074785184
11/2006,20297.788599020438
12/2006,20625.522128734607
01/2007,21468.62143798424
02/2007,20675.016663758277
03/2007,20883.460809436358
04/2007,21304.89752084039
05/2007,22264.555939131555
06/2007,21642.1509524909
07/2007,20392.676675129576
08/2007,20551.279538226972
09/2007,20261.581401948424
10/2007,20018.069478904777
11/2007,18809.94485788116
12/2007,18537.955332515783
01/2008,17517.391809136465
02/2008,16734.022224880267
03/2008,15558.284606844272
04/2008,16677.525721174658
05/2008,17050.16398319088
06/2008,15183.687914035358
07/2008,15111.218538147188
08/2008,16311.128759213465
09/2008,15186.09780696722
10/2008,13898.988007258218
11/2008,12711.127438105843
12/2008,12259.568603617337
01/2009,12206.069387842377
02/2009,10526.900771034256
03/2009,10998.43774239722
04/2009,12656.044011980586
05/2009,13000.475504040603
06/2009,13000.52854889744
07/2009,14239.888550889378
08/2009,15033.418795581763
09/2009,15166.959104381334
10/2009,14580.147549705789
11/2009,15197.837396142571
12/2009,16334.431796948393
01/2010,16377.001659693746
02/2010,17498.27542892427
03/2010,18661.160475426772
04/2010,19062.281750014667
05/2010,18767.661118257256
06/2010,17448.277326171275
07/2010,17504.19044202224
08/2010,17025.505998520915
09/2010,17399.970003099115
10/2010,17809.378853181333
11/2010,18789.864067710223
12/2010,19739.866198266653
01/2011,19975.9035723888
02/2011,20641.684809235565
03/2011,20236.027295414533
04/2011,19771.705430146514
05/2011,20118.083875692173
06/2011,19615.121291059706
07/2011,18953.278523011602
08/2011,17219.29821929461
09/2011,16731.474989893515
10/2011,18221.444433971683
11/2011,18842.825894217138
12/2011,19719.0822096429
01/2012,20448.195355060823
02/2012,20920.13219683849
03/2012,21579.465851338406
04/2012,21376.07643601232
05/2012,20943.40595480896
06/2012,21477.148469772426
07/2012,22030.054299628737
08/2012,22067.283512952592
09/2012,22110.510936857037
10/2012,21893.693916525623
11/2012,21818.221826458313
12/2012,22422.858225735712
01/2013,23275.290361598254
02/2013,24435.731606080437
03/2013,26403.85218281921
04/2013,26360.55061559508
05/2013,27573.326615564678
06/2013,27281.274219545634
07/2013,28533.57762921947
08/2013,27671.9674307651
09/2013,27867.834950533328
10/2013,28924.78403526693
11/2013,30145.67861970733
12/2013,30517.25263288184
01/2014,30092.14960802185
02/2014,30582.986123311595
03/2014,31421.043324894366
04/2014,31380.1848992506
05/2014,32778.70523993739
06/2014,33537.1130021703
07/2014,34098.43196181273
08/2014,35979.40741923858
09/2014,37057.99971743595
10/2014,37616.23939671952
11/2014,39030.469996339
12/2014,40541.003129768214
01/2015,41305.974520110365
02/2015,44072.23645366896
03/2015,45362.52702368186
04/2015,43751.38480982055
05/2015,45608.96447811984
06/2015,43262.0113005488
07/2015,43919.35058714575
08/2015,40310.92733956954
09/2015,39180.034362831335
10/2015,42772.35957366016
11/2015,44206.17797378071
12/2015,42030.62063077805
01/2016,38464.59598294318
02/2016,39033.04470237648
03/2016,39927.727614604664
04/2016,40153.441845776826
05/2016,41625.839447219085
06/2016,41293.91667842109
07/2016,43109.28468150572
08/2016,43525.358350439914
09/2016,43717.0977970968
10/2016,44015.95668750357
11/2016,48428.73800666505
12/2016,49914.744429333754
01/2017,49563.068523346934
