Date,MSCI USA High Dividend Yield
06/1994,10000
07/1994,9967.441129541136
08/1994,10319.59421945665
09/1994,10030.580248695554
10/1994,9991.452720359028
11/1994,9866.688535048208
12/1994,10087.587353992649
01/1995,10352.317541129145
02/1995,10551.390264943464
03/1995,10344.497520187204
04/1995,10471.950917282024
05/1995,11195.844080802213
06/1995,11169.56143888409
07/1995,11264.486866757075
08/1995,11756.143933114474
09/1995,12615.7877412292
10/1995,12490.37364310078
11/1995,13101.705719268155
12/1995,13859.980043404617
01/1996,14384.850970642692
02/1996,14560.777724090547
03/1996,14702.147506934947
04/1996,14909.385752104297
05/1996,15344.18507124601
06/1996,15376.570844825019
07/1996,14664.719605564866
08/1996,14719.127170148271
09/1996,15502.083878743768
10/1996,16340.329542389467
11/1996,17173.015284291894
12/1996,17455.08528930844
01/1997,18957.213360453894
02/1997,20307.66817732753
03/1997,19486.287305323505
04/1997,20308.34923804466
05/1997,21482.648596380892
06/1997,22663.469803302247
07/1997,24740.737257417208
08/1997,24342.80609123378
09/1997,25020.86035533948
10/1997,24257.842196825357
11/1997,24904.742388376475
12/1997,26232.457141295934
01/1998,26611.89444560821
02/1998,27965.9700199463
03/1998,29738.58836700819
04/1998,29336.455947682956
05/1998,28711.85601035506
06/1998,29110.019764344965
07/1998,28716.566977169252
08/1998,25456.894650194285
09/1998,26168.272940120725
10/1998,26638.505250002574
11/1998,28810.269071576742
12/1998,29066.97763927461
01/1999,29946.242590607337
02/1999,30096.49886781061
03/1999,30774.002190734962
04/1999,34310.76430811872
05/1999,34160.6483469403
06/1999,35500.7958943587
07/1999,33176.52039680025
08/1999,32017.48130965957
09/1999,30444.033676891137
10/1999,32220.281688111452
11/1999,33131.28309988328
12/1999,32184.61407221627
01/2000,31882.744052789574
02/2000,28741.290766599403
03/2000,32758.1857480795
04/2000,34347.95622041285
05/2000,34118.135630509285
06/2000,30993.680706884144
07/2000,31966.226118298466
08/2000,34540.514114070626
09/2000,36675.00816164186
10/2000,40402.4898830474
11/2000,38611.104698174706
12/2000,37549.215812425384
01/2001,36934.35700793731
02/2001,36885.57920030257
03/2001,37600.86579232585
04/2001,38533.65688048018
05/2001,41236.7875098716
06/2001,39927.24308488818
07/2001,39298.87836227642
08/2001,36415.4342428502
09/2001,35556.24699885324
10/2001,34853.27677755627
11/2001,36648.06644430388
12/2001,37520.050110996875
01/2002,38237.769519913
02/2002,39016.28330349803
03/2002,39743.18102319603
04/2002,37240.965085591764
05/2002,36188.13525328371
06/2002,32171.36507296221
07/2002,31137.86090565723
08/2002,30863.77022301044
09/2002,27043.718599554453
10/2002,28566.642566847728
11/2002,29530.17020841968
12/2002,27098.426753621356
01/2003,25524.50753735339
02/2003,24976.94109865315
03/2003,24912.0932397572
04/2003,26526.42488597061
05/2003,26159.16013531259
06/2003,27479.313303548446
07/2003,27426.822467596292
08/2003,28803.796471980066
09/2003,26875.40133524021
10/2003,27905.577450707387
11/2003,27173.719297858715
12/2003,27694.747617326542
01/2004,28621.58481033594
02/2004,28894.700101829876
03/2004,28837.62905601121
04/2004,29312.985161492234
05/2004,28749.559123259503
06/2004,29456.814932729063
07/2004,29449.935830208477
08/2004,29974.69959175903
09/2004,29241.424095245355
10/2004,28568.03258230583
11/2004,28285.735322815595
12/2004,28457.200667874524
01/2005,29135.044433063435
02/2005,29786.26805496607
03/2005,29915.377129768527
04/2005,29985.07549820542
05/2005,31835.0534287127
06/2005,32324.930943571748
07/2005,32721.754782862114
08/2005,32120.646468186
09/2005,32791.750885370435
10/2005,32028.529206988846
11/2005,33597.09049107807
12/2005,33749.48148359448
01/2006,33356.000183113865
02/2006,34429.60221354315
03/2006,34043.1665294766
04/2006,33871.48389063139
05/2006,32180.30095478325
06/2006,32710.40537681336
07/2006,33746.8836273034
08/2006,34285.131343296074
09/2006,35404.2149870513
10/2006,36071.841227537596
11/2006,35151.02220828025
12/2006,36246.21180998605
01/2007,37159.80781541351
02/2007,35780.60446999851
03/2007,35908.97147745431
04/2007,36603.2047356336
05/2007,37984.321018578215
06/2007,36858.62750841937
07/2007,34908.93336528999
08/2007,35745.005969709215
09/2007,35501.85883468925
10/2007,34757.72730134875
11/2007,32970.94739662084
12/2007,32097.217028241066
01/2008,30909.576090254523
02/2008,28540.234483075452
03/2008,27690.01145822389
04/2008,28607.68609087073
05/2008,28282.214219232625
06/2008,24996.695349280097
07/2008,25995.78531502636
08/2008,28062.308636252325
09/2008,28149.870310023078
10/2008,27606.567675951595
11/2008,26300.71503993667
12/2008,24268.58004286052
01/2009,22475.362719983725
02/2009,19756.31800174116
03/2009,20669.841533934108
04/2009,22807.710071720354
05/2009,22962.65147034551
06/2009,22945.603067064894
07/2009,24724.93868710885
08/2009,25040.487050492724
09/2009,25274.041269085745
10/2009,24638.753383914252
11/2009,25898.370552805784
12/2009,27400.81301011758
01/2010,27606.884169539902
02/2010,28857.589765263045
03/2010,30547.69005624502
04/2010,31344.62240771322
05/2010,31577.02553215305
06/2010,30812.50386728708
07/2010,30888.42240846213
08/2010,31287.342717895765
09/2010,30999.317114019676
10/2010,31383.097514540146
11/2010,33136.014721663465
12/2010,33864.51418921405
01/2011,33424.350284564665
02/2011,34455.44555497898
03/2011,33927.272383952324
04/2011,33898.827589040404
05/2011,34961.790416082884
06/2011,34354.53718613195
07/2011,33969.706518831925
08/2011,32827.51554197444
09/2011,33715.852709532715
10/2011,34939.49531245312
11/2011,36996.76459981066
12/2011,39563.96736710841
01/2012,39075.252342437314
02/2012,39465.36499931013
03/2012,40613.99509304025
04/2012,41096.26389013009
05/2012,41974.13212105218
06/2012,43413.11562624436
07/2012,45498.15933176096
08/2012,44459.30445284384
09/2012,44214.89025696089
10/2012,43570.10883856198
11/2012,43261.330234785564
12/2012,42475.83414567019
01/2013,43597.859131711186
02/2013,45951.11135098241
03/2013,49181.62226065953
04/2013,49506.16943975936
05/2013,49715.25002678566
06/2013,48998.14761036416
07/2013,50314.89772462302
08/2013,48846.99115186751
09/2013,48629.035080620626
10/2013,50579.047164003954
11/2013,51812.84610269087
12/2013,51872.98316210493
01/2014,50705.40927533316
02/2014,51525.93627381505
03/2014,52984.5714629877
04/2014,54088.373195200154
05/2014,55737.10294058239
06/2014,56474.09936653814
07/2014,56682.254639128856
08/2014,59628.58558115259
09/2014,62088.06052125851
10/2014,63851.16318281452
11/2014,65775.54159206324
12/2014,67080.75176636814
01/2015,69658.01024981654
02/2015,72776.77353498696
03/2015,74153.15002950968
04/2015,72604.33139858038
05/2015,74398.23222083042
06/2015,70521.14984774221
07/2015,72982.81632639036
08/2015,67455.71730032314
09/2015,67270.47594181122
10/2015,74079.66074518677
11/2015,77186.97921440458
12/2015,74569.38487687161
01/2016,72928.06344290203
02/2016,73697.05346955707
03/2016,74975.74078746654
04/2016,75075.54746804819
05/2016,77900.8528108888
06/2016,80617.91013521454
07/2016,82609.47397987261
08/2016,81957.13762291067
09/2016,81757.87124891866
10/2016,81940.96133183948
11/2016,85843.04188176256
12/2016,88645.43232383845
01/2017,87584.74354982405
02/2017,92803.80870005788
03/2017,92050.77079035687
04/2017,90067.80648639724
05/2017,89143.94721877019
06/2017,87843.09284425345
07/2017,86888.02460088313
08/2017,86355.8573918014
09/2017,88247.009657941
10/2017,90674.69382787409
11/2017,92124.45613037857
12/2017,92287.17701833256
01/2018,92358.60572009714
02/2018,89910.71798146995
03/2018,87714.24342821681
04/2018,89051.78723203903
05/2018,92747.20067015392
06/2018,93453.02337897649
07/2018,96968.99222043628
08/2018,99247.4934924404
09/2018,101143.35361590916
10/2018,99302.06032323287
11/2018,102769.75292507229
12/2018,93538.10596960719
01/2019,98216.35437681669
02/2019,102878.44567918943
03/2019,105213.225653839
04/2019,107102.5476920504
05/2019,100776.9430967007
06/2019,105359.16996933376
07/2019,108119.18732700523
08/2019,108225.65703465648
09/2019,113586.0394079586
10/2019,111638.06666394645
11/2019,115641.23895907865
12/2019,115603.8161132403
01/2020,115338.56990205136
02/2020,105308.09105348062
03/2020,93075.37062688654
04/2020,103461.0091891021
05/2020,103850.5896193001
06/2020,102228.7691370346
07/2020,99692.94223811541
08/2020,102323.78695055905
09/2020,102150.10760154722
10/2020,99549.71746326817
11/2020,106758.90977496226
12/2020,106495.54766845249
01/2021,106270.66523565154
02/2021,107773.0544525172
03/2021,119845.16411387344
04/2021,119081.46964115328
05/2021,120520.49507386886
06/2021,122718.92849321794
07/2021,124954.23673777947
08/2021,127852.5261209094
09/2021,124275.8196087868
10/2021,128208.91009477501
11/2021,129353.11268683936
12/2021,139453.6367921481
01/2022,138636.3782699614
02/2022,135151.47706932723
03/2022,139844.45484374312
04/2022,141822.546253287
05/2022,142788.95067937596
06/2022,138030.97155761727
07/2022,145841.368738174
08/2022,143534.1946171208
09/2022,135688.72705610254
10/2022,146490.26624243372
11/2022,149962.8885179062
12/2022,141266.9675317656
01/2023,141407.25750453345
02/2023,139394.36976509867
03/2023,137234.4674689587
04/2023,136388.21492069456
05/2023,133934.80733325024
06/2023,139036.15644755313
07/2023,141747.85478186308
08/2023,140987.48431638684
09/2023,139301.2572219041
10/2023,134250.48547624002
11/2023,138529.5970833358
12/2023,144311.2136910628
01/2024,148338.5000756127
02/2024,152427.0156457955
03/2024,159152.10319185848
04/2024,154262.8934624269
05/2024,155238.99286254405
06/2024,157596.07967786703
07/2024,163034.26548126873
08/2024,163633.33910696176
09/2024,164877.75962974838
10/2024,166921.86858746392
