Date,MSCI USA Leveraged 2x Daily
10/2012,10000
11/2012,10022.590085820639
12/2012,9910.847059894231
01/2013,10345.244197078262
02/2013,11404.845940739024
03/2013,12706.849216972307
04/2013,12504.444595395724
05/2013,13443.697200269751
06/2013,12970.720462620586
07/2013,13748.426204615413
08/2013,13145.446628976271
09/2013,13288.978162903271
10/2013,14336.244783500853
11/2013,15088.017407221201
12/2013,15501.219220993342
01/2014,15066.251258742324
02/2014,15699.840663680601
03/2014,15948.757982944011
04/2014,15904.973460269357
05/2014,17173.722896086092
06/2014,17772.1040437614
07/2014,18056.228851937627
08/2014,20119.733335683446
09/2014,21156.280998681137
10/2014,22446.689250369465
11/2014,23841.85193997593
12/2014,25028.177084924766
01/2015,27059.03038074893
02/2015,30623.8873883309
03/2015,32360.36844896337
04/2015,30187.363014617666
05/2015,32267.142395989547
06/2015,29968.826851824237
07/2015,31566.811672664906
08/2015,26738.30122306423
09/2015,25362.143792938776
10/2015,30224.63467624252
11/2015,33193.40958759549
12/2015,30155.936399543778
01/2016,27053.145409541627
02/2016,26560.93955654678
03/2016,27482.24187626509
04/2016,27418.01935747152
05/2016,30023.68324123894
06/2016,30231.28696329499
07/2016,32109.08910309231
08/2016,32400.580498004885
09/2016,31814.397352440654
10/2016,32156.389005072684
11/2016,36737.23306857862
12/2016,38468.38166087457
01/2017,38090.06445163535
02/2017,42476.42898221357
03/2017,41962.57764126728
04/2017,41332.64664697271
05/2017,39741.962984896876
06/2017,39059.613635357615
07/2017,38002.968857745924
08/2017,37515.1572879871
09/2017,39462.94265192249
10/2017,42464.81935901561
11/2017,42953.09947461408
12/2017,43232.67361074428
01/2018,44844.51095756358
02/2018,43158.90676443795
03/2018,40228.0986056396
04/2018,41887.104821184665
05/2018,46984.37656283619
06/2018,47534.4637407322
07/2018,50720.38868163326
08/2018,54664.15745372076
09/2018,55304.63913692966
10/2018,50055.00890692294
11/2018,51901.28011333573
12/2018,41831.80181346205
01/2019,48453.208666038045
02/2019,52459.80738135312
03/2019,55883.71935807099
04/2019,60633.49525249262
05/2019,53650.95280059928
06/2019,58748.84126146407
07/2019,63290.324814772306
08/2019,62073.31838395927
09/2019,65530.23865411293
10/2019,65210.84867165789
11/2019,71781.6937393976
12/2019,73283.83580212972
01/2020,75354.5403474902
02/2020,64201.89991008736
03/2020,45369.96648415322
04/2020,57504.59927019516
05/2020,61363.82685806082
06/2020,62413.02053041829
07/2020,63089.5173272167
08/2020,71178.92814927886
09/2020,68205.5911292832
10/2020,65326.042387716894
11/2020,76892.15761006316
12/2020,79600.10240571179
01/2021,79065.10707305484
02/2021,83131.4779934695
03/2021,95111.67777526911
04/2021,100683.74092034249
05/2021,98382.28861619
06/2021,110368.01564309238
07/2021,115493.15978927705
08/2021,123410.96622214241
09/2021,116058.97066221313
10/2021,133023.3389435345
11/2021,137459.13652300835
12/2021,145042.56993838339
01/2022,132422.97332470075
02/2022,123627.50641807698
03/2022,134415.16926893403
04/2022,122974.92221504095
05/2022,117759.43241288264
06/2022,103303.81515230716
07/2022,129299.44406142615
08/2022,122126.88294033786
09/2022,105305.68453643228
10/2022,119738.45236345538
11/2022,121813.71065426253
12/2022,99914.29609512204
01/2023,109119.61011005226
02/2023,108541.84545214899
03/2023,110109.17475640787
04/2023,108895.8686704262
05/2023,117640.29948374807
06/2023,127263.70928925948
07/2023,132804.53994588275
08/2023,131690.64740718278
09/2023,125104.842650432
10/2023,119133.93496451814
11/2023,133141.33743320763
12/2023,141711.7128498658
01/2024,150339.06748923045
02/2024,167265.82904915253
03/2024,177968.33636072883
04/2024,165913.03534480557
05/2024,175856.70153623624
06/2024,192749.96997376997
07/2024,192721.5340434964
08/2024,191592.17647779372
09/2024,195578.48297665745
10/2024,202712.19988930554
