Date,MSCI USA Mid-Cap Equal Weighted
05/1994,10000
06/1994,9572.238809201624
07/1994,9589.22057704918
08/1994,10093.857475791892
09/1994,9788.472479298587
10/1994,9623.835884695016
11/1994,9326.036373040244
12/1994,9678.6854164605
01/1995,9653.742499394133
02/1995,10043.083298178333
03/1995,9911.505538319765
04/1995,9870.947092497741
05/1995,10251.925568303506
06/1995,10600.709915048543
07/1995,11027.96268385936
08/1995,11522.445193481117
09/1995,11935.598566846593
10/1995,11507.62673238352
11/1995,12079.89080188315
12/1995,12358.746932183458
01/1996,12678.243110617363
02/1996,13038.887150837989
03/1996,13277.726680491307
04/1996,13868.474684684685
05/1996,14282.311852153383
06/1996,13789.562633492205
07/1996,12748.172295942722
08/1996,13295.985797398504
09/1996,13996.248396946565
10/1996,14006.238072904205
11/1996,14578.294009448819
12/1996,14882.940381488936
01/1997,15703.988544973543
02/1997,16279.681960141488
03/1997,15671.3637702915
04/1997,16002.012565812565
05/1997,17284.90167439419
06/1997,18124.495881104034
07/1997,19948.541553009636
08/1997,20550.40332179931
09/1997,21082.404152627267
10/1997,19719.12095851216
11/1997,19595.504138716173
12/1997,20554.23254609227
01/1998,20769.097065047383
02/1998,22326.63784815937
03/1998,23473.532479498757
04/1998,23490.43385375675
05/1998,22161.538832011538
06/1998,22414.24945533769
07/1998,21180.82416742493
08/1998,17106.123555958315
09/1998,17374.72091231102
10/1998,17901.840592395372
11/1998,19264.94608338327
12/1998,19953.243484178292
01/1999,20425.757259311315
02/1999,20192.54178979851
03/1999,21312.548456525787
04/1999,23720.805994149287
05/1999,24322.11596021423
06/1999,25612.94769945778
07/1999,24104.812822143263
08/1999,23742.3829149721
09/1999,22780.004095639943
10/1999,24199.178080933707
11/1999,26418.809911855
12/1999,29093.90606410512
01/2000,28544.067866407928
02/2000,31447.017401688285
03/2000,32654.115557416517
04/2000,32231.689439735826
05/2000,30576.468115661613
06/2000,31067.129275847637
07/2000,31747.93505139024
08/2000,36015.01511789805
09/2000,35443.00259669138
10/2000,35407.36853510752
11/2000,30395.17682174114
12/2000,30302.716337452985
01/2001,32210.413653287425
02/2001,29318.614480968863
03/2001,28531.773514492754
04/2001,31527.88337088779
05/2001,33647.68613207547
06/2001,33577.674660377364
07/2001,31404.367223300975
08/2001,28509.99643590304
09/2001,24670.64268973825
10/2001,26045.337013934975
11/2001,28769.238138907618
12/2001,30426.608909565417
01/2002,30582.476767396085
02/2002,29909.796841983585
03/2002,31697.45333333334
