Date,MSCI USA Momentum
06/1994,10000
07/1994,9999.155636555857
08/1994,10480.720986062828
09/1994,10063.46731609075
10/1994,10054.290573601671
11/1994,9701.454120895507
12/1994,10068.544362572633
01/1995,9988.072320658175
02/1995,10288.758979119286
03/1995,10343.294600178948
04/1995,10582.902247608841
05/1995,11147.3379521906
06/1995,11472.647776303347
07/1995,11740.324000072218
08/1995,12023.438773419175
09/1995,12756.86665014218
10/1995,12914.839722428907
11/1995,13310.819788587716
12/1995,13643.456600044157
01/1996,14484.566666716562
02/1996,14824.165346381582
03/1996,14798.220871462652
04/1996,15200.015343917956
05/1996,16009.484705015828
06/1996,16114.237758345733
07/1996,15252.217863873979
08/1996,15508.350167804536
09/1996,16701.98798564223
10/1996,17274.11172538421
11/1996,18277.133945611484
12/1996,18211.019117110307
01/1997,20417.411501925482
02/1997,21365.729881032978
03/1997,20435.908695468013
04/1997,22605.07245528978
05/1997,23690.001528514313
06/1997,25275.20222071365
07/1997,28183.34047544061
08/1997,26802.639952097557
09/1997,27533.676062276987
10/1997,26240.63245128642
11/1997,26703.582583495387
12/1997,27899.287247776298
01/1998,29295.902656062222
02/1998,31108.794991161973
03/1998,33300.684956107616
04/1998,34423.296456147524
05/1998,33071.48964635942
06/1998,35877.139779616125
07/1998,36522.577503460016
08/1998,30642.838199991424
09/1998,30610.696932610812
10/1998,32219.63289139152
11/1998,35891.56697177712
12/1998,39311.41294317427
01/1999,42333.95779380153
02/1999,42651.71216311014
03/1999,46265.58768458112
04/1999,47028.97657151693
05/1999,46340.29998776238
06/1999,50711.79895491418
07/1999,47338.11122241317
08/1999,47663.48101686347
09/1999,47131.62839531641
10/1999,52064.445049009
11/1999,56121.45298928626
12/1999,64544.88393351172
01/2000,61677.43558592447
02/2000,64344.08319366061
03/2000,71503.48447913112
04/2000,71237.40297779703
05/2000,65273.748572425306
06/2000,67361.26397777538
07/2000,68425.51350762568
08/2000,76772.52431153003
09/2000,70767.03754624545
10/2000,70365.16071708722
11/2000,65366.09732692787
12/2000,62961.105375940555
01/2001,60515.16601769566
02/2001,55863.63948930834
03/2001,53968.3682918372
04/2001,57595.64595626128
05/2001,60326.137178172634
06/2001,58260.48167637857
07/2001,56297.9502431365
08/2001,52374.61198915867
09/2001,49117.57029749723
10/2001,49289.41140950051
11/2001,53353.188086502974
12/2001,54765.51941388151
01/2002,56573.563448869565
02/2002,57034.15582269169
03/2002,58513.42053411469
04/2002,56708.375329328024
05/2002,54488.03725522373
06/2002,48634.66503428512
07/2002,46557.43918065933
08/2002,46893.70902158281
09/2002,43714.17983014739
10/2002,44161.26943979782
11/2002,43367.559641292886
12/2002,40212.46938623516
01/2003,38281.07505655905
02/2003,38064.037840002755
03/2003,38058.51615168919
04/2003,39506.034621154264
05/2003,38940.46776234573
06/2003,40932.213785955806
07/2003,42443.936763127036
08/2003,44574.389518241645
09/2003,41482.340975453444
10/2003,44195.18038746708
11/2003,43245.176635893484
12/2003,41949.69417754201
01/2004,43850.14439292665
02/2004,44317.352809647615
03/2004,44789.33866518918
04/2004,43791.05752550141
05/2004,43939.56857582735
06/2004,45448.317583942306
07/2004,43603.52144023159
08/2004,43663.45113032002
09/2004,44920.30535084872
10/2004,44097.23969278169
11/2004,45501.37290762958
12/2004,45275.333742048606
01/2005,46325.994922654114
02/2005,48261.3302758144
03/2005,48851.58913341853
04/2005,46966.490937842835
05/2005,51223.25727763751
06/2005,54139.477470870304
07/2005,56375.504611461714
08/2005,56819.135385079724
09/2005,59859.03593977217
10/2005,58115.03329851088
11/2005,61202.77250421805
12/2005,62098.7503566629
01/2006,64415.38413888708
02/2006,63245.54884194968
03/2006,63145.08574221259
04/2006,61681.083559287996
05/2006,57585.87779973737
06/2006,58808.33534068057
07/2006,56639.602390315114
08/2006,55817.92487215023
09/2006,57766.04242374418
10/2006,60378.01295190964
11/2006,60449.98814115135
12/2006,61405.16453251791
01/2007,64786.027830394814
02/2007,61653.46377441507
03/2007,62540.13156218575
04/2007,63530.21567480596
05/2007,66543.19353030776
06/2007,64445.881646643116
07/2007,61417.6698802711
08/2007,62193.34559279357
09/2007,64341.798959048254
10/2007,65911.75489587561
11/2007,62353.51609610228
12/2007,64469.29025682049
01/2008,56419.07499836096
02/2008,55072.25342563046
03/2008,52595.38808165007
04/2008,57996.257961613264
05/2008,60442.1791591818
06/2008,58646.84430513645
07/2008,53791.85291455721
08/2008,56533.51050186306
09/2008,49195.946534202005
10/2008,47182.33937583975
11/2008,43286.47327001428
12/2008,40152.19734554356
01/2009,39609.88223913268
02/2009,36140.583344573446
03/2009,36495.9370407649
04/2009,38677.356079990575
05/2009,38009.92991394757
06/2009,38801.803041249135
07/2009,41330.86225758804
08/2009,41439.30290934822
09/2009,41926.21463839565
10/2009,40248.24885593267
11/2009,42342.96768179057
12/2009,45426.94824746986
01/2010,43844.0159403677
02/2010,47279.01131330301
03/2010,51089.880057094524
04/2010,52006.128200767715
05/2010,52412.24050710079
06/2010,49683.8391645735
07/2010,50393.6138818525
08/2010,49503.313582475894
09/2010,50746.79021585974
10/2010,52435.572921043284
11/2010,56932.44269045278
12/2010,57675.94491032354
01/2011,56587.16696750737
02/2011,58238.35679957061
03/2011,57847.66008357601
04/2011,57437.993770803994
05/2011,59013.41232786953
06/2011,58318.158169690694
07/2011,57988.246628339315
08/2011,53939.596805211804
09/2011,54805.72565222765
10/2011,57196.23575584706
11/2011,59873.14750256797
12/2011,62822.96112920681
01/2012,62877.355121802626
02/2012,64713.7562600208
03/2012,67920.850329694
04/2012,69871.27270537191
05/2012,70915.66247490887
06/2012,71974.85479575858
07/2012,74733.40095885741
08/2012,73738.69773949933
09/2012,73200.08866368949
10/2012,71103.11096135335
11/2012,72350.11962618674
12/2012,70418.54313346709
01/2013,71528.08309870797
02/2013,75305.85864283016
03/2013,81056.4686290698
04/2013,81670.07306934336
05/2013,81970.08810820906
06/2013,80690.63952497025
07/2013,84465.48040960035
08/2013,81764.49601454634
09/2013,82620.05856003881
10/2013,86048.88838029475
11/2013,88839.10554891384
12/2013,90293.26851326782
01/2014,90056.75410587025
02/2014,93951.68875662108
03/2014,90923.60106460948
04/2014,89710.81381609896
05/2014,94921.09232222181
06/2014,96509.90852615492
07/2014,97454.99690402065
08/2014,103417.85786570008
09/2014,107704.14756784207
10/2014,110717.02337868119
11/2014,115229.52735637191
12/2014,117179.4527765424
01/2015,125106.40736169471
02/2015,132612.2866162066
03/2015,136894.51062308028
04/2015,130171.21643989299
05/2015,137372.62724881628
06/2015,134297.76764598084
07/2015,142092.04963357464
08/2015,130626.45077274475
09/2015,128202.45199523165
10/2015,139840.568179974
11/2015,146330.99159428716
12/2015,142049.23477459475
01/2016,136390.55491148075
02/2016,134944.51816984243
03/2016,135792.50775025005
04/2016,134674.62245573028
05/2016,141024.9708918749
06/2016,145853.85531475622
07/2016,149580.92825734933
08/2016,147078.14237520535
09/2016,147350.06686302426
10/2016,147250.0666792178
11/2016,150576.5515073898
12/2016,153514.96501806594
01/2017,155415.4177795127
02/2017,163514.7467248349
03/2017,165497.30389087135
04/2017,165942.03903591834
05/2017,169352.7423888274
06/2017,167136.78029353896
07/2017,168185.3506090242
08/2017,169196.6495704935
09/2017,174263.17196949158
10/2017,185566.95708450215
11/2017,187264.0329305502
12/2017,185176.93453016167
01/2018,192862.8411093951
02/2018,193829.11651812645
03/2018,185105.4333166036
04/2018,190191.9786968019
05/2018,203126.0242803729
06/2018,203529.636044632
07/2018,205887.45518556575
08/2018,219461.50455402242
09/2018,222913.98644868468
10/2018,205581.73282190177
11/2018,207575.26313622275
12/2018,190042.0014683848
01/2019,201956.48337549856
02/2019,210416.33129675323
03/2019,218333.98125485776
04/2019,223639.17798570264
05/2019,219747.14619124765
06/2019,228672.4800235884
07/2019,237539.65417525364
08/2019,240578.3391189642
09/2019,240789.28717692275
10/2019,236458.7317559897
11/2019,248159.3469965688
12/2019,246847.43085034098
01/2020,260083.46069917298
02/2020,242513.43991587276
03/2020,215178.4489749274
04/2020,242126.35017970816
05/2020,250535.03523607884
06/2020,259947.221922888
07/2020,262457.5218270779
08/2020,285535.0033227584
09/2020,279861.66587898164
10/2020,268354.9046553022
11/2020,289021.85305651097
12/2020,291921.5735214727
01/2021,300112.8466241729
02/2021,298679.03563488164
03/2021,304910.2220634296
04/2021,316938.768536969
05/2021,308670.2892529466
06/2021,322902.84859151155
07/2021,325651.71410443453
08/2021,340757.9031918942
09/2021,336071.5725948868
10/2021,362731.38720044453
11/2021,356993.51643695857
12/2021,356254.2102122903
01/2022,328867.4155683184
02/2022,318799.08125836274
03/2022,336477.81331801374
04/2022,309697.701726006
05/2022,305403.4721625772
06/2022,294408.2858523072
07/2022,315249.58261483687
08/2022,315172.93899832334
09/2022,303628.3780342331
10/2022,335882.4150853984
11/2022,332300.7684926569
12/2022,310704.09377483005
01/2023,303863.95558901096
02/2023,297460.2027017804
03/2023,291398.1509568619
04/2023,295549.2907091707
05/2023,289025.5013186792
06/2023,303880.05532244977
07/2023,304714.04337677883
08/2023,309866.1241833322
09/2023,302601.2422362447
10/2023,296946.85838805896
11/2023,315348.65834014496
12/2023,326852.5735700857
01/2024,351958.01133557386
02/2024,387810.851478946
03/2024,401734.07473676786
04/2024,385534.7511980768
05/2024,402740.44705316884
06/2024,423771.69086434616
07/2024,410089.3594393616
08/2024,411986.80974981
09/2024,420444.80618613726
10/2024,431469.787261892
