Date,MSCI USA Quality (EUR Hedged)
06/1994,10000
07/1994,10237.081075202554
08/1994,10867.061801792004
09/1994,10792.807815700276
10/1994,11163.473564010077
11/1994,11059.070888691522
12/1994,11163.292309365426
01/1995,11507.494879556289
02/1995,11939.847625262064
03/1995,12304.350715653754
04/1995,12709.69651930664
05/1995,13225.003474047355
06/1995,13838.6108644034
07/1995,14276.280413018916
08/1995,14185.230163189597
09/1995,14826.3278413176
10/1995,15139.656703703033
11/1995,15661.247152791622
12/1995,15641.188305450327
01/1996,16253.164404004521
02/1996,16516.52740268136
03/1996,16445.89850948264
04/1996,16918.24811344124
05/1996,17596.321739077895
06/1996,17812.860621220087
07/1996,17234.597886570842
08/1996,17511.192474307158
09/1996,18761.42659488983
10/1996,19026.300048938756
11/1996,20748.40042776096
12/1996,20419.181574861188
01/1997,22180.735048002272
02/1997,22180.372538712967
03/1997,21026.324216224708
04/1997,22865.57551370587
05/1997,24161.304550095763
06/1997,25268.045410330305
07/1997,27097.08602949617
08/1997,25343.749433579236
09/1997,26350.739821041247
10/1997,25705.47328608629
11/1997,27005.733688592434
12/1997,27188.377952185023
01/1998,28148.121295608198
02/1998,30210.315806009196
03/1998,31639.26700621704
04/1998,31925.468090119808
05/1998,31333.55083890691
06/1998,33438.09851794119
07/1998,33596.99842308459
08/1998,29199.639907439294
09/1998,31801.006567459957
10/1998,34179.43001456079
11/1998,37047.12016578758
12/1998,39562.08877852495
01/1999,41315.90872016095
02/1999,39790.711303643824
03/1999,41239.29842368877
04/1999,41593.167908260984
05/1999,40656.08139541908
06/1999,43132.20109598642
07/1999,42007.63686236126
08/1999,42464.64023973948
09/1999,40905.18569538344
10/1999,43253.581289687216
11/1999,44584.292472494606
12/1999,47385.09965984545
01/2000,44474.02923033235
02/2000,43966.09329780742
03/2000,47759.45091926314
04/2000,46280.65469177647
05/2000,45184.42660093165
06/2000,48124.92070109296
07/2000,46531.269447112914
08/2000,48364.72059596527
09/2000,45810.721816413214
10/2000,46672.40639708059
11/2000,43902.71459039472
12/2000,42796.154984804816
01/2001,43997.81286062122
02/2001,39779.8360249648
03/2001,36985.735259466026
04/2001,39476.65742267979
05/2001,39666.008108124435
06/2001,38693.39568493109
07/2001,39271.35632850591
08/2001,36883.68889452792
09/2001,34791.94987704893
10/2001,35703.6003214249
11/2001,38514.85985995058
12/2001,38617.26873417798
01/2002,38933.07474337363
02/2002,38344.54091219421
03/2002,39206.165074646706
04/2002,36634.4637581338
05/2002,36208.817434280085
06/2002,33672.82328276328
07/2002,31655.51950602068
08/2002,31864.80820237685
09/2002,28606.755964788263
10/2002,31514.684647127415
11/2002,32673.86851788077
12/2002,30959.018324844572
01/2003,29972.81180330246
02/2003,29643.35127754315
03/2003,30058.24315914762
04/2003,31890.60678013207
05/2003,33239.38300918961
06/2003,33615.244723979384
07/2003,33592.708729827864
08/2003,34112.78872354437
09/2003,33836.01288116341
10/2003,35254.209639122004
11/2003,35405.919776694274
12/2003,37015.15893011425
01/2004,37290.30348069336
02/2004,37870.0162524998
03/2004,37243.35852772894
04/2004,37834.85285143765
05/2004,37898.77532278431
06/2004,38413.17600430178
07/2004,37182.63822177111
08/2004,37400.80839571514
09/2004,37362.38241104928
10/2004,37536.32645169866
11/2004,38845.95167751174
12/2004,40583.942046848286
01/2005,40105.36936675669
02/2005,41130.12270939442
03/2005,40672.39431343762
04/2005,39754.88330221795
05/2005,40862.53043567575
06/2005,40378.52011624465
07/2005,41800.8253128153
08/2005,41171.509186589574
09/2005,41115.13899210334
10/2005,40518.14661084024
11/2005,41728.565127814734
12/2005,41400.43380278286
01/2006,42040.746044117375
02/2006,42050.95672243268
03/2006,42311.17797393558
04/2006,42163.878366049794
05/2006,40937.26776748655
06/2006,41133.80822050232
07/2006,41369.378840332785
08/2006,42442.527173092145
09/2006,43261.85858512624
10/2006,44990.061203651676
11/2006,45920.74338571593
12/2006,46135.04679390742
01/2007,46724.8494075994
02/2007,45458.60446007262
03/2007,45938.627177321425
04/2007,48282.43098729404
05/2007,49922.24175744503
06/2007,49254.86215584274
07/2007,48449.78944252113
08/2007,49689.994139433154
09/2007,51313.37115513585
10/2007,52161.15954638004
11/2007,50584.2441379227
12/2007,50771.963531565496
01/2008,47126.02635442533
02/2008,46530.42359210455
03/2008,46317.93273035955
04/2008,47842.34471008319
05/2008,49126.292194570815
06/2008,45936.21044872608
07/2008,45523.85613214672
08/2008,46527.88602707944
09/2008,43165.61236881695
10/2008,36610.7798178995
11/2008,34845.72208829518
12/2008,35218.01912840683
01/2009,33613.190504673345
02/2009,30761.45076217578
03/2009,33422.450200286374
04/2009,35748.7931461577
05/2009,37597.16759408626
06/2009,38175.61158338016
07/2009,40363.3551443089
08/2009,41233.61911148973
09/2009,42617.317068749886
10/2009,42659.670237383165
11/2009,45231.06946282165
12/2009,46147.31169152876
01/2010,44134.1767716131
