Date,MSCI USA SRI Select Reduced Fossil Fuel
05/2012,10000
06/2012,10137.70386417792
07/2012,10324.215197004232
08/2012,10357.139361668385
09/2012,10319.065781902551
10/2012,10140.113554221503
11/2012,10282.283751732633
12/2012,10329.92042822495
01/2013,10630.826407380075
02/2013,11148.595590677129
03/2013,11990.780652869971
04/2013,11893.596493268054
05/2013,12160.652284330308
06/2013,11943.586431957185
07/2013,12478.772753295669
08/2013,12192.200542500947
09/2013,12471.02593187708
10/2013,12764.306363902937
11/2013,13050.077385937844
12/2013,13244.670044231745
01/2014,13093.726703906483
02/2014,13467.154592774925
03/2014,13482.85620249492
04/2014,13414.180321299636
05/2014,14023.320190343204
06/2014,14262.787077903062
07/2014,14379.627887734508
08/2014,15213.613095238097
09/2014,15633.102752920608
10/2014,16236.224198339189
11/2014,16747.110261155172
12/2014,17144.83617576806
01/2015,17879.837856700575
02/2015,19024.76748932384
03/2015,19676.479335440097
04/2015,18829.1253526527
05/2015,19567.09490793072
06/2015,18870.218395745822
07/2015,19430.650405762743
08/2015,17660.89878198841
09/2015,17374.27473890922
10/2015,18967.68487791595
11/2015,19795.13641364968
12/2015,18876.393081657025
01/2016,17752.634246336995
02/2016,17904.55296197649
03/2016,18337.52774000878
04/2016,18295.95321318951
05/2016,19019.34554509593
06/2016,19040.995778238153
07/2016,19753.59392063349
08/2016,19921.978926518146
09/2016,19868.070210554608
10/2016,19699.682860405628
11/2016,20966.131496944054
12/2016,21500.808177592255
01/2017,21682.11618503022
02/2017,22661.83883646315
03/2017,22483.35233841549
04/2017,22371.09705489478
05/2017,21924.85859459941
06/2017,21795.979270942866
07/2017,21557.782592308347
08/2017,21413.22097167019
09/2017,21934.210682703706
10/2017,22940.658285787937
11/2017,23224.206648662337
12/2017,23229.610035854246
01/2018,23636.42209119371
02/2018,23140.185910430653
03/2018,22563.866574953332
04/2018,22868.10697822667
05/2018,24093.105796221895
06/2018,24316.188954366102
07/2018,25171.970933026587
08/2018,25889.39688696249
09/2018,26232.51643054596
10/2018,24718.286965895037
11/2018,25664.535681838195
12/2018,23194.30326812227
01/2019,24844.586631267408
02/2019,26000.50581201822
03/2019,26753.375876279482
04/2019,27837.06190140845
05/2019,26238.012050937134
06/2019,27690.122558875224
07/2019,28703.118033360235
08/2019,28708.46076930047
09/2019,29484.2170520709
10/2019,29463.274237045007
11/2019,31084.7731069022
12/2019,31158.998990564363
01/2020,31703.30021986971
02/2020,29727.81140748839
03/2020,26453.03145673604
04/2020,29891.526504229496
05/2020,30919.12194234914
06/2020,31415.73126540454
07/2020,31525.226846725178
08/2020,34151.21382579565
09/2020,33854.29995216946
10/2020,32845.77982304667
11/2020,35618.123717863105
12/2020,36023.755937576396
01/2021,36322.005627883984
02/2021,36480.97736077881
03/2021,39721.01740724946
04/2021,40340.93714947857
05/2021,40291.31983935743
06/2021,42245.62618731067
07/2021,43006.92008577916
08/2021,44523.64671624134
09/2021,43400.99878141464
10/2021,47530.372930012876
11/2021,48148.64684062308
12/2021,50929.88719318382
01/2022,48151.3344003227
02/2022,46695.8607750692
03/2022,48640.95492928564
04/2022,47172.18633586338
05/2022,46074.939481937836
06/2022,43650.95365456821
07/2022,48601.58969013531
08/2022,47537.883518999995
09/2022,44305.54414751744
10/2022,47328.50436251765
11/2022,48173.09182247494
12/2022,43913.55060941309
01/2023,46564.947101449274
02/2023,46613.90558621338
03/2023,46365.43634022989
04/2023,45967.48784172661
05/2023,46738.31905738088
06/2023,49666.33303883674
07/2023,50676.252337839054
08/2023,50293.012347257994
09/2023,49063.043735133106
10/2023,47047.05866559939
11/2023,50372.41702588967
12/2023,52510.95711855203
01/2024,53460.6381959952
02/2024,55346.66326990578
03/2024,56888.17044584219
04/2024,54501.962019033395
05/2024,54900.78457980096
06/2024,57255.90923120036
07/2024,58172.73891300332
08/2024,57590.79720934428
09/2024,58544.298066273666
10/2024,59070.34178919317
