Date,MSCI USA Sector Neutral Quality
10/2016,10000
11/2016,10587.248636276989
12/2016,10892.410663027105
01/2017,10803.479496853719
02/2017,11473.511171032269
03/2017,11364.099380770827
04/2017,11175.744242124158
05/2017,11049.06138498547
06/2017,10922.987903658726
07/2017,10726.79704015265
08/2017,10688.8580972115
09/2017,10986.525996067248
10/2017,11462.781644454259
11/2017,11670.68945840534
12/2017,11655.01967432623
01/2018,11731.543394365679
02/2018,11621.095844358435
03/2018,11361.643382772038
04/2018,11431.804910614645
05/2018,12119.922913809693
06/2018,12152.366205077822
07/2018,12522.365963322425
08/2018,13070.16059159534
09/2018,13295.681844433395
10/2018,12576.214323343065
11/2018,12646.942032246714
12/2018,11449.224947337296
01/2019,12367.692155487535
02/2019,12974.046602246068
03/2019,13520.146784636267
04/2019,14051.911669228033
05/2019,13192.573061406947
06/2019,13851.580311909147
07/2019,14322.293447969221
08/2019,14217.07874077465
09/2019,14654.103942631898
10/2019,14625.47387071665
11/2019,15503.412753199582
12/2019,15592.427493432331
01/2020,15738.129702607353
02/2020,14509.56354462123
03/2020,12870.55520511607
04/2020,14565.309462610008
05/2020,15007.396596275512
06/2020,14956.696373135046
07/2020,14815.146589160682
08/2020,15721.134555072811
09/2020,15523.310611740579
10/2020,15101.674937766476
11/2020,16429.059390678667
12/2020,16632.263745547873
01/2021,16335.322426705776
02/2021,16886.77855302762
03/2021,18288.32540756468
04/2021,18609.453861619968
05/2021,18625.40095834578
06/2021,19758.7386049031
07/2021,20414.261022901544
08/2021,21088.863728613374
09/2021,20170.03866667649
10/2021,21590.71675330966
11/2021,21980.785421230696
12/2021,22823.208410524767
01/2022,21574.664650076145
02/2022,20586.36519901665
03/2022,21543.776341560286
04/2022,20857.945306231206
05/2022,20474.214410672317
06/2022,19200.352091564375
07/2022,21340.217830601574
08/2022,20660.114683758005
09/2022,19108.175532414836
10/2022,20332.621140268613
11/2022,20938.04639974453
12/2022,19226.522618077972
01/2023,20257.320284691294
02/2023,20103.476616439188
03/2023,20568.666026237122
04/2023,20706.885472369497
05/2023,21416.763356137497
06/2023,22419.366866548484
07/2023,22923.4641302279
08/2023,23147.15287109117
09/2023,22531.6016609785
10/2023,22160.744966363265
11/2023,23359.527035878884
12/2023,24208.20080580448
01/2024,25236.393234131414
02/2024,26903.680778066046
03/2024,27651.86316313747
04/2024,26654.487251052204
05/2024,27783.791523370393
06/2024,29050.79749694167
07/2024,28929.24252434474
08/2024,29235.293925252867
09/2024,29267.597333658403
10/2024,29644.61734292268
