Date,MSCI USA Small Cap
12/2000,10000
01/2001,10522.169697621866
02/2001,10136.191663062284
03/2001,10323.261152626812
04/2001,10940.189161784589
05/2001,11764.680188679245
06/2001,12294.779893867926
07/2001,11652.240719588808
08/2001,10901.521784232367
09/2001,9461.52699594787
10/2001,10363.724176067242
11/2001,11436.428523263652
12/2001,12311.360717122432
01/2002,12284.71158967234
02/2002,11898.80505143914
03/2002,12842.051925722146
04/2002,12446.05728241563
05/2002,11380.509640992863
06/2002,10030.18365914787
07/2002,8819.823622610651
08/2002,8799.106274788975
09/2002,8121.113336713997
10/2002,8389.593268450933
11/2002,9047.230784728517
12/2002,7932.7187946981985
01/2003,7499.833441198227
02/2003,7312.304303468744
03/2003,7333.826067003214
04/2003,7998.237265295122
05/2003,8431.957705971918
06/2003,8837.754966307868
07/2003,9367.89384166814
08/2003,10279.355358286813
09/2003,9454.573163405425
10/2003,10397.30868181036
11/2003,10431.623395030849
12/2003,10117.106215360254
01/2004,10760.333858204136
02/2004,10838.024601385088
03/2004,11185.563031740836
04/2004,10795.420021762784
05/2004,10802.435235284476
06/2004,11246.303948992183
07/2004,10675.591951158734
08/2004,10519.313640492113
09/2004,10747.503706986865
10/2004,10684.422234435111
11/2004,11047.719067318543
12/2004,11156.641032229645
01/2005,11147.368584579976
02/2005,11184.319416157501
03/2005,11076.280391854367
04/2005,10490.513158910242
05/2005,11752.778687859864
06/2005,12379.759220972544
07/2005,13144.495534606796
08/2005,12840.259222823415
09/2005,13088.276075402757
10/2005,12720.909382017799
11/2005,13643.142960319481
12/2005,13580.157285750614
01/2006,14293.978874401717
02/2006,14552.079705263159
03/2006,14930.358352610707
04/2006,14420.486280609395
05/2006,13246.75361361517
06/2006,13359.80763785102
07/2006,12867.604409806534
08/2006,13117.580927554274
09/2006,13467.848262243284
10/2006,14095.3599952741
11/2006,13878.407499999998
12/2006,13906.205922551253
01/2007,14348.979465802067
02/2007,13980.03879342972
03/2007,14038.546703709266
04/2007,14064.468173465639
05/2007,14821.73827399093
06/2007,14528.822176971491
07/2007,13256.383490187496
08/2007,13395.329989055086
09/2007,13178.85675999718
10/2007,13207.663978680695
11/2007,12077.588679628752
12/2007,12031.331499218806
01/2008,11181.894216543376
02/2008,10622.559042658404
03/2008,10097.796357197067
04/2008,10863.497683397683
05/2008,11454.546201960278
06/2008,10323.27299543263
07/2008,10538.057043110628
08/2008,11495.195554801492
09/2008,10661.228308746418
10/2008,9419.516343968016
11/2008,8414.34619313271
12/2008,8122.502119709708
01/2009,8023.093945068664
02/2009,7200.336167352103
03/2009,7503.921738803727
04/2009,8832.214877589455
05/2009,8649.201447013762
06/2009,8718.088474600256
07/2009,9539.895635874947
08/2009,9893.343049327355
09/2009,10233.65717407635
10/2009,9509.835743243244
11/2009,9729.339712440924
12/2009,10912.15680966264
01/2010,10881.373335242732
02/2010,11738.288356669123
03/2010,12756.458453891237
04/2010,13607.73263236951
05/2010,13583.697123588205
06/2010,12611.304376171462
07/2010,12724.02325759902
08/2010,12259.997949526814
09/2010,12717.401487397421
10/2010,13003.2959875875
11/2010,14293.247422680412
12/2010,14997.67950157162
01/2011,14813.380587204207
02/2011,15398.651727627586
03/2011,15323.678609136341
04/2011,15072.659791386273
05/2011,15337.240354535976
06/2011,14931.650384003322
07/2011,14562.390252454417
08/2011,13142.588062283736
09/2011,12515.752166185292
10/2011,13870.03924719663
11/2011,14421.987181398119
12/2011,14956.678220882604
01/2012,15720.266431390404
02/2012,15978.947742319422
03/2012,16434.444182389936
04/2012,16469.089488421374
05/2012,16348.306579053457
06/2012,16704.7291898332
07/2012,16982.230991533703
08/2012,17135.18959638411
09/2012,17145.739868522815
10/2012,16827.56218733164
11/2012,17060.910249499462
12/2012,17237.7346521146
01/2013,17895.95284132841
02/2013,18685.83479320588
03/2013,20033.4724326435
04/2013,19622.858361383107
05/2013,20423.63793633708
06/2013,20127.25565749235
07/2013,21132.96926553673
08/2013,20535.75183226294
09/2013,21305.728433913366
10/2013,21761.326075800887
11/2013,22467.360370288738
12/2013,22698.033101297948
01/2014,22706.78854690737
02/2014,23321.713023962933
03/2014,23245.898389904265
04/2014,22532.67895306859
05/2014,23168.40372602337
06/2014,24265.148154927516
07/2014,23517.88500635324
08/2014,25086.246132848046
09/2014,24900.32198203926
10/2014,26176.516328648995
11/2014,26468.151886565727
12/2014,27605.523103533487
01/2015,28932.747235736395
02/2015,30847.813478647684
03/2015,32623.629240635742
04/2015,30743.919126170313
05/2015,32066.624658158617
06/2015,31277.324202341588
07/2015,31706.912647032004
08/2015,29177.874765938475
09/2015,27824.632776934744
10/2015,29879.379504402288
11/2015,31764.450089800543
12/2015,29519.849683108296
01/2016,27109.333562271062
02/2016,27406.421243570905
03/2016,28432.02617479139
04/2016,28884.09743050074
05/2016,30118.868477676173
06/2016,30269.495226085386
07/2016,31811.32745433276
08/2016,32031.451086956524
09/2016,32121.13345578353
10/2016,31371.434313904625
11/2016,35260.744099670905
12/2016,36328.51726591405
01/2017,36101.15053463505
02/2017,37471.83297159574
03/2017,37103.197923487045
04/2017,36617.43101555353
05/2017,35189.83325906782
06/2017,35483.914651244304
07/2017,34970.51803530315
08/2017,34406.860465116275
09/2017,36161.42423344062
10/2017,37226.716102423095
11/2017,37590.346695923705
