Date,MSCI USA
12/1978,10000
01/1979,10593.73472982556
02/1979,10267.68784213043
03/1979,10838.4670625221
04/1979,10949.210481980981
05/1979,10845.088418772728
06/1979,11119.742946045355
07/1979,10828.82631280018
08/1979,11387.714412977666
09/1979,11234.315859629232
10/1979,10546.665943681504
11/1979,10926.550321499984
12/1979,10842.498403798838
01/1980,11369.30022731681
02/1980,11344.839410593017
03/1980,10875.150957408772
04/1980,11467.843081745641
05/1980,11484.32312996459
06/1980,11668.420198477721
07/1980,12274.154907107584
08/1980,12589.071676244106
09/1980,12860.432829204037
10/1980,13501.36721617064
11/1980,15416.107942486373
12/1980,15332.170930451959
01/1981,14790.029397790046
02/1981,16113.300802571079
03/1981,16642.32175519296
04/1981,16748.0178803837
05/1981,17699.623898354228
06/1981,18316.777854402455
07/1981,18989.07909067918
08/1981,18367.25083601542
09/1981,16686.02702688431
10/1981,16973.36214811639
11/1981,17504.081717291123
12/1981,17252.250769031714
01/1982,17293.93033937304
02/1982,16923.2473268568
03/1982,17113.777565805627
04/1982,18114.903345283063
05/1982,16891.414736719296
06/1982,17621.09236581261
07/1982,17651.037010334578
08/1982,19918.330429633734
09/1982,20343.53236142393
10/1982,22851.172803842095
11/1982,24109.361248246158
12/1982,23507.927909261347
01/1983,24251.04540580779
02/1983,25195.835730605315
03/1983,26175.374352968654
04/1983,28613.47994663997
05/1983,28322.400862460465
06/1983,30295.545275431967
07/1983,29685.46386936094
08/1983,31247.2294645367
09/1983,31646.305995730727
10/1983,30748.002574633454
11/1983,32221.46336646082
12/1983,32829.02384112921
01/1984,33162.88103259842
02/1984,30784.50801796225
03/1984,30209.57895964081
04/1984,31034.789306103714
05/1984,30353.283713635825
06/1984,30963.491958309623
07/1984,31851.403281324154
08/1984,35677.58334455489
09/1984,37387.884280106635
10/1984,38227.15677113591
11/1984,36829.93154052941
12/1984,39214.53329040274
01/1985,43361.55144444884
02/1985,45472.22384382781
03/1985,45659.672743823096
04/1985,42370.7482982896
05/1985,45271.25458992701
06/1985,45098.054813074705
07/1985,42735.20014385099
08/1985,40860.36110901138
09/1985,40174.49260399958
10/1985,39385.079985911434
11/1985,41275.2212448391
12/1985,42346.94967679874
01/1986,41700.76536140091
02/1986,43063.03061174188
03/1986,44181.495488195884
04/1986,43764.228412339544
05/1986,45088.648943285734
06/1986,45828.94354940742
07/1986,42081.15072945108
08/1986,43805.849164212035
09/1986,39734.60836144776
10/1986,41493.32600186669
11/1986,42873.08075294109
12/1986,41167.83842577988
01/1987,43808.20924547252
02/1987,44552.06843950526
03/1987,45649.3866002216
04/1987,44618.081900073565
05/1987,44297.94133478238
06/1987,47397.869526728085
07/1987,50339.400274339605
08/1987,52699.21638157189
09/1987,50201.61145852381
10/1987,39230.546475247946
11/1987,33714.64998356834
12/1987,34963.15446146913
01/1988,36813.8138152349
02/1988,39432.1581493015
03/1988,37564.30103251183
04/1988,37650.02484735388
05/1988,38314.08120887821
06/1988,41552.11475831455
07/1988,43473.41671878565
08/1988,42918.14769378062
09/1988,44388.38976917313
10/1988,44579.47828578324
11/1988,42116.67761512699
12/1988,42813.47195476167
01/1989,47856.64308874375
02/1989,46956.39150641159
03/1989,48292.379613118705
04/1989,51154.71161882052
05/1989,55364.48195473254
06/1989,56105.25493179349
07/1989,58531.92196039119
08/1989,60290.27663910401
09/1989,61036.65024588185
10/1989,57361.93802015905
11/1989,57663.22632905917
12/1989,56492.90739435605
01/1990,51236.69177938001
02/1990,51267.01386704481
03/1990,53356.07342733144
04/1990,51556.855223553015
05/1990,55361.25681930062
06/1990,55486.874314017165
07/1990,53688.778187272386
08/1990,46591.39700828317
09/1990,44464.2089128855
10/1990,42989.43293667384
11/1990,44868.227313321964
12/1990,46621.05074948884
01/1991,48926.461397234416
02/1991,51399.365426808785
03/1991,57266.878437389285
04/1991,60510.611810861345
05/1991,63822.37243504465
06/1991,63121.57833389942
07/1991,66114.98123366522
08/1991,66180.08062518241
09/1991,63215.030442596086
10/1991,64173.198781026804
11/1991,59230.9272928083
12/1991,63855.36089183688
01/1992,63188.037072885294
02/1992,65275.70069980091
03/1992,65736.49452381399
04/1992,67001.12564908688
05/1992,65941.26979997866
06/1992,63029.45692732941
07/1992,62490.19838741623
08/1992,59410.58624913615
09/1992,61398.69802062401
10/1992,64295.90927525276
11/1992,70735.29233291779
12/1992,71419.28471196478
01/1993,73404.10314737106
02/1993,76170.52747623244
03/1993,78069.51641766989
04/1993,73698.95851433098
05/1993,75719.18130643101
06/1993,78118.6012528741
07/1993,81289.46352505746
08/1993,84814.1037906486
09/1993,80588.1065075643
10/1993,82915.06668726438
11/1993,84512.76792393715
12/1993,85444.7394468457
01/1994,89698.67044391476
02/1994,86789.81527430064
03/1994,81264.49666561862
04/1994,82609.53285119959
05/1994,82130.10806207515
06/1994,78479.18531679682
07/1994,78586.08339951828
08/1994,81730.54214457823
09/1994,79102.19002782696
10/1994,79332.41080416461
11/1994,77722.54648733907
12/1994,80435.23148144603
01/1995,80924.97447742289
02/1995,83156.78169098153
03/1995,82030.99920573142
04/1995,82952.2439657479
05/1995,87487.00123804147
06/1995,88855.79111520166
07/1995,90770.71847045838
08/1995,93489.17457017548
09/1995,98898.5264985257
10/1995,97277.3121467599
11/1995,101736.47406434316
12/1995,104871.75007862003
01/1996,109893.24693402195
02/1996,111636.02674361943
03/1996,112655.45232462593
04/1996,115255.73683580324
05/1996,119727.08410911265
06/1996,119458.2888785373
07/1996,112426.56696338764
08/1996,113861.18239287776
09/1996,121240.47826001272
10/1996,124686.03167660664
11/1996,132349.29617260327
12/1996,132675.77555369586
01/1997,145576.9675128497
02/1997,152949.21158373207
03/1997,147753.7333133884
04/1997,158297.8746735424
05/1997,166706.99328914672
06/1997,176218.27505306047
07/1997,195398.1842268608
08/1997,188995.6519326382
09/1997,193603.73328297882
10/1997,184864.05960503026
11/1997,189784.2348035337
12/1997,197741.78060514483
01/1998,204850.61315754746
02/1998,218692.70098231363
03/1998,230834.6986422404
04/1998,231912.06815548218
05/1998,223750.53066472142
06/1998,235014.8365746416
07/1998,233190.6582562111
08/1998,199862.8289119813
09/1998,203012.4300453707
10/1998,210596.95760627158
11/1998,231357.78794478648
12/1998,243397.7290794705
01/1999,262136.79350960182
