Date,MSCI World 100% Hedged to EUR
09/2010,10000
10/2010,10281.0899
11/2010,10249.578099999999
12/2010,10820.253200000001
01/2011,11025.4159
02/2011,11348.1047
03/2011,11206.1417
04/2011,11456.280999999999
05/2011,11313.6641
06/2011,11138.4659
07/2011,10838.0212
08/2011,10111.2731
09/2011,9475.4576
10/2011,10276.273000000001
11/2011,10134.2225
12/2011,10203.079
01/2012,10640.8928
02/2012,11130.9391
03/2012,11324.0465
04/2012,11145.5856
05/2012,10348.914499999999
06/2012,10782.2249
07/2012,10939.304900000001
08/2012,11150.2164
09/2012,11381.1621
10/2012,11325.6107
11/2012,11486.0378
12/2012,11695.6208
01/2013,12297.7899
02/2013,12482.161399999999
03/2013,12817.3935
04/2013,13161.681400000001
05/2013,13347.7937
06/2013,13021.929399999999
07/2013,13624.0683
08/2013,13338.642300000001
09/2013,13827.8499
10/2013,14369.8414
11/2013,14677.2111
12/2013,14978.2024
01/2014,14482.5008
02/2014,15084.1871
03/2014,15112.013099999996
04/2014,15220.778000000004
05/2014,15568.2892
06/2014,15781.8752
07/2014,15653.3502
08/2014,16066.5583
09/2014,15897.8517
10/2014,16076.5914
11/2014,16531.4941
12/2014,16398.6541
01/2015,16277.6205
02/2015,17237.388000000003
03/2015,17152.728
04/2015,17325.4368
05/2015,17541.7566
06/2015,17022.6597
07/2015,17443.5496
08/2015,16288.9873
09/2015,15702.4718
10/2015,16948.538500000002
11/2015,17055.5869
12/2015,16684.259700000002
01/2016,15774.3652
02/2016,15522.0666
03/2016,16305.6466
04/2016,16432.283
05/2016,16716.2064
06/2016,16474.5161
07/2016,17135.1511
08/2016,17192.6925
09/2016,17210.1132
10/2016,17074.740299999998
11/2016,17520.3953
12/2016,17984.6023
01/2017,18190.9025
02/2017,18749.07
03/2017,18909.4291
04/2017,19107.8629
05/2017,19364.0824
06/2017,19343.6741
07/2017,19591.0209
08/2017,19595.618
09/2017,20029.442900000002
10/2017,20520.987299999997
11/2017,20810.449800000002
12/2017,21004.9319
01/2018,21746.3197
02/2018,20937.8701
03/2018,20421.345400000002
04/2018,20789.585600000002
05/2018,21024.0319
06/2018,21057.0828
07/2018,21686.229900000002
08/2018,21941.0187
09/2018,22063.8671
10/2018,20495.3349
11/2018,20695.9404
12/2018,19034.2389
01/2019,20378.0181
02/2019,21028.3144
03/2019,21331.6251
04/2019,22097.1295
05/2019,20790.0749
06/2019,21960.6946
07/2019,22187.2291
08/2019,21707.590099999998
09/2019,22180.8855
10/2019,22549.1456
11/2019,23232.896099999998
12/2019,23713.659200000002
01/2020,23618.9554
02/2020,21665.9015
03/2020,18880.169
04/2020,20854.4913
05/2020,21816.7588
06/2020,22317.2478
07/2020,23019.3199
08/2020,24435.6559
09/2020,23706.1571
10/2020,22967.2859
11/2020,25660.3495
12/2020,26525.618300000002
01/2021,26303.3819
02/2021,26986.1399
03/2021,28122.892
04/2021,29221.8558
05/2021,29509.7439
06/2021,30200.9727
07/2021,30703.1313
08/2021,31509.8804
09/2021,30313.8225
10/2021,31974.1872
11/2021,31475.997
12/2021,32694.4649
01/2022,31044.7721
02/2022,30208.2201
03/2022,31124.0228
04/2022,28841.2578
05/2022,28755.7882
06/2022,26437.4869
07/2022,28545.4883
08/2022,27510.4837
09/2022,25141.339099999997
10/2022,26882.5013
11/2022,28328.7533
12/2022,26853.228
01/2023,28540.6664
02/2023,28058.2508
03/2023,28710.713
04/2023,29132.561800000007
05/2023,29042.679600000007
06/2023,30631.4851
07/2023,31484.6991
08/2023,30895.7022
09/2023,29699.1521
10/2023,28900.293900000004
11/2023,31219.0464
12/2023,32482.0135
01/2024,33041.8454
02/2024,34541.2923
03/2024,35689.2037
04/2024,34505.5941
05/2024,35874.5798
06/2024,36693.6073
07/2024,37116.9953
08/2024,37746.9581
