Date,MSCI World Consumer Discretionary
09/2010,10000
10/2010,10283.410595046711
11/2010,11101.810376587297
12/2010,11292.225615831321
01/2011,11115.48788608621
02/2011,11462.830102400236
03/2011,10880.525124761234
04/2011,10947.183031479077
05/2011,11208.540605525157
06/2011,11159.293016222951
07/2011,11094.232786791172
08/2011,10176.400786089684
09/2011,10042.310109761183
10/2011,10715.959544559211
11/2011,10764.408250087447
12/2011,11116.809343771698
01/2012,11840.13015482302
02/2012,12308.689250066516
03/2012,12764.55592608216
04/2012,12790.283440108378
05/2012,12582.871570862924
06/2012,12575.59443598893
07/2012,12949.227675042173
08/2012,13130.18632998668
09/2012,13116.11888618215
10/2012,13009.662567621472
11/2012,13457.04305958498
12/2012,13606.886273010889
01/2013,13971.149973342082
02/2013,14572.448486329848
03/2013,15336.382294292976
04/2013,15522.62935850565
05/2013,16203.497008838083
06/2013,16097.747471377952
07/2013,16674.68818085232
08/2013,16377.741585137697
09/2013,17047.003865912666
10/2013,17568.604099394583
11/2013,17976.94683610516
12/2013,18127.197122369627
01/2014,17596.641538547272
02/2014,18088.313521425833
03/2014,17729.382005070456
04/2014,17449.465081674774
05/2014,18193.51172263696
06/2014,18448.89771890368
07/2014,18452.63153574932
08/2014,19116.856165755125
09/2014,19312.182725456023
10/2014,19705.52703153732
11/2014,20916.372572671276
12/2014,21454.602161223807
01/2015,22726.655129372506
02/2015,24644.259930851465
03/2015,25581.923147005673
04/2015,24794.26373592518
05/2015,25577.247613429357
06/2015,24935.26523342243
07/2015,25896.60941757449
08/2015,23735.777795121725
09/2015,23301.79190745064
10/2015,25611.200581160967
11/2015,26526.129127573786
12/2015,25208.767284693775
01/2016,23688.756497090457
02/2016,23432.449150578923
03/2016,23854.60710829187
04/2016,23719.077535315315
05/2016,24319.130061549662
06/2016,23487.07862856607
07/2016,24843.26536269551
08/2016,24834.78369910843
09/2016,24654.71688187163
10/2016,24922.81076714463
11/2016,26278.128572472197
12/2016,26778.296947923147
01/2017,27033.682226679743
02/2017,27843.910199474718
03/2017,28340.136151919258
04/2017,28635.730529851862
05/2017,28160.01866919127
06/2017,27535.39920612261
07/2017,27201.852445499706
08/2017,26694.84882561049
09/2017,27465.093003509497
10/2017,28398.519766912952
11/2017,28675.096065912465
12/2017,29094.369723729604
01/2018,30277.733547813856
02/2018,29854.911371334598
03/2018,28919.61411744818
04/2018,30177.76935615649
05/2018,31352.519296516155
06/2018,31698.348223192053
07/2018,32029.733151282373
08/2018,33026.39264421454
09/2018,33247.33794774154
10/2018,30980.758781320277
11/2018,31340.779543166023
12/2018,28877.677730840504
01/2019,31402.75464341834
02/2019,32016.572089740486
03/2019,32980.9143926497
04/2019,34838.25069811444
05/2019,32476.362978768997
06/2019,34258.979679114316
07/2019,35274.750488368525
08/2019,34984.984174183424
09/2019,35878.85896060471
10/2019,35890.23860629301
11/2019,36802.327854707706
12/2019,37223.22618268313
01/2020,37473.74568371962
02/2020,34754.90352401232
03/2020,29719.430257079854
04/2020,34834.07601549176
05/2020,36362.98438830514
06/2020,37710.217484144494
07/2020,38403.89496081467
08/2020,42597.32305441027
09/2020,41894.637067847005
10/2020,41027.4076008089
11/2020,45233.29350593234
12/2020,46655.42963593545
01/2021,46719.647003741666
02/2021,47098.390188908656
03/2021,50303.09154523258
04/2021,51665.651908366955
05/2021,50322.21543964504
06/2021,53059.65248769361
07/2021,53222.93165950083
08/2021,53902.04750783565
09/2021,53580.82993151834
10/2021,58027.929595221365
11/2021,59513.26834784455
12/2021,59200.860970468515
01/2022,54991.416028772044
02/2022,52478.01356199605
03/2022,54073.21215889638
04/2022,50125.61285179573
05/2022,47605.912258125616
06/2022,43866.82284403954
07/2022,51931.495532237546
08/2022,50267.28133020763
09/2022,48809.390804159564
