Date,MSCI World Diversified Multiple-Factor
11/2014,10000
12/2014,10267.464012736187
01/2015,10961.268780503304
02/2015,11596.201813277976
03/2015,12025.403163588853
04/2015,11675.73736659404
05/2015,12153.04843416564
06/2015,11694.408957842357
07/2015,12126.603261502747
08/2015,11122.511259089244
09/2015,10758.266473586178
10/2015,11709.161606978061
11/2015,12253.695938029256
12/2015,11742.163968491035
01/2016,10931.919024047025
02/2016,10943.431562122918
03/2016,11161.800472384502
04/2016,11176.355946062424
05/2016,11493.250998223983
06/2016,11317.944533155827
07/2016,11730.97944039384
08/2016,11754.008637280993
09/2016,11852.46558123583
10/2016,11826.171938710899
11/2016,12384.318377286949
12/2016,12773.865605010691
01/2017,12814.458218905422
02/2017,13357.647059441295
03/2017,13371.101831172768
04/2017,13331.606518539895
05/2017,13297.588964256176
06/2017,13087.608106645868
07/2017,13069.750984459124
08/2017,13045.350079854219
09/2017,13475.577640218859
10/2017,14116.48014504304
11/2017,14245.906871106588
12/2017,14207.185347930495
01/2018,14349.402681900112
02/2018,14201.730187201663
03/2018,13930.025987951904
04/2018,14218.66084309472
05/2018,14842.1564627207
06/2018,14623.856443245915
07/2018,14927.795998242344
08/2018,15156.196430182907
09/2018,15238.782302024076
10/2018,14311.38658426751
11/2018,14353.751695437462
12/2018,13172.224090275446
01/2019,14297.011936626823
02/2019,14767.169920144426
03/2019,14906.629637363938
04/2019,15255.750355466633
05/2019,14329.670593271116
06/2019,15083.397169254013
07/2019,15398.354283661747
08/2019,15059.791189947566
09/2019,15614.976872906458
10/2019,15610.331548008322
11/2019,16379.607989244776
12/2019,16376.4350268804
01/2020,16379.78717998602
02/2020,15080.955313675775
03/2020,12988.667673841815
04/2020,14399.056470568106
05/2020,14822.100371220555
06/2020,14936.528212691386
07/2020,14844.510043157794
08/2020,15373.938798424257
09/2020,15315.452053045137
10/2020,15009.836491599455
11/2020,16373.519669936462
12/2020,16648.584167983012
01/2021,16829.517374134004
02/2021,17381.314259839008
03/2021,18812.115490548844
04/2021,18952.443932612157
05/2021,19146.469365491565
06/2021,19692.723929971726
07/2021,19914.982046443398
08/2021,20368.987741092264
09/2021,19702.36401952782
10/2021,20411.0768522889
11/2021,20492.28541040819
12/2021,21754.45227065855
01/2022,20767.062723067185
02/2022,20502.886596161665
03/2022,21210.361967860357
04/2022,20816.95031437677
05/2022,20633.837963081583
06/2022,19151.175957860385
07/2022,21055.43127683479
08/2022,20661.69484158104
09/2022,19279.103165040207
10/2022,20758.56020875318
11/2022,21094.5243780674
12/2022,19607.331058862015
01/2023,20571.50166515503
02/2023,20425.551307524758
03/2023,20171.220277681656
04/2023,20176.769569252312
05/2023,20035.16361152588
06/2023,20911.816689384807
07/2023,21321.44043415249
08/2023,21115.87865672592
09/2023,20970.202873861905
10/2023,20261.760855641
11/2023,21165.957826481907
12/2023,21815.932601410233
01/2024,22618.26838406745
02/2024,23548.389395839145
03/2024,24528.34525654796
04/2024,23640.26853683475
05/2024,24221.45911673242
06/2024,24880.680903900968
07/2024,25280.023924310426
08/2024,25358.00433109871
09/2024,25481.49624067239
10/2024,25747.674470622544
