Date,MSCI World ESG Screened
05/2012,10000
06/2012,10340.76235186656
07/2012,10748.394969879517
08/2012,10741.651048291174
09/2012,10772.336438515084
10/2012,10627.00265989379
11/2012,10786.770475897121
12/2012,10820.024117780811
01/2013,11087.705329151291
02/2013,11483.105322568359
03/2013,12054.69896368606
04/2013,12178.565665544678
05/2013,12243.351666154082
06/2013,11894.211492354738
07/2013,12330.357193973634
08/2013,12112.900061956934
09/2013,12474.065837837838
10/2013,12834.336351440508
11/2013,13102.073211373154
12/2013,13206.717277934884
01/2014,12983.727620597809
02/2014,13348.476209367987
03/2014,13370.475379315347
04/2014,13437.114677256317
05/2014,13960.425577276399
06/2014,14141.744767901599
07/2014,14223.596126765826
08/2014,14754.971071428574
09/2014,15055.771343081935
10/2014,15237.863906100289
11/2014,15635.351165585194
12/2014,15809.427099085742
01/2015,16695.16210260946
02/2015,17810.99490213523
03/2015,18360.34799981411
04/2015,17996.028616139098
05/2015,18494.636781221514
06/2015,17733.618516400038
07/2015,18416.538059633447
08/2015,16818.08092465448
09/2015,16198.729846469692
10/2015,17777.798451484072
11/2015,18434.2181472729
12/2015,17615.985343069715
01/2016,16481.11094322344
02/2016,16404.083861131523
03/2016,16738.341460693897
04/2016,16935.169102867665
05/2016,17447.17578088578
06/2016,17258.156696090795
07/2016,18038.100425627643
08/2016,18056.314585878546
09/2016,18085.454286354267
10/2016,18052.73306687374
11/2016,18860.747029619182
12/2016,19471.54512285362
01/2017,19561.439597396562
02/2017,20406.32338208927
03/2017,20445.482939855952
04/2017,20308.306805123513
05/2017,20185.642088940374
06/2017,19958.178983526115
07/2017,19881.81756629999
08/2017,19730.608489640592
09/2017,20201.698793833642
10/2017,20880.852281319814
11/2017,20947.619198244574
12/2017,20962.269656466273
01/2018,21272.39455968532
02/2018,20834.389612739473
03/2018,20174.097083028973
04/2018,20791.644136931867
05/2018,21617.90209248654
06/2018,21680.567412935325
07/2018,22199.171785957737
08/2018,22733.397062913053
09/2018,22965.135939875607
10/2018,21716.888086234318
11/2018,21929.462696540188
12/2018,20068.56311877729
01/2019,21556.13976932451
02/2019,22302.138942711983
03/2019,22979.463676902535
04/2019,23889.694929577465
05/2019,22621.42138104206
06/2019,23634.014590509665
07/2019,24265.92281589095
08/2019,24003.99702519029
09/2019,24836.594598218388
10/2019,24910.170077102386
11/2019,26017.161646330354
12/2019,26212.63754495282
01/2020,26477.610621606953
02/2020,24453.28792201877
03/2020,21304.009100949253
04/2020,23875.934656123572
05/2020,24486.93683459052
06/2020,25033.181579746386
07/2020,24849.21369345037
08/2020,26354.837609715247
09/2020,25943.15000768705
10/2020,25180.528613438197
11/2020,27703.508520033392
12/2020,28212.605089234778
01/2021,28267.771732860907
02/2021,29022.09906113357
03/2021,30934.943772281447
04/2021,31449.694359377583
05/2021,31564.4202155561
06/2021,32952.0908498822
07/2021,33524.45056345135
08/2021,34575.74688609092
09/2021,33864.15330425771
10/2021,35621.60771661657
11/2021,35745.98521341194
12/2021,37339.11870563305
01/2022,35748.83470060954
02/2022,34601.93347888205
03/2022,35850.07766777767
04/2022,34519.96134819734
05/2022,33925.579847848414
06/2022,32027.669736208718
07/2022,35288.018787017056
08/2022,34361.792126
09/2022,31988.136044316783
10/2022,33523.11714444221
11/2022,34316.01459425597
12/2022,31875.756514157136
01/2023,33734.11057971015
02/2023,33671.62795837649
03/2023,33932.190127816095
04/2023,34159.1564028777
05/2023,34983.03127960311
06/2023,36528.76405116878
07/2023,37229.287225800595
08/2023,36843.02704821494
09/2023,36132.25475740986
10/2023,34961.322710236374
11/2023,37338.805434086535
12/2023,38839.977663348414
01/2024,40155.89420134723
02/2024,42041.839375577314
03/2024,43366.88127277772
04/2024,41997.64809386079
05/2024,43389.16162827129
06/2024,45072.68737879495
07/2024,45255.371795345396
08/2024,45361.12821141878
09/2024,45809.48790550197
10/2024,46222.21519297923
