Date,MSCI World Energy
10/2019,10000
11/2019,10128.98585001359
12/2019,10670.563539473007
01/2020,9700.063468841787
02/2020,8342.783915075466
03/2020,5891.279851219443
04/2020,6845.98278678638
05/2020,6939.256495035051
06/2020,6866.656513345966
07/2020,6605.665517218653
08/2020,6701.849239703942
09/2020,5770.538280573254
10/2020,5463.52433434144
11/2020,7051.932945045574
12/2020,7313.4590352021405
01/2021,7524.978995251629
02/2021,8706.888056701267
03/2021,8906.285074912372
04/2021,8939.986668605221
05/2021,9397.837676193929
06/2021,9680.089305019756
07/2021,9077.37660161951
08/2021,8966.000516453581
09/2021,9807.044656321343
10/2021,10595.931768732024
11/2021,9863.793407927418
12/2021,10245.571136597287
01/2022,11831.41941517667
02/2022,12425.993547824086
03/2022,13385.712530852028
04/2022,13189.559030112247
05/2022,14945.78765960214
06/2022,12699.986505029827
07/2022,13574.269701366118
08/2022,13809.649336435761
09/2022,12517.42405515953
10/2022,15024.414024890935
11/2022,15493.453668976283
12/2022,14959.341290614644
01/2023,15415.878136647549
02/2023,14693.746957279269
03/2023,14447.82951330523
04/2023,15000.359310032625
05/2023,13499.702943904518
06/2023,14374.174430608737
07/2023,15309.341719404514
08/2023,15574.449296828281
09/2023,15991.83058019796
10/2023,15292.953807181611
11/2023,15344.918176966501
12/2023,15338.686827837135
01/2024,15182.330188688984
02/2024,15426.956300197697
03/2024,16834.400795135236
04/2024,16887.2266156862
05/2024,16936.63323402613
06/2024,16610.926729259932
07/2024,16916.104819590237
08/2024,16759.662025439786
09/2024,16210.005021605852
10/2024,16237.686187113897
