Date,MSCI World Financials
06/2016,10000
07/2016,10476.190476190475
08/2016,10818.57536402991
09/2016,10645.415190869737
10/2016,11157.02479338843
11/2016,12451.790633608814
12/2016,12951.593860684767
01/2017,12888.62652499016
02/2017,13475.009838646201
03/2017,13435.655253837072
04/2017,13262.4950806769
05/2017,12731.20818575364
06/2017,13171.9795356159
07/2017,13211.33412042503
08/2017,12833.530106257378
09/2017,13415.977961432509
10/2017,13868.555686737505
11/2017,13833.136560409288
12/2017,13966.94214876033
01/2018,14307.359307359306
02/2018,14134.199134199134
03/2018,13368.752459661551
04/2018,13829.201101928375
05/2018,13756.395120031484
06/2018,13595.04132231405
07/2018,14020.070838252655
08/2018,13957.10350255805
09/2018,13943.329397874852
10/2018,13358.913813459269
11/2018,13451.397087760724
12/2018,12164.502164502164
01/2019,13081.4639905549
02/2019,13630.460448642267
03/2019,13431.719795356159
04/2019,14378.19756001574
05/2019,13595.04132231405
06/2019,14053.522235340417
07/2019,14478.551751279025
08/2019,13846.910665092482
09/2019,14756.001574183392
10/2019,14716.646989374265
11/2019,15413.223140495867
12/2019,15501.770956316412
01/2020,15338.44942935852
02/2020,13860.684769775678
03/2020,11033.05785123967
04/2020,11706.021251475797
05/2020,11727.666273120818
06/2020,11930.34238488784
07/2020,11591.89295552932
08/2020,12121.212121212122
09/2020,11678.473042109406
10/2020,11578.118850846124
11/2020,13541.91263282172
12/2020,13736.717827626919
01/2021,13817.394726485636
02/2021,15263.67571822117
03/2021,16393.152302243212
04/2021,16816.21408894136
05/2021,17349.468713105078
06/2021,17272.727272727272
07/2021,17292.404565131837
08/2021,18040.141676505315
09/2021,18160.173160173163
10/2021,19336.875245966155
11/2021,18559.62219598583
12/2021,19161.747343565527
01/2022,19397.874852420307
02/2022,18978.74852420307
03/2022,19445.10035419126
04/2022,18746.5564738292
05/2022,18577.33175914994
06/2022,17097.599370326643
07/2022,18423.848878394332
08/2022,18292.011019283746
09/2022,17430.145611963795
10/2022,18602.912239275876
11/2022,19118.45730027548
12/2022,18276.269185360095
01/2023,19425.4230617867
02/2023,19634.00236127509
03/2023,17650.531286894922
04/2023,17815.820543093272
05/2023,17689.885871704053
06/2023,18469.106650924834
07/2023,19283.74655647383
08/2023,18923.652105470286
09/2023,19041.71585989768
10/2023,18215.26957890594
11/2023,19464.777646595827
12/2023,20531.286894923258
01/2024,21330.184966548604
02/2024,22034.632034632035
03/2024,23124.754033844943
04/2024,22656.434474616293
05/2024,23171.979535615897
06/2024,23325.46241637151
07/2024,24494.293585202675
08/2024,24478.551751279025
09/2024,24734.35655253837
10/2024,25659.189295552933
