Date,MSCI World Health Care
10/2012,10000
11/2012,10087.543555157248
12/2012,9966.034661757947
01/2013,10399.060685551232
02/2013,10839.339772020174
03/2013,11725.3578239913
04/2013,11950.250937180603
05/2013,12001.26589398023
06/2013,11795.324847928408
07/2013,12281.389813012758
08/2013,11991.91479288419
09/2013,12180.7709837686
10/2013,12523.194465677776
11/2013,13033.531583442627
12/2013,12992.408152750471
01/2014,13340.751174431656
02/2014,13966.396787635167
03/2014,13744.521206108138
04/2014,13723.496478041336
05/2014,14254.155738509578
06/2014,14534.337889399598
07/2014,14730.923718492866
08/2014,15506.988577598024
09/2014,16322.101887488532
10/2014,16801.784147393828
11/2014,17392.152322963877
12/2014,17428.62250488315
01/2015,19142.786512740495
02/2015,20127.177728131894
03/2015,21297.93725524134
04/2015,20410.083237009
05/2015,21456.724285165397
06/2015,20790.852780473328
07/2015,22112.707793209538
08/2015,20037.096139397127
09/2015,18820.89122583598
10/2015,20301.58382254672
11/2015,21002.06313520577
12/2015,20718.28688073787
01/2016,19028.32690159627
02/2016,18846.04044088601
03/2016,18460.850429656744
04/2016,19041.59262074027
05/2016,19739.363599663924
06/2016,19989.631087590038
07/2016,20878.21025291524
08/2016,19976.60667369113
09/2016,19898.433206515536
10/2016,18888.807037160037
11/2016,19458.536317800616
12/2016,19940.610803238673
01/2017,19970.99686440465
02/2017,21440.926849243206
03/2017,21320.183824700634
04/2017,21247.85109872608
05/2017,21148.09276469161
06/2017,21358.338360177822
07/2017,20800.1482051691
08/2017,20831.006433474213
09/2017,21145.027763923164
10/2017,21172.534332690608
11/2017,21265.696117032334
12/2017,20996.64661884158
01/2018,21347.472479189833
02/2018,20796.072434604783
03/2018,20186.60109515395
04/2018,20787.651532927364
05/2018,21564.329503878133
06/2018,21927.9504028081
07/2018,23120.297032311275
08/2018,23977.51093165349
09/2018,24621.92589286746
10/2018,23527.29395499059
11/2018,24719.997472525854
12/2018,22545.15598405235
01/2019,23627.47787570998
02/2019,24245.72597745118
03/2019,24846.234362283867
04/2019,24242.365859845428
05/2019,23803.885045446204
06/2019,24898.33171909908
07/2019,25127.050917537563
08/2019,25381.321803701576
09/2019,25696.904431962157
10/2019,26338.84954766883
11/2019,28015.386755836917
12/2019,28319.808136120955
01/2020,28377.089306046764
02/2020,26618.07470511284
03/2020,25705.631105846376
04/2020,28900.38864761453
05/2020,29364.524209761516
06/2020,28811.317034772183
07/2020,28347.56571561662
08/2020,28707.33131693803
09/2020,28873.2687519072
10/2020,27488.155593537358
11/2020,29243.413799898968
12/2020,29431.499296097158
01/2021,30075.854022594292
02/2021,29294.071220616697
03/2021,31024.955554189186
04/2021,31257.57838206578
05/2021,31589.347592032147
06/2021,33403.79688210294
07/2021,34626.35945318014
08/2021,35758.34433441434
09/2021,34630.30602075576
10/2021,35887.664373189924
11/2021,35465.35057600606
12/2021,38201.95323931019
01/2022,35918.47328764373
02/2022,35620.82039232072
03/2022,37665.96598557241
04/2022,37833.2035789846
05/2022,37405.771041075386
06/2022,37355.94223609796
07/2022,39290.345888758464
08/2022,37654.72136785582
09/2022,37107.094792194905
10/2022,39551.78680116286
11/2022,39914.69373047036
12/2022,38369.52123060341
01/2023,37533.546555536646
02/2023,36727.590154368474
03/2023,37029.9014669338
04/2023,37954.684723846294
05/2023,37415.87334079253
06/2023,37958.17315515803
07/2023,37900.47591487554
08/2023,38144.91099603853
09/2023,37858.78726702808
10/2023,36216.45839893128
11/2023,37200.119795514904
12/2023,38427.60756696827
01/2024,40235.40617216662
02/2024,41183.544660948566
03/2024,42214.54673477648
04/2024,40894.89085147726
05/2024,41468.686307910706
06/2024,42833.671658571286
07/2024,43731.854600438695
08/2024,45056.44917763591
09/2024,43287.76616752113
10/2024,42389.460115879796
