Date,MSCI World High Dividend Yield
06/1994,10000
07/1994,10105.709715755842
08/1994,10527.440309442327
09/1994,10096.886301472034
10/1994,10200.236938448865
11/1994,9942.739110162527
12/1994,10234.03685144342
01/1995,10082.789063490472
02/1995,10293.820322481275
03/1995,10278.618230549313
04/1995,10365.659420568365
05/1995,10901.900290354732
06/1995,10862.182048004417
07/1995,11077.326027024055
08/1995,11270.886591221932
09/1995,11891.801386889823
10/1995,11802.714082244545
11/1995,12201.912717129988
12/1995,12876.321063392925
01/1996,13315.761066157704
02/1996,13470.521133770773
03/1996,13501.848144779891
04/1996,13779.412064794053
05/1996,14162.649422885479
06/1996,14153.612749980171
07/1996,13669.102455913955
08/1996,13817.113118455507
09/1996,14445.953274032761
10/1996,15119.99158894359
11/1996,15859.950241499935
12/1996,16346.88426276809
01/1997,17160.63230126359
02/1997,18258.57322583674
03/1997,18238.70019862066
04/1997,18701.587027756468
05/1997,19642.66153621121
06/1997,20636.82283727434
07/1997,22396.28847840863
08/1997,21890.7492699642
09/1997,22884.246878852413
10/1997,21491.82865027051
11/1997,21540.97192477493
12/1997,22751.70936415665
01/1998,23465.07449485869
02/1998,25011.986730122822
03/1998,26660.8268388513
04/1998,26501.439743917486
05/1998,25924.209987080794
06/1998,26218.060785325782
07/1998,26150.757892045338
08/1998,23032.523992435505
09/1998,22516.18071469255
10/1998,23096.079463578208
11/1998,24847.720022648205
12/1998,25330.398301639263
01/1999,26185.58510295933
02/1999,26605.93298159287
03/1999,27830.700374448228
04/1999,30232.55981855278
05/1999,29430.22207601052
06/1999,30382.0339427104
07/1999,29126.125479341328
08/1999,28986.218373039508
09/1999,28057.783761947456
10/1999,29654.2661576975
11/1999,30941.778013861935
12/1999,31965.220504812987
01/2000,30322.137872064104
02/2000,29369.87600109815
03/2000,32212.57505299182
04/2000,32883.626009346604
05/2000,32268.62682997675
06/2000,31088.899011315683
07/2000,32104.89812425663
08/2000,33977.10963678305
09/2000,34605.42755884331
10/2000,36787.847330508645
11/2000,35076.76586965277
12/2000,34832.06828568487
01/2001,35115.5205975015
02/2001,34172.34272148469
03/2001,34097.431823637366
04/2001,35643.15638210481
05/2001,37280.46454061047
06/2001,36454.0976463375
07/2001,35347.55096069988
08/2001,33313.66034389501
09/2001,30777.69616863046
10/2001,30982.315000815346
11/2001,32529.83218602974
12/2001,33619.678768540296
01/2002,33617.1168401364
02/2002,33966.062759421955
03/2002,35460.47892686113
04/2002,34318.58426856584
05/2002,33417.129640555555
06/2002,30204.885013040104
07/2002,28031.064547554557
08/2002,28156.448955688
09/2002,24694.96952800949
10/2002,26403.243734815533
11/2002,27165.36859967277
12/2002,25307.834762880026
01/2003,23539.735894990357
02/2003,23109.234746476857
03/2003,22653.25650906459
04/2003,24322.411620334067
05/2003,24234.688601266556
06/2003,25595.784607912305
07/2003,25824.403782586425
08/2003,26840.35613134084
09/2003,25400.748071444552
10/2003,26748.441295458346
11/2003,26542.049448178837
12/2003,27210.882916549992
01/2004,27830.809516803783
02/2004,28502.22075761401
03/2004,28526.63993591125
04/2004,28841.284855518843
05/2004,28529.696110456975
06/2004,29064.61539679327
07/2004,29186.0645462638
08/2004,29561.906687974555
09/2004,29479.434614948525
10/2004,29448.19305281685
11/2004,29654.609111121317
12/2004,30057.962356959288
01/2005,30879.245464144653
02/2005,31854.864076689308
03/2005,31734.10973316691
04/2005,31368.766038586084
05/2005,33032.13424408906
06/2005,34214.2400645755
07/2005,35005.55478168574
08/2005,34892.68846961106
09/2005,36062.28025760666
10/2005,35260.11353692684
11/2005,36697.750269892684
12/2005,37368.67569414847
01/2006,37912.22616240232
02/2006,39073.86688486177
03/2006,38938.62881377914
04/2006,39287.969317386785
05/2006,37366.20095381324
06/2006,37986.60611116259
07/2006,38846.646147860454
08/2006,39688.293833711716
09/2006,40786.46722197426
10/2006,42082.017814372615
11/2006,41390.09850527362
