Date,MSCI World Industrials
04/2016,10000
05/2016,10255.992738740862
06/2016,10162.71997391423
07/2016,10636.120619389165
08/2016,10749.243664654514
09/2016,10798.334475566186
10/2016,10749.309274071275
11/2016,11481.949008414247
12/2016,11680.162571629464
01/2017,11695.532175621822
02/2017,12241.036007851078
03/2017,12282.16024673924
04/2017,12369.47883750516
05/2017,12224.895650094444
06/2017,12116.33220412342
07/2017,11946.644338111562
08/2017,11887.61902636849
09/2017,12365.472455533323
10/2017,12806.191481730535
11/2017,12708.734201766245
12/2017,12869.730297818845
01/2018,13056.282477156776
02/2018,12789.943673789281
03/2018,12244.55575878239
04/2018,12500.54773532468
05/2018,13002.105811086847
06/2018,12749.196425297769
07/2018,13184.51851012513
08/2018,13219.836407533163
09/2018,13567.252235085603
10/2018,12433.427314278844
11/2018,12549.365734887382
12/2018,11481.1362929336
01/2019,12498.241827195156
02/2019,13203.944193494113
03/2019,13330.58678061514
04/2019,13942.751730986434
05/2019,13163.11775817165
06/2019,13795.258310881934
07/2019,14092.052276391083
08/2019,13732.591155259688
09/2019,14369.938581478586
10/2019,14411.95297497307
11/2019,15148.425896249511
12/2019,14881.312290291022
01/2020,15034.979759868673
02/2020,13520.563384750512
03/2020,11382.887029046868
04/2020,12257.007756421393
05/2020,12721.544900373034
06/2020,12990.800986418137
07/2020,12639.065809844664
08/2020,13706.212460720493
09/2020,13983.314748592173
10/2020,13502.91708074492
11/2020,15233.687632421672
12/2020,15238.460415390427
01/2021,15034.327315925235
02/2021,15708.94970873072
03/2021,17174.283126395912
04/2021,17122.17393981933
05/2021,17531.152016390373
06/2021,17615.41093366039
07/2021,17877.94542734145
08/2021,18272.780053715807
09/2021,17930.933787192313
10/2021,18515.830568115
11/2021,18288.805703462403
12/2021,19166.362263584804
01/2022,18036.75459849333
02/2022,17860.036739993513
03/2022,18553.95850857526
04/2022,18010.239920293592
05/2022,17320.19662940028
06/2022,16353.42330947986
07/2022,18194.868257576505
08/2022,17940.490765171504
09/2022,16669.232197552465
10/2022,17905.358111420486
11/2022,18396.39323952372
12/2022,17763.22761597402
01/2023,18378.145347439553
02/2023,18764.702389131242
03/2023,18617.425166044948
04/2023,18555.135651673714
05/2023,18523.538865413127
06/2023,19888.747889254908
07/2023,20225.45567351738
08/2023,19930.568840963235
09/2023,19407.414611646065
10/2023,18497.56037927735
11/2023,19782.277847925427
12/2023,21144.579090008243
01/2024,21536.376281492383
02/2024,22703.665367309328
03/2024,23643.618624536874
04/2024,23235.21056236125
05/2024,23261.19864582432
06/2024,23426.038186481055
07/2024,24160.240527587524
08/2024,24035.85172965176
09/2024,24561.97134106508
10/2024,24632.816943959646
