Date,MSCI World Information Technology
09/2010,10000
10/2010,10397.577802614962
11/2010,10947.76995007468
12/2010,11263.624558862206
01/2011,11425.734637350934
02/2011,11563.221634432286
03/2011,10899.859605522413
04/2011,10751.022727946225
05/2011,10869.422892467795
06/2011,10515.543452863985
07/2011,10676.030470165124
08/2011,9990.806116945572
09/2011,10278.667050701944
10/2011,10976.668733055685
11/2011,11118.431782856871
12/2011,11350.456150893462
01/2012,12044.360667925066
02/2012,12624.939489866354
03/2012,13276.187011009486
04/2012,13048.993588682115
05/2012,12764.627549939058
06/2012,12807.978108996194
07/2012,13264.06974530639
08/2012,13524.049958769856
09/2012,13423.930740390006
10/2012,12581.095223977623
11/2012,12767.842066137631
12/2012,12662.728105503755
01/2013,12567.36590123356
02/2013,13083.739763183496
03/2013,13628.833831385016
04/2013,13472.579580003186
05/2013,14121.151525827398
06/2013,13615.50210503447
07/2013,13929.374652440341
08/2013,13963.19509807313
09/2013,14193.510960007716
10/2013,14642.30753010366
11/2013,15137.3914762866
12/2013,15595.202168289274
01/2014,15505.267433483918
02/2014,15860.97694453371
03/2014,15871.484372801295
04/2014,15680.877301395027
05/2014,16491.118394945817
06/2014,16841.35965149649
07/2014,17454.89658649915
08/2014,18322.659847985175
09/2014,18924.77173433098
10/2014,19272.855098669737
11/2014,20321.72367295546
12/2014,20611.422949755335
01/2015,21401.991835623256
02/2015,23209.088301721215
03/2015,23652.816285980593
04/2015,23094.075567052107
05/2015,24086.585337540302
06/2015,22709.88483232895
07/2015,23423.534123923484
08/2015,21765.98489932505
09/2015,21505.096173974707
10/2015,23978.434898219697
11/2015,25319.026373880104
12/2015,24052.69640446493
01/2016,22749.30354849209
02/2016,22335.452364352153
03/2016,23148.593917216727
04/2016,22058.92287014517
05/2016,23754.518939070793
06/2016,23145.156522378154
07/2016,24873.178322751155
08/2016,25440.12366314705
09/2016,25859.0332321712
10/2016,26345.125700701894
11/2016,27071.22306932077
12/2016,27608.969790243624
01/2017,28178.630899066386
02/2017,29999.05549512525
03/2017,30563.41519799534
04/2017,30743.45336795806
05/2017,31207.17965532897
06/2017,30052.94384241999
07/2017,30273.826651158262
08/2017,30927.392301024025
09/2017,31433.951544903804
10/2017,34173.19084432013
11/2017,33778.65010996435
12/2017,33522.354893539756
01/2018,34737.95303079241
02/2018,35405.760323029244
03/2018,33847.08807879654
04/2018,34470.11709642474
05/2018,37924.160596246475
06/2018,37729.941821299755
07/2018,38382.51861121297
08/2018,41106.73724826236
09/2018,41014.85779962227
10/2018,38390.41558565667
11/2018,37664.76563098205
12/2018,34298.85874529869
01/2019,36806.159141575416
02/2019,39478.879780459196
03/2019,41754.02468535027
04/2019,44511.396282930196
05/2019,40992.4348894297
06/2019,43586.85583109518
07/2019,45861.62054106592
08/2019,45365.709532374705
09/2019,46559.39837684312
10/2019,47259.88905704739
11/2019,50376.28995369182
12/2019,51539.643732652046
01/2020,53956.70965219631
02/2020,50409.89823602325
03/2020,45785.11094689966
04/2020,52090.537084667085
05/2020,55234.643308329745
06/2020,58664.41170471271
07/2020,58982.4494122803
08/2020,64512.09457792484
09/2020,62832.26719727013
10/2020,59998.38440914946
11/2020,65769.17286194675
12/2020,67981.50881112528
01/2021,68084.37807361946
02/2021,68963.48508594527
03/2021,71744.02898379978
04/2021,73875.99269367018
05/2021,71976.95522229148
06/2021,79298.72175781344
07/2021,82130.8481200147
08/2021,85693.48791944762
09/2021,82296.56362470609
10/2021,88633.25344387854
11/2021,93525.11525643877
12/2021,94974.35509511927
01/2022,88177.21881169121
02/2022,83882.41926104673
03/2022,87211.32198704584
04/2022,81074.80614879425
05/2022,78615.81623159697
06/2022,72597.2225713955
07/2022,84196.1529164991
08/2022,80307.39639828488
09/2022,76441.0194404738
