Date,MSCI World Materials
06/2016,10000
07/2016,10687.195546276966
08/2016,10781.14126652749
09/2016,11031.663187195547
10/2016,10927.279053583856
11/2016,11129.08837856646
12/2016,11348.295059151009
01/2017,12042.449547668755
02/2017,12002.435629784273
03/2017,12115.518441196939
04/2017,12219.90257480863
05/2017,12195.546276965903
06/2017,12402.574808629091
07/2017,13032.359081419625
08/2017,13230.688935281838
09/2017,13522.964509394573
10/2017,13947.459986082116
11/2017,14039.665970772443
12/2017,14645.093945720253
01/2018,15238.343771746695
02/2018,14519.83298538622
03/2018,13879.610299234517
04/2018,14206.68058455115
05/2018,14384.133611691026
06/2018,14197.981906750174
07/2018,14394.572025052194
08/2018,13930.062630480166
09/2018,14088.378566457899
10/2018,12722.686151704942
11/2018,12593.945720250522
12/2018,12112.038970076548
01/2019,13051.496172581768
02/2019,13441.196938065415
03/2019,13509.046624913013
04/2019,13825.678496868477
05/2019,12835.768963117607
06/2019,14171.88587334725
07/2019,13983.994432846208
08/2019,13322.894919972165
09/2019,13731.732776617957
10/2019,14027.48782185108
11/2019,14330.201809324983
12/2019,14838.204592901882
01/2020,14041.405706332636
02/2020,12550.452331245651
03/2020,11139.526791927628
04/2020,12527.835768963118
05/2020,13312.456506610995
06/2020,13848.295059151009
07/2020,14831.2456506611
08/2020,15563.674321503131
09/2020,15530.61934585943
10/2020,15052.192066805846
11/2020,16858.037578288102
12/2020,17905.3583855254
01/2021,17707.02853166319
02/2021,18335.07306889353
03/2021,18942.24077940153
04/2021,19954.766875434936
05/2021,20840.292275574113
06/2021,19869.51983298539
07/2021,20502.783576896312
08/2021,20396.659707724426
09/2021,19086.638830897704
10/2021,19899.0953375087
11/2021,19530.27139874739
12/2021,20704.592901878914
01/2022,19721.642310368825
02/2022,20358.38552540014
03/2022,21532.707028531666
04/2022,20363.604732080727
05/2022,20325.33054975644
06/2022,17179.888656924148
07/2022,17840.98816979819
08/2022,17319.067501739737
09/2022,16017.745302713985
10/2022,16751.913709116216
11/2022,18903.966597077244
12/2022,18629.08837856646
01/2023,20443.632567849687
02/2023,19405.010438413363
03/2023,19678.148921363954
04/2023,19577.24425887265
05/2023,18185.455810716772
06/2023,19639.874739039667
07/2023,20575.852470424496
08/2023,19667.710508002783
09/2023,18964.857341684066
10/2023,18328.11412665275
11/2023,19853.862212943633
12/2023,21311.76061238692
01/2024,20342.727905358388
02/2024,20628.044537230344
03/2024,21976.339596381353
04/2024,21482.254697286015
05/2024,21917.188587334727
06/2024,21287.40431454419
07/2024,22018.093249826026
08/2024,22205.98469032707
09/2024,23364.648573416842
10/2024,22105.08002783577
