Date,MSCI World Mid-Cap Equal Weighted
05/1994,10000
06/1994,9809.069634641408
07/1994,9680.388760655738
08/1994,9924.3028918431
09/1994,9596.806052930671
10/1994,9521.354241121198
11/1994,9136.196192015515
12/1994,9465.211453076037
01/1995,9109.926061878987
02/1995,9057.09564717162
03/1995,9030.083636922132
04/1995,9138.462283820427
05/1995,9247.075221049412
06/1995,9197.908713592231
07/1995,9570.034191468625
08/1995,9742.56142117865
09/1995,9980.607243995932
10/1995,9570.372448209471
11/1995,9808.5670695377
12/1995,10227.186352018816
01/1996,10534.27038247897
02/1996,10771.733299281725
03/1996,10966.17051523369
04/1996,11529.939305019305
05/1996,11656.309487910119
06/1996,11471.196691170531
07/1996,10815.131926809867
08/1996,10897.18037997635
09/1996,11241.427111959287
10/1996,11208.629343543113
11/1996,11407.593990551182
12/1996,11467.289007645875
01/1997,11664.60921957672
02/1997,12200.293096367874
03/1997,11945.834567987433
04/1997,12041.753429273427
05/1997,12980.237431545796
06/1997,13554.75807501769
07/1997,14076.391082014909
08/1997,13951.525012625081
09/1997,13931.578923595302
10/1997,13104.346609442056
11/1997,12464.005310447501
12/1997,12512.680176274846
01/1998,13234.110280614594
02/1998,14134.850167997798
03/1998,14679.24531834516
04/1998,14629.536699917637
05/1998,14131.884109589042
06/1998,14065.153376906319
07/1998,13691.234445859873
08/1998,11703.921283189853
09/1998,11304.485086825054
10/1998,11863.914149263666
11/1998,12657.221237907715
12/1998,12987.312038108203
01/1999,13372.723078004214
02/1999,13380.68507533128
03/1999,14375.016615155464
04/1999,15616.95613475512
05/1999,15629.35415455241
06/1999,16502.291820294344
07/1999,16182.34833738545
08/1999,16475.171822566914
09/1999,16261.612346929207
10/1999,16811.428145030135
11/1999,18006.95118153907
12/1999,19280.77524985069
01/2000,19069.898314778882
02/2000,20157.559085855468
03/2000,20901.813913953734
04/2000,20660.17327903137
05/2000,19873.165095130607
06/2000,20436.253009627457
07/2000,20424.347281185765
08/2000,22416.49399505951
09/2000,21905.796454078725
10/2000,21720.455573244624
11/2000,19837.31513588208
12/2000,19275.855355185384
01/2001,19909.833379963413
02/2001,18778.81249134948
03/2001,18227.78652173913
04/2001,19663.073005858492
05/2001,20674.988396226414
06/2001,20169.366754716983
07/2001,18940.92169503141
08/2001,17660.52088228871
09/2001,15483.75762567079
10/2001,16217.429082061491
11/2001,17316.581146325014
12/2001,17635.35531601044
01/2002,17561.410989927055
02/2002,17549.502679459023
03/2002,18485.533333333333
04/2002,18018.33989342806
05/2002,17614.17142857143
06/2002,15585.317405513784
07/2002,14421.21876724931
08/2002,14347.166447676196
09/2002,13051.847221095333
10/2002,13362.920373073805
11/2002,14045.168369094386
12/2002,12815.542412510726
01/2003,12169.076627218936
02/2003,12032.280185494343
03/2003,11839.230032124831
04/2003,12460.776081214626
05/2003,12687.9616579259
06/2003,13462.744671392315
07/2003,14019.37601696413
08/2003,15349.26869589091
09/2003,14690.27162375558
10/2003,15841.919256582343
11/2003,15420.032469568116
12/2003,15442.037193982582
01/2004,16134.412441860466
02/2004,16454.399768078594
03/2004,17125.779136125657
04/2004,16919.56039173014
05/2004,16760.779380226264
06/2004,17420.793273549978
07/2004,16835.19195946507
08/2004,16817.935734456278
09/2004,16888.644126037558
10/2004,16947.587469576825
11/2004,17388.120791274916
12/2004,17717.608598487626
01/2005,18202.61205677023
02/2005,18482.604848759143
03/2005,18623.26806541191
04/2005,18027.167128193254
05/2005,19310.431205903817
06/2005,20115.635474694012
07/2005,20952.51873976681
08/2005,21118.06860141007
09/2005,22162.959043348284
10/2005,21590.029137486486
11/2005,23006.374278188458
12/2005,23894.79220818852
01/2006,24520.16576992903
02/2006,24900.130182736844
03/2006,25217.30917382683
04/2006,25039.482798117573
05/2006,24436.79992539633
06/2006,24618.538302524972
07/2006,24249.09838176549
08/2006,24811.750245117113
09/2006,25543.550420221174
10/2006,26368.780163831125
11/2006,26217.35598787879
12/2006,26708.396829157176
01/2007,27688.353410529566
02/2007,27475.26650215729
03/2007,27750.53000150172
04/2007,28092.737740536566
05/2007,29145.626165167625
06/2007,28722.65083450574
07/2007,27627.56569927774
08/2007,27185.948836191168
09/2007,27277.249193878277
10/2007,27576.124992039866
11/2007,25453.38652936793
12/2007,24984.597285510496
01/2008,22929.53502084734
02/2008,22648.992607634995
03/2008,21475.488044523147
04/2008,22727.69294208494
05/2008,23378.594851689453
06/2008,20806.942918041106
07/2008,20234.874004227786
08/2008,21260.501478113336
09/2008,19018.584308187095
10/2008,16447.40363408325
11/2008,15875.335686336139
12/2008,15449.530962132643
01/2009,15396.371510611734
02/2009,13972.227029421068
03/2009,14461.395719867749
04/2009,16846.02757062147
05/2009,17495.85473116754
06/2009,17514.75191170228
07/2009,18992.765471778184
08/2009,19901.184887892374
09/2009,20368.829119715905
10/2009,19425.809394594595
11/2009,19608.564829927447
12/2009,21119.47616270998
01/2010,21169.840217671488
02/2010,22174.560766396466
03/2010,23862.117284665033
04/2010,24576.629485542628
05/2010,24037.059676606812
06/2010,23431.33737755684
07/2010,23823.25206017808
08/2010,23583.182813880125
09/2010,24196.53730363423
10/2010,24644.92330518872
11/2010,25871.230737036465
12/2010,27333.798449333928
01/2011,27129.703032427693
02/2011,27741.72301286685
03/2011,26903.21042866192
04/2011,26661.48332705249
05/2011,27032.711396593677
06/2011,26398.064656472703
07/2011,26335.01929873773
08/2011,24107.79091487889
09/2011,23447.977356143074
10/2011,24593.974350403547
11/2011,24735.407255924874
12/2011,25441.887255583893
01/2012,26581.123995142683
02/2012,27282.86768132113
03/2012,27681.50369571728
04/2012,27490.454717723627
05/2012,26251.237900507942
06/2012,27085.292162033362
07/2012,27817.761341582544
08/2012,27802.38008088177
09/2012,27978.684399071928
10/2012,27797.463003155543
11/2012,28289.42528877252
12/2012,28798.23653175686
01/2013,29451.51148634686
02/2013,30683.876401858484
03/2013,32341.402052323312
04/2013,32898.155948592415
05/2013,32726.82786406274
06/2013,31815.965565749233
07/2013,32939.002528060264
08/2013,32462.991643369853
09/2013,33877.33653609775
10/2013,34501.83713217505
11/2013,34665.1717581368
12/2013,34902.89097527373
01/2014,34675.726960639244
02/2014,35670.54315789475
03/2014,35640.825947200465
04/2014,35570.87436245487
05/2014,36945.23919747189
06/2014,37728.823792649004
07/2014,37720.787598475225
08/2014,38859.53255686988
09/2014,38911.069105936585
10/2014,39185.13746406899
11/2014,39850.46044700793
12/2014,40593.57223292974
01/2015,43497.44471295886
02/2015,46412.41476156584
03/2015,48039.381578213586
04/2015,47296.50025858226
05/2015,48365.54849954421
06/2015,46229.6785485745
07/2015,47373.921210905435
08/2015,43632.52916272849
09/2015,41877.59845755601
10/2015,45701.406873014435
11/2015,47416.39276302108
12/2015,45152.17169835584
01/2016,41839.86726739926
02/2016,42297.39416605437
03/2016,43822.050445322784
04/2016,45069.904369025695
05/2016,45791.84895104896
06/2016,44928.950992613936
07/2016,47433.596155853505
08/2016,47231.771527129
09/2016,47736.59825463668
10/2016,47536.27315183629
11/2016,49377.73609402915
12/2016,50677.43819371976
01/2017,51361.23389679218
02/2017,53135.26578465602
03/2017,53240.54855860069
04/2017,53111.09474839891
05/2017,52877.738896711526
06/2017,52491.4487486856
07/2017,52236.726119212064
08/2017,51654.62816744186
09/2017,52850.29644587498
10/2017,54466.36524488744
11/2017,54812.8623039919
12/2017,55187.2980305178
01/2018,55469.503553022405
02/2018,54168.38786965777
03/2018,53124.49860887915
04/2018,54853.57101746833
05/2018,56770.81168646893
06/2018,56448.80488591525
07/2018,57063.4441445126
08/2018,57526.734391897684
09/2018,57936.75523151348
10/2018,53999.84880720975
11/2018,54076.450152302146
12/2018,49722.055769432314
01/2019,53947.82477715877
02/2019,55821.37295024526
03/2019,56797.00085803294
04/2019,58554.35569976823
05/2019,55257.38257734732
06/2019,57602.481715289985
07/2019,58484.56106896242
08/2019,57251.74274737224
09/2019,59762.25485535862
10/2019,60185.48431056124
11/2019,62529.61556000728
12/2019,62693.8085953356
01/2020,62290.88609482447
02/2020,56638.038050469164
03/2020,46579.17400511136
04/2020,52202.12938580361
05/2020,54150.762126436784
06/2020,54819.60704411503
07/2020,53335.341323430104
08/2020,56069.18209715242
09/2020,55982.934294499486
10/2020,55159.05735681314
11/2020,62057.33169949916
12/2020,63467.94957868144
01/2021,64036.805379037585
02/2021,66178.45072848776
03/2021,70199.62099445629
04/2021,70521.35393477902
05/2021,71067.29659536104
06/2021,72846.48646247057
07/2021,73177.30230930955
08/2021,75125.68581375697
09/2021,74131.5426755333
10/2021,76066.29780334908
11/2021,74684.36003168176
12/2021,77695.53627405969
01/2022,73957.69696665471
02/2022,73284.89256540763
03/2022,74549.70909287452
04/2022,72806.54205692599
05/2022,71859.20173247457
06/2022,66928.04414749205
07/2022,73032.4210707982
08/2022,71541.487696
09/2022,65708.61670906852
10/2022,68280.76689933428
11/2022,70783.89256746336
12/2022,67457.18081380086
01/2023,72287.2051989292
02/2023,71644.13776061777
03/2023,69776.9933829885
04/2023,69811.61794372098
05/2023,69038.0813329589
06/2023,71337.03490520892
07/2023,73843.54072756963
08/2023,72012.69735737945
09/2023,70567.59110439871
10/2023,66458.03372822299
11/2023,70959.03086634343
12/2023,75380.43386787329
01/2024,75581.04793577558
02/2024,77165.0397930907
03/2024,80170.2810692813
04/2024,77567.73913043477
05/2024,78926.59287873203
06/2024,78339.2870471742
07/2024,81109.41606206133
08/2024,81615.07241273564
09/2024,82876.8467738478
10/2024,81982.97093916559
