Date,MSCI World Minimum Volatility (USD)
05/1988,10000
06/1988,10282.096981973757
07/1988,10924.329752153086
08/1988,10645.458225053064
09/1988,10843.612659418799
10/1988,11012.116018940753
11/1988,10888.35651831297
12/1988,10960.52112578018
01/1989,11848.415468829824
02/1989,11886.770798957567
03/1989,12106.556774154027
04/1989,12592.504847415586
05/1989,13031.102266457185
06/1989,13387.821034338398
07/1989,13875.846093758171
08/1989,13950.401387394279
09/1989,14652.678810255262
10/1989,13969.223892747623
11/1989,14099.795657601688
12/1989,14113.811231023745
01/1990,13142.712921266206
02/1990,12674.248258776524
03/1990,12330.8497055647
04/1990,11692.503247799552
05/1990,12500.832917712916
06/1990,12597.27288438
07/1990,12549.733998952981
08/1990,10820.296472830334
09/1990,9902.057808901201
10/1990,10564.129899704341
11/1990,10006.839304539615
12/1990,10162.070159953286
01/1991,10400.000852694973
02/1991,11129.480897683492
03/1991,11847.001094598638
04/1991,12576.250562356541
05/1991,12815.030793972062
06/1991,12892.231771276583
07/1991,13400.443798376928
08/1991,12891.739484405494
09/1991,12887.989810551107
10/1991,13062.402504781432
11/1991,12237.926758208012
12/1991,12571.729400824423
01/1992,12279.237705136047
02/1992,12362.25776265811
03/1992,12096.983279788828
04/1992,12223.100897934111
05/1992,12373.73195800322
06/1992,11956.392271641054
07/1992,11487.938607527165
08/1992,11244.629724644308
09/1992,11297.118050682866
10/1992,11572.144158875126
11/1992,12340.92626414621
12/1992,12528.711613963156
01/1993,12826.500543380822
02/1993,13562.797240953614
03/1993,14247.505050541187
04/1993,14288.825535222037
05/1993,14416.183708846007
06/1993,14775.054972410482
07/1993,15894.984323874382
08/1993,16551.43156126502
09/1993,15675.00593155281
10/1993,16315.5796361358
11/1993,15818.833447044133
12/1993,16499.86173364521
01/1994,17447.92914700808
02/1994,17039.95475505597
03/1994,16026.443994551859
04/1994,16316.471587888083
05/1994,15937.686123913518
06/1994,15626.484794886344
07/1994,15435.343786896123
08/1994,15743.783033246867
09/1994,15374.133898018474
10/1994,15311.532402034245
11/1994,15054.18922439484
12/1994,15609.398024608192
01/1995,15076.340821166816
02/1995,15153.664626901196
03/1995,15270.144360614575
04/1995,15416.707983767637
05/1995,15964.59775537456
06/1995,15875.49566512346
07/1995,16185.087790352554
08/1995,16471.326951275812
09/1995,17114.901228292358
10/1995,16778.284426195252
11/1995,17197.94820768566
12/1995,18176.628572670128
01/1996,18841.839372663966
02/1996,18869.07672829815
03/1996,18986.88400471991
04/1996,19531.23998868481
05/1996,19834.258843716092
06/1996,19840.483694978546
07/1996,18998.527759977253
08/1996,19074.33631441522
09/1996,19634.391485892553
10/1996,19904.861894222904
11/1996,20704.32505729764
12/1996,21093.24683581075
01/1997,21691.552472766816
02/1997,22845.101005669985
