Date,MSCI World Momentum Low Carbon SRI Screened Select
11/2013,10000
12/2013,10113.735661434775
01/2014,9836.106038057736
02/2014,10128.82052179586
03/2014,9934.944891134239
04/2014,9981.395495472296
05/2014,10421.570546204359
06/2014,10632.036396751238
07/2014,10724.30290500371
08/2014,11236.718007780752
09/2014,11561.175613654097
10/2014,11889.97781186338
11/2014,12308.591680959289
12/2014,12543.797177335618
01/2015,13494.381816441319
02/2015,14192.805881751578
03/2015,14746.492794430558
04/2015,13873.097658027946
05/2015,14444.95079541259
06/2015,13980.75997085266
07/2015,14562.812029715866
08/2015,13350.174738859781
09/2015,12910.365532298832
10/2015,13920.16905174745
11/2015,14401.439025671374
12/2015,14018.658158928596
01/2016,13313.08207426327
02/2016,13155.281366404051
03/2016,13351.685857672901
04/2016,13238.398591978446
05/2016,13811.65798374461
06/2016,13962.821357178345
07/2016,14491.338860971127
08/2016,14345.409411721017
09/2016,14380.400716201111
10/2016,14267.761750056501
11/2016,14878.23644926269
12/2016,15257.134510224141
01/2017,15489.817560565447
02/2017,16137.279263285922
03/2017,16121.880621571065
04/2017,16002.532402405384
05/2017,16080.93276554069
06/2017,15726.63090467658
07/2017,15710.05843177078
08/2017,15833.668107620015
09/2017,16097.777280300475
10/2017,17103.964252711936
11/2017,17139.86034387261
12/2017,16984.495403215315
01/2018,17430.067616917815
02/2018,17373.831314870586
03/2018,16765.490332725603
04/2018,17201.21673282475
05/2018,18045.15086110656
06/2018,17831.688617273365
07/2018,18170.738766179926
08/2018,18969.08401529257
09/2018,19163.794945957197
10/2018,18174.519132559522
11/2018,18218.13169352511
12/2018,16603.056662592815
01/2019,17524.311574313222
02/2019,18270.221437327564
03/2019,18981.385650904052
04/2019,19426.46738094923
05/2019,18781.15022230067
06/2019,19580.557148872354
07/2019,20179.437897176933
08/2019,19985.10669339268
09/2019,20266.324283485545
10/2019,19903.728319501977
11/2019,20803.242282954725
12/2019,20967.6733726054
01/2020,21601.848118626385
02/2020,20049.545040214463
03/2020,17943.22569922981
04/2020,19899.407110255794
05/2020,20650.803396268897
06/2020,21494.297139055718
07/2020,21568.970419169218
08/2020,22886.831317135355
09/2020,22491.872954020586
10/2020,21720.137364153
11/2020,23415.047106870006
12/2020,23770.99958399233
01/2021,23867.798885652497
02/2021,24202.05616172542
03/2021,25315.21309381039
04/2021,25757.950728609674
05/2021,25843.59264205462
06/2021,26968.833778165437
07/2021,27660.12153068507
08/2021,29030.800289634706
09/2021,28001.261891655766
10/2021,30343.890383555903
11/2021,30677.210062758175
12/2021,31678.32619257127
01/2022,29098.617799872365
02/2022,28061.622631700444
03/2022,29457.216781567637
04/2022,28343.473722359595
05/2022,27266.97257925483
06/2022,25944.82917815762
07/2022,28025.55577041717
08/2022,27427.376531245038
09/2022,25887.039836041084
10/2022,27538.98787045441
11/2022,27837.173179847767
12/2022,26161.874299753224
01/2023,26823.286792010284
02/2023,26693.954969114464
03/2023,26440.48993780686
04/2023,26375.122418721567
05/2023,26523.475937641342
06/2023,27663.412537169632
07/2023,27640.877681755584
08/2023,27842.46783776399
09/2023,27394.431873110454
10/2023,26666.115433244013
11/2023,28768.77047760898
12/2023,29467.104962878988
01/2024,31604.320016767906
02/2024,33959.75621428052
03/2024,35320.7852949159
04/2024,33914.01040160414
05/2024,35379.2722277606
06/2024,36736.489109272545
07/2024,36504.6121122578
08/2024,36536.27526758426
09/2024,36761.73230817284
10/2024,37493.031469094894
