Date,MSCI World Quality Low Carbon SRI Screened Select
11/2013,10000
12/2013,10121.326323721845
01/2014,9910.153205110857
02/2014,10231.92916596722
03/2014,10289.167703948046
04/2014,10427.885203707956
05/2014,10771.905672679035
06/2014,10901.751408419812
07/2014,11018.09174936386
08/2014,11578.714133650083
09/2014,11845.044261527215
10/2014,12131.466753565002
11/2014,12413.718953726277
12/2014,12639.072347174031
01/2015,13580.19087702546
02/2015,14378.878951541748
03/2015,14794.739766255452
04/2015,14455.367729159745
05/2015,14912.908330566876
06/2015,14295.33982302305
07/2015,14988.66523743786
08/2015,13666.135912638514
09/2015,13386.900948037013
10/2015,14632.538703609405
11/2015,15193.757147588052
12/2015,14487.348163572784
01/2016,13697.160418210695
02/2016,13630.556732402682
03/2016,13947.242811425363
04/2016,14040.054441661907
05/2016,14519.928463097911
06/2016,14279.002663845484
07/2016,14744.841182799468
08/2016,14726.881675360828
09/2016,14707.559168627266
10/2016,14609.405844180985
11/2016,15256.71413454247
12/2016,15779.056347529064
01/2017,15775.842380228038
02/2017,16626.677375979118
03/2017,16672.316759446232
04/2017,16558.597498080962
05/2017,16581.04766197287
06/2017,16385.177422332566
07/2017,16403.71300501665
08/2017,16307.64143243645
09/2017,16781.550246253253
10/2017,17506.322798949044
11/2017,17633.689979667
12/2017,17657.1952375824
01/2018,17797.43389420183
02/2018,17461.2918631612
03/2018,17069.376226291173
04/2018,17536.447056874913
05/2018,18315.48237987682
06/2018,18290.01772287853
07/2018,18886.88824946084
08/2018,19433.117109682727
09/2018,19533.80528322233
10/2018,18473.198751770648
11/2018,18650.21773793397
12/2018,17123.29795637936
01/2019,18387.482879595686
02/2019,19195.992092480086
03/2019,19927.057123850507
04/2019,20658.341034428424
05/2019,19384.951589492903
06/2019,20301.474496112063
07/2019,21034.06991568496
08/2019,20887.88301396865
09/2019,21704.203426258304
10/2019,21873.904776237418
11/2019,22881.533351118145
12/2019,23235.885891358997
01/2020,23414.89443937801
02/2020,21660.766229964374
03/2020,18962.008457431002
04/2020,21088.775663518845
05/2020,21638.36866040186
06/2020,21973.628104852738
07/2020,21692.128194408222
08/2020,23153.3260981053
09/2020,22649.447580449658
10/2020,22057.29212308171
11/2020,23989.801469208534
12/2020,24469.35823556751
01/2021,24198.669975177247
02/2021,25017.613349291823
03/2021,26774.32909554302
04/2021,27320.153189617195
05/2021,27678.445238437875
06/2021,29009.44245364153
07/2021,29922.420714648302
08/2021,30798.19087763813
09/2021,29742.424289726627
10/2021,31510.184666222096
11/2021,31732.64957629064
12/2021,33094.88825750019
01/2022,31333.63602391389
02/2022,30501.840510047892
03/2022,31734.535506810378
04/2022,31015.780381629225
05/2022,30221.184458519772
06/2022,28816.574867994033
07/2022,31648.247395920225
08/2022,30487.05326328907
09/2022,28785.95765211546
10/2022,30281.987949463644
11/2022,31368.50785448918
12/2022,29266.53609531704
01/2023,30510.219048434035
02/2023,29945.19987488025
03/2023,30374.755657129834
04/2023,30660.842100979204
05/2023,31275.769610121984
06/2023,32361.633705365857
07/2023,32983.90127827039
08/2023,32864.96900249745
09/2023,32076.01076072329
10/2023,31419.520545701325
11/2023,33564.77850354252
12/2023,35121.35899038091
01/2024,36654.62894668203
02/2024,38664.96289555497
03/2024,39829.46630390159
04/2024,38559.576488950675
05/2024,40247.48705637488
06/2024,42022.18992382777
07/2024,41845.38073896923
08/2024,42072.698450168675
09/2024,42080.64195955654
10/2024,42215.33218030309
