Date,MSCI World SRI Select Reduced Fossil Fuel
05/2012,10000
06/2012,10426.489838760923
07/2012,10770.204217681538
08/2012,10800.18935294584
09/2012,10798.370268368139
10/2012,10748.770279381206
11/2012,10970.475467426459
12/2012,11116.816232378354
01/2013,11426.485722509224
02/2013,11847.798301470028
03/2013,12433.646694260056
04/2013,12618.923401927786
05/2013,12549.516755343688
06/2013,12191.627467125383
07/2013,12650.798392467044
08/2013,12454.486272761616
09/2013,12946.610494631617
10/2013,13259.862632504944
11/2013,13494.739196973034
12/2013,13595.859042128923
01/2014,13331.141927345368
02/2014,13762.005321074352
03/2014,13740.775274151436
04/2014,13716.177699638987
05/2014,14260.314384507974
06/2014,14470.663101478987
07/2014,14591.6441894013
08/2014,15121.606309523808
09/2014,15430.42415004371
10/2014,15616.401010060681
11/2014,16019.970351678283
12/2014,16217.47670702578
01/2015,17147.71526227333
02/2015,18283.754447508894
03/2015,18930.858332558786
04/2015,18459.556872046367
05/2015,18969.229605287146
06/2015,18210.0626517115
07/2015,18873.041292057995
08/2015,17179.365992866697
09/2015,16720.51275283406
10/2015,18367.91195879096
11/2015,19098.02895831364
12/2015,18297.073753100027
01/2016,17190.23997435897
02/2016,17175.54636021308
03/2016,17591.26695564339
04/2016,17732.178508287292
05/2016,18340.316322395553
06/2016,18073.043403891188
07/2016,18850.651502744535
08/2016,18881.963087495507
09/2016,18892.83279992832
10/2016,18770.8402521469
11/2016,19465.246041372826
12/2016,20071.63334977706
01/2017,20228.549165969318
02/2017,21005.745144852317
03/2017,21131.574995790856
04/2017,21087.346838060384
05/2017,20922.00734782996
06/2017,20698.750679985977
07/2017,20671.127267843436
08/2017,20547.86392389006
09/2017,20997.934413857358
10/2017,21817.695482900846
11/2017,21909.388160182298
12/2017,21906.999123655463
01/2018,22157.819609055146
02/2018,21671.77997543802
03/2018,21117.222370749125
04/2018,21684.189851808922
05/2018,22442.878111804428
06/2018,22445.28077200206
07/2018,23084.745563224267
08/2018,23462.279568277398
09/2018,23747.07351762267
10/2018,22379.10834334688
11/2018,22934.89296328902
12/2018,21071.884576419216
01/2019,22467.233400940106
02/2019,23358.675503679046
03/2019,23991.34314018692
04/2019,24953.801126760565
05/2019,23785.01876423639
06/2019,24965.22269507909
07/2019,25610.99930230473
08/2019,25577.534931134473
09/2019,26454.702575994124
10/2019,26647.557497758655
11/2019,27838.7718020397
12/2019,27949.455006231085
01/2020,28347.947558812884
02/2020,26432.41215814886
03/2020,23551.209456005847
04/2020,26148.84484737036
05/2020,26816.57575161638
06/2020,27444.489591891415
07/2020,27243.89925979068
08/2020,29008.913405360134
09/2020,28860.958935770406
10/2020,27839.412461104468
11/2020,30477.960230383975
12/2020,31011.583458560828
01/2021,31212.094311964403
02/2021,31398.27482633446
03/2021,33687.81739019189
04/2021,34048.30866826684
05/2021,34198.52017457586
06/2021,35680.260323965
07/2021,36379.456151711376
08/2021,37716.19822460706
09/2021,36838.42034027118
10/2021,39793.14827479605
11/2021,40058.63372964886
12/2021,42015.595060921776
01/2022,39462.141254033704
02/2022,38189.60007411376
03/2022,39774.223297000266
04/2022,38276.82298766603
05/2022,37200.849424064225
06/2022,35124.40759795898
07/2022,38865.00360855069
08/2022,37670.416406000004
09/2022,34998.789980508824
10/2022,36723.05111055074
11/2022,37856.057433500384
12/2022,35080.77962591412
01/2023,37425.35695652174
02/2023,37508.49875317826
03/2023,37717.41465195402
04/2023,37671.57395683453
05/2023,38411.474507160914
06/2023,40305.27551444874
07/2023,40912.301984940575
08/2023,40318.92557232241
09/2023,39411.884724372285
10/2023,37853.17577549675
11/2023,40648.60572408746
12/2023,42313.79418914027
01/2024,43197.87387284303
02/2024,44452.02663033438
03/2024,45527.55706780132
04/2024,43940.73461466691
05/2024,44591.64230740877
06/2024,46176.930929472204
07/2024,46733.88087181381
08/2024,46589.2455948408
09/2024,47146.26676134334
10/2024,46954.55296085278
