Date,MSCI World Sector Neutral Quality
11/1998,10000
12/1998,10508.74662318815
01/1999,11111.950876407604
02/1999,11049.666744212875
03/1999,11713.568401078377
04/1999,12244.014220287441
05/1999,11854.36021919361
06/1999,12615.925776652812
07/1999,11965.236346069614
08/1999,12131.259556163212
09/1999,11796.05970820351
10/1999,12683.757763010415
11/1999,13464.78323349145
12/1999,14627.408407885907
01/2000,13819.214616708938
02/2000,13697.126845277
03/2000,15024.175733296854
04/2000,15171.938512027966
05/2000,14685.124127689125
06/2000,14903.040826007267
07/2000,15256.22273793823
08/2000,15983.811922092282
09/2000,15746.055129060565
10/2000,16495.544605828916
11/2000,15413.556582803816
12/2000,14872.92721530766
01/2001,14815.185273477162
02/2001,13639.321960106792
03/2001,13332.265011677197
04/2001,14262.220423974135
05/2001,14700.668580606743
06/2001,14319.833329937554
07/2001,14012.337764682743
08/2001,12727.987268606765
09/2001,11926.61100010936
10/2001,12261.921044818793
11/2001,13227.872200836526
12/2001,13584.391434034667
01/2002,13683.853238017371
02/2002,13677.620860295889
03/2002,13959.69674229816
04/2002,12882.801416690407
05/2002,12233.069065055292
06/2002,11025.690147129915
07/2002,10301.434324953058
08/2002,10290.933895167413
09/2002,9193.81496044735
10/2002,10056.645269966293
11/2002,10451.680737204051
12/2002,9429.937552580826
01/2003,8798.158961943574
02/2003,8616.817602913105
03/2003,8544.204769754258
04/2003,9115.836149147408
05/2003,9003.372591943833
06/2003,9355.270965791957
07/2003,9549.006112503099
08/2003,10065.882567842335
09/2003,9395.010194572356
10/2003,9952.589629083295
11/2003,9761.414341368478
12/2003,9785.254721721667
01/2004,10061.326262512983
02/2004,10209.126423105334
03/2004,10234.742219569025
04/2004,10382.177488115643
05/2004,10249.191428071163
06/2004,10463.027347112324
07/2004,10319.416001167814
08/2004,10347.000208077812
09/2004,10315.698212475567
10/2004,10153.447619299628
11/2004,10189.184119427338
12/2004,10380.101424153061
01/2005,10625.328632662377
02/2005,10852.039458930489
03/2005,10894.86765284888
04/2005,10621.813003480374
05/2005,11409.304174456807
06/2005,11784.329334937556
07/2005,12166.694147948123
08/2005,11986.342917733022
09/2005,12327.275511739193
10/2005,12129.167468297483
11/2005,12794.156293614944
12/2005,12859.874637279103
01/2006,12942.457200068175
02/2006,13256.337302803026
03/2006,13285.171284799675
04/2006,13232.89383009929
05/2006,12476.081854351536
06/2006,12657.778017805882
07/2006,12611.841737324838
08/2006,12872.183341503694
09/2006,13218.225859948385
10/2006,13749.459836959857
11/2006,13562.908475747316
12/2006,13849.886423585787
01/2007,14206.477154797789
02/2007,13820.767825592395
03/2007,13961.084338429473
04/2007,14369.383009585285
05/2007,14954.287180794056
06/2007,14866.383439223124
07/2007,14367.546899457755
08/2007,14477.063363300414
09/2007,14887.241143260602
10/2007,15172.934552304749
11/2007,14347.204673525714
12/2007,14224.03140931226
01/2008,12935.502958851635
02/2008,12614.755733959102
03/2008,11936.64100557222
04/2008,12717.800585625264
05/2008,12977.582017050614
06/2008,11954.791475547083
07/2008,11726.32207348909
08/2008,12317.466031922642
09/2008,11365.558560241776
10/2008,10410.661870962327
11/2008,9940.825011882956
12/2008,9341.947732644863
01/2009,9338.84981353958
02/2009,8550.977633704924
03/2009,8762.105907113179
04/2009,9629.906665793971
05/2009,9882.184776064458
06/2009,9911.233451161175
07/2009,10661.822741686887
08/2009,10838.163382831952
09/2009,10956.789865992396
10/2009,10832.289166047476
11/2009,11153.767504316695
12/2009,11858.331414805172
01/2010,11728.251401326645
02/2010,12235.975786352383
03/2010,13000.786924582915
04/2010,13139.158267353008
05/2010,12857.657561602324
06/2010,12603.871626626107
07/2010,12773.07695357962
08/2010,12742.912097136827
09/2010,12973.286258880336
10/2010,13321.354337951023
11/2010,13934.940693115252
12/2010,14400.585375024315
01/2011,14280.350453527606
02/2011,14577.656422615808
03/2011,14233.500221916245
04/2011,14293.985674705511
05/2011,14527.663077721705
06/2011,14280.518138546697
07/2011,14309.667650310406
08/2011,13367.426137232864
09/2011,13085.725217442272
10/2011,13906.049327103281
11/2011,14258.711613478545
12/2011,14776.173014743179
01/2012,15190.75234023019
02/2012,15668.893320560399
03/2012,15889.897243250043
04/2012,16041.88822662548
05/2012,15634.10473594435
06/2012,16120.713525721392
07/2012,16848.019422637917
08/2012,16760.6390565834
09/2012,16730.3126403434
10/2012,16507.558484236455
11/2012,16733.899356385966
12/2012,16628.340204903452
01/2013,16990.280518368447
02/2013,17558.700184323938
03/2013,18444.84572751378
04/2013,18545.555189880502
05/2013,18670.422188014803
06/2013,18000.18194787145
07/2013,18654.726686377377
08/2013,18337.931601566972
09/2013,18853.224062474
10/2013,19378.86002690819
11/2013,19844.677084352574
12/2013,20029.432622219458
01/2014,19452.46223167974
02/2014,20099.37887163095
03/2014,20210.680643284704
04/2014,20495.088594907156
05/2014,21164.599574437754
06/2014,21354.26277706467
07/2014,21572.80671628122
08/2014,22586.822714638067
09/2014,23015.660467258564
10/2014,23594.19162291183
11/2014,23970.33115435529
12/2014,24281.826508832528
01/2015,25886.8078843846
02/2015,27369.65190754987
03/2015,28148.017154609814
04/2015,27633.499280854947
05/2015,28398.0619682112
06/2015,27180.035553559428
07/2015,28390.442197622036
08/2015,25938.65321786506
09/2015,25423.187786468563
10/2015,28023.796361361066
11/2015,29102.500835685067
12/2015,27791.84139327018
01/2016,26333.035005192793
02/2016,26429.525042131972
03/2016,26941.516842266403
04/2016,27018.951688559813
05/2016,27818.730937238208
06/2016,27829.834800756973
07/2016,28697.91546101128
08/2016,28525.507540598202
09/2016,28518.63124261643
10/2016,28210.752594032292
11/2016,29417.997764801006
12/2016,30153.74631223985
01/2017,29993.30001515855
02/2017,31545.53714438503
03/2017,31682.33586475468
04/2017,31491.254126883185
05/2017,31498.395231785733
06/2017,30881.09817449
07/2017,30524.03689137745
08/2017,30366.438610357927
09/2017,31080.75672694648
10/2017,32262.40489335644
11/2017,32613.151664712703
12/2017,32653.869653186754
01/2018,32730.867069167696
02/2018,32215.300221111876
03/2018,31570.364466068244
04/2018,32398.659443617897
05/2018,34001.115167757154
06/2018,33905.185308018146
07/2018,34817.21490822683
08/2018,35642.649630222455
09/2018,36030.82885391634
10/2018,34287.3898892905
11/2018,34343.764795847215
12/2018,31739.63112947385
01/2019,33969.92218443134
02/2019,35716.885280550814
03/2019,37046.240797364226
04/2019,38293.73457325075
05/2019,36286.27335540535
06/2019,37952.700108077195
07/2019,38915.85980145468
08/2019,38473.233845080074
09/2019,39697.046068465184
10/2019,39855.92462277948
11/2019,41817.022904319085
12/2019,42264.21534651675
01/2020,42771.471904473954
02/2020,39441.03480979507
03/2020,35117.55530022574
04/2020,38989.25871637635
05/2020,39868.444138175175
06/2020,40212.61921018995
07/2020,39548.53769049832
08/2020,41973.965981207744
09/2020,41505.77659338041
10/2020,40246.91770209596
11/2020,43922.227622841514
