Date,MSCI World Small Cap
12/2000,10000
01/2001,10384.091628107179
02/2001,10130.858996539795
03/2001,10020.99615036232
04/2001,10756.940626408292
05/2001,11380.739209905661
06/2001,11351.990271226416
07/2001,10629.91296402056
08/2001,10140.092760428042
09/2001,8835.21520096375
10/2001,9518.535445697855
11/2001,10281.094290851877
12/2001,10645.583059117214
01/2002,10639.07218941762
02/2002,10530.321465726507
03/2002,11252.394429160935
04/2002,11069.210646092362
05/2002,10591.76046660275
06/2002,9448.376290726817
07/2002,8585.843248492283
08/2002,8501.210007118887
09/2002,7834.979868154158
10/2002,7925.286597729116
11/2002,8318.353178200867
12/2002,7514.007104033566
01/2003,7155.799648668641
02/2003,7052.451261361529
03/2003,6990.407939421753
04/2003,7546.153535172042
05/2003,7844.787176450686
06/2003,8378.490067384264
07/2003,8797.820772221241
08/2003,9682.752173515146
09/2003,9248.301150017165
10/2003,10089.063543279986
11/2003,9950.857303651823
12/2003,9844.439509105307
01/2004,10471.055353682172
02/2004,10656.91504267998
03/2004,11127.254540248692
04/2004,10866.218088222982
05/2004,10687.934456468274
06/2004,11200.601892225422
07/2004,10725.444306005482
08/2004,10646.853067459333
09/2004,10770.07446208397
10/2004,10798.241736672686
11/2004,11168.939526137647
12/2004,11347.236069304749
01/2005,11706.667970847717
02/2005,11882.773478162479
03/2005,11869.186400802222
04/2005,11405.501234853744
05/2005,12354.423039493959
06/2005,12968.8245120741
07/2005,13639.023236583147
08/2005,13657.63153795704
09/2005,14184.21375186846
10/2005,13731.666264659403
11/2005,14598.073625626645
12/2005,15159.333389844878
01/2006,15874.400643670573
02/2006,16069.166905263159
03/2006,16497.54052379379
04/2006,16342.2727127702
05/2006,15028.500582841156
06/2006,14973.196413120426
07/2006,14492.900093992326
08/2006,14800.098124659558
09/2006,15072.115521327016
10/2006,15688.33553875236
11/2006,15614.212954545455
12/2006,15914.44677296887
01/2007,16473.168596572486
02/2007,16277.798349859964
03/2007,16546.31337287881
04/2007,16723.76262403528
05/2007,17345.35553408162
06/2007,17144.48833765272
07/2007,16329.47056248632
08/2007,15866.230134987229
09/2007,15653.321320262363
10/2007,16113.487886758496
11/2007,14577.160930831247
12/2007,14349.838394130833
01/2008,13079.37582380632
02/2008,12926.385508010815
03/2008,12273.98469516823
04/2008,12991.971525096526
05/2008,13487.509898117101
06/2008,12196.727670641969
07/2008,12095.009864838896
08/2008,12805.410281642347
09/2008,11438.585821156401
10/2008,9921.564748765384
11/2008,9098.896479924571
12/2008,8822.466515772077
01/2009,8847.881710362048
02/2009,8032.958517874091
03/2009,8259.83062819357
04/2009,9649.162335216573
05/2009,9876.381649879415
06/2009,9961.893236168105
07/2009,10834.15808459471
08/2009,11387.019829035875
09/2009,11751.955097999045
10/2009,11169.332195945944
11/2009,11263.61485721893
12/2009,12283.491357767594
01/2010,12365.536159243879
02/2010,13021.514369933679
03/2010,14120.901847318048
04/2010,14845.720428088622
