Date,MSCI World Utilities
04/2016,10000
05/2016,10298.591549295774
06/2016,10794.366197183099
07/2016,10861.971830985916
08/2016,10315.492957746479
09/2016,10383.098591549297
10/2016,10518.309859154931
11/2016,10259.154929577464
12/2016,10732.394366197183
01/2017,10467.605633802816
02/2017,11098.591549295774
03/2017,11250.704225352112
04/2017,11092.957746478873
05/2017,11391.549295774648
06/2017,10974.647887323943
07/2017,10845.070422535211
08/2017,11121.126760563378
09/2017,10895.774647887323
10/2017,11357.74647887324
11/2017,11290.140845070422
12/2017,10709.85915492958
01/2018,10147.605633802817
02/2018,9953.802816901409
03/2018,10289.577464788732
04/2018,10744.788732394367
05/2018,10880
06/2018,11080.56338028169
07/2018,11221.408450704226
08/2018,11270.422535211268
09/2018,11189.859154929576
10/2018,11459.154929577464
11/2018,11760.56338028169
12/2018,11436.61971830986
01/2019,11943.661971830987
02/2019,12388.732394366196
03/2019,12816.901408450703
04/2019,12785.915492957747
05/2019,12743.661971830987
06/2019,13000
07/2019,13273.239436619719
08/2019,13822.535211267606
09/2019,14478.87323943662
10/2019,14109.85915492958
11/2019,14050.704225352112
12/2019,14326.760563380281
01/2020,15312.676056338029
02/2020,14211.267605633802
03/2020,12777.464788732394
04/2020,13033.80281690141
05/2020,13338.028169014084
06/2020,13118.30985915493
07/2020,13236.61971830986
08/2020,12971.830985915492
09/2020,13154.929577464789
10/2020,13529.577464788732
11/2020,13856.338028169013
12/2020,13628.169014084508
01/2021,13749.295774647888
02/2021,13138.028169014084
03/2021,14402.81690140845
04/2021,14453.521126760563
05/2021,14199.999999999998
06/2021,14216.901408450703
07/2021,14740.845070422536
08/2021,15239.43661971831
09/2021,14433.802816901409
10/2021,15202.81690140845
11/2021,15357.74647887324
12/2021,16326.760563380281
01/2022,15918.30985915493
02/2022,15904.225352112677
03/2022,17014.084507042255
04/2022,17436.61971830986
05/2022,17453.521126760563
06/2022,16611.267605633802
07/2022,17949.295774647886
08/2022,18042.25352112676
09/2022,16447.88732394366
10/2022,16552.11267605634
11/2022,16921.12676056338
12/2022,16690.140845070422
01/2023,16228.169014084508
02/2023,16109.859154929578
03/2023,16363.38028169014
04/2023,16701.408450704224
05/2023,16183.098591549297
06/2023,16160.56338028169
07/2023,16369.014084507042
08/2023,15839.43661971831
09/2023,15281.69014084507
10/2023,15307.042253521127
11/2023,15850.704225352112
12/2023,16157.74647887324
01/2024,16002.81690140845
02/2024,15774.647887323943
03/2024,16676.056338028167
04/2024,17042.25352112676
05/2024,17940.845070422536
06/2024,17430.985915492958
07/2024,18374.647887323943
08/2024,18757.74647887324
09/2024,19718.309859154928
10/2024,19692.957746478874
