Date,MarketVector Global Uranium and Nuclear Energy Infrastructure
12/2021,9999.999999999998
01/2022,9427.504123341701
02/2022,10613.915296008574
03/2022,11656.873056481398
04/2022,11377.25713472486
05/2022,11263.702989996558
06/2022,10420.530331986722
07/2022,11808.115333965607
08/2022,12740.164359999999
09/2022,11301.368157570783
10/2022,11675.696247730484
11/2022,11671.25961835004
12/2022,11012.533358334897
01/2023,11995.648573802273
02/2023,11478.627422544496
03/2023,10898.059457471269
04/2023,10780.483070758582
05/2023,11054.803631938596
06/2023,12066.16129210381
07/2023,12421.096688741723
08/2023,13399.550073610602
09/2023,14595.080875967533
10/2023,14111.157152274227
11/2023,14689.607519897543
12/2023,14797.188380090502
01/2024,16562.48522653871
02/2024,16386.71123221873
03/2024,17675.62107113126
04/2024,17558.68152640418
05/2024,18278.464891264284
06/2024,17742.09171415227
07/2024,17667.011932028076
08/2024,16927.604437629656
09/2024,18577.63436941765
10/2024,20979.848594008454
