Date,MarketVector Global Video Gaming & eSports ESG
12/2021,9999.999999999998
01/2022,8980.29159196845
02/2022,8838.50740244665
03/2022,8772.472137645258
04/2022,7883.390303605313
05/2022,8053.586315691217
06/2022,7571.638721478772
07/2022,8304.585703079036
08/2022,7954.702840000001
09/2022,7040.407981124335
10/2022,6798.79878959048
11/2022,7305.248168851194
12/2022,6782.11413838365
01/2023,7581.195532170222
02/2023,7382.644957152274
03/2023,8176.070160919542
04/2023,7773.17788908114
05/2023,8279.758700739492
06/2023,8595.606386894902
07/2023,8922.191871541323
08/2023,8377.57165991903
09/2023,8103.104058901266
10/2023,7802.77033618985
11/2023,8430.311389625836
12/2023,8688.118226244344
01/2024,8974.47282458245
02/2024,9663.507241825237
03/2024,9798.860031449452
04/2024,9539.814349692107
05/2024,10140.902967194988
06/2024,10593.96269033162
07/2024,10704.262430735133
08/2024,10845.15322449716
09/2024,11713.2448017149
10/2024,11733.47371806653
