Date,Markit iBoxx EUR Eurozone (DE ES FR IT NL) 3-5
01/2007,10000
02/2007,10073.260627402446
03/2007,10059.191558865004
04/2007,10060.257368106917
05/2007,9997.673945422193
06/2007,9990.218502687865
07/2007,10085.278676870092
08/2007,10203.035140846498
09/2007,10225.168913136793
10/2007,10264.645153953106
11/2007,10368.664971748965
12/2007,10340.563457338103
01/2008,10582.098309848909
02/2008,10674.909097337364
03/2008,10593.873640406555
04/2008,10531.762924695715
05/2008,10414.226317327719
06/2008,10317.453037919442
07/2008,10482.768017737442
08/2008,10594.54854488979
09/2008,10717.379600367372
10/2008,10943.084231521252
11/2008,11146.844222898415
12/2008,11297.553454284718
01/2009,11372.203875266603
02/2009,11466.782873968896
03/2009,11560.04187385877
04/2009,11593.260415131559
05/2009,11555.46809484809
06/2009,11646.103884819004
07/2009,11747.343639656528
08/2009,11765.232788712681
09/2009,11840.886892556655
10/2009,11873.736031361967
11/2009,11949.44976879003
12/2009,11907.276732923061
01/2010,11981.735353347687
02/2010,12118.716066005865
03/2010,12168.684701749615
04/2010,12201.869952455334
05/2010,12293.928229001298
06/2010,12296.056896628079
07/2010,12361.7176048459
08/2010,12501.406716768153
09/2010,12435.108442597675
10/2010,12406.698292263136
11/2010,12224.090021230539
12/2010,12235.362247420748
01/2011,12153.452150353452
02/2011,12178.268354524449
03/2011,12128.54424238893
04/2011,12168.726119603614
05/2011,12264.452557745706
06/2011,12282.974458885341
07/2011,12289.727776796566
08/2011,12606.717446704693
09/2011,12638.470418750783
10/2011,12526.365023617001
11/2011,12294.39970851115
12/2011,12677.764743928803
01/2012,12915.672321077687
02/2012,13087.46255755185
03/2012,13046.468018780957
04/2012,13018.12069876242
05/2012,12929.109299476735
06/2012,12977.358565846525
07/2012,13064.96909018494
08/2012,13208.700496768059
09/2012,13340.559133830135
10/2012,13416.001627381209
11/2012,13530.03190563434
12/2012,13592.029672576844
01/2013,13538.530570925459
02/2013,13588.18162976268
03/2013,13625.402913999076
04/2013,13827.297579307142
05/2013,13748.942144041735
06/2013,13624.933853016464
07/2013,13721.23853886002
08/2013,13704.550976067872
09/2013,13786.991035991667
10/2013,13929.062699258076
11/2013,13992.34968707191
12/2013,13918.503293705511
01/2014,14120.574618369772
02/2014,14166.163864957955
03/2014,14256.325717488578
04/2014,14314.739493235002
05/2014,14396.166688810914
06/2014,14497.815500463594
07/2014,14557.035457561591
08/2014,14644.955392565971
09/2014,14688.068231409923
10/2014,14660.63308504745
11/2014,14708.747788544668
12/2014,14752.119522324438
01/2015,14808.540160689932
02/2015,14881.736811138591
03/2015,14893.068326710423
04/2015,14860.08804930736
05/2015,14838.140006727923
06/2015,14742.16486959658
07/2015,14868.26670602888
08/2015,14817.946191913219
09/2015,14884.996826397715
10/2015,14960.838532450269
11/2015,15025.783614192562
12/2015,14950.674538702178
01/2016,15080.236520406597
02/2016,15115.01084027758
03/2016,15118.5751366544
04/2016,15099.283941902595
05/2016,15140.165742258974
06/2016,15217.9068176969
07/2016,15238.45853433855
08/2016,15238.86810066396
09/2016,15256.090134439324
10/2016,15158.074911929054
11/2016,15115.146218220822
12/2016,15212.082809666043
01/2017,15101.503352324196
02/2017,15175.302757871996
03/2017,15134.367439084164
04/2017,15175.560579242903
05/2017,15222.216156940613
06/2017,15173.370427328471
07/2017,15212.042273413832
08/2017,15266.432340580715
09/2017,15251.470111569417
10/2017,15323.19024581123
11/2017,15337.9459581952
12/2017,15255.114629975329
01/2018,15209.405006565816
02/2018,15238.808470548895
03/2018,15344.63281930772
04/2018,15328.685044396727
05/2018,14994.371933638095
06/2018,15131.96977400033
07/2018,15100.203508563172
08/2018,14938.966962252807
09/2018,14989.760307029921
10/2018,14985.086502989447
11/2018,15100.469427898544
12/2018,15258.906827517481
01/2019,15340.007224944242
02/2019,15300.141562669085
03/2019,15391.647464568405
04/2019,15397.184620994307
05/2019,15415.98322144197
06/2019,15578.544263188516
07/2019,15718.315076680485
08/2019,15844.841987038959
09/2019,15839.178876477738
10/2019,15767.68806081637
11/2019,15698.8684031667
12/2019,15677.02787707774
01/2020,15794.25213327434
02/2020,15775.312549182858
03/2020,15615.618283046728
04/2020,15610.195677607868
05/2020,15651.279159793576
06/2020,15749.618125573936
07/2020,15803.394234238818
08/2020,15780.157997317043
09/2020,15856.258578071369
10/2020,15927.94539486712
11/2020,15933.017756292715
12/2020,15936.891699202544
01/2021,15906.57804228175
02/2021,15831.971943020744
03/2021,15881.227972369557
04/2021,15829.930195801233
05/2021,15829.402399218277
06/2021,15845.599313591521
07/2021,15934.5998125723
08/2021,15900.686996103557
09/2021,15845.377537665188
10/2021,15699.192541493772
11/2021,15850.003906428836
12/2021,15738.503363547885
01/2022,15661.0941653946
02/2022,15536.760106130843
03/2022,15288.16897118036
04/2022,15040.71839985232
05/2022,14923.019950053516
06/2022,14824.851548824146
07/2022,15091.083400228992
08/2022,14626.075978959425
09/2022,14307.017283326673
10/2022,14356.747109100334
11/2022,14442.464024699053
12/2022,14146.04303690416
01/2023,14312.706021090451
02/2023,14119.8706074175
03/2023,14378.20309079188
04/2023,14392.476324551244
05/2023,14459.712041834047
06/2023,14321.630211220858
07/2023,14399.405856175246
08/2023,14463.173838824727
09/2023,14310.247895949102
10/2023,14420.79241448267
11/2023,14645.952139677363
12/2023,14952.982024461133
01/2024,14930.667839243162
02/2024,14753.950728455791
03/2024,14851.215715854898
04/2024,14737.650883035245
05/2024,14744.357396489342
06/2024,14808.727064233368
07/2024,15042.992335757534
08/2024,15114.552904843398
09/2024,15298.904630642162
