Date,Markit iBoxx GBP Liquid Investment Grade Ultrashort
10/2013,10000
11/2013,10215.2567755643
12/2013,10211.568477873649
01/2014,10371.601598506282
02/2014,10318.657937908618
03/2014,10304.630719210341
04/2014,10375.378430912186
05/2014,10511.095754612254
06/2014,10668.593337962311
07/2014,10793.121380811626
08/2014,10768.7182596686
09/2014,11026.795227663315
10/2014,10936.185018497908
11/2014,10790.73713045918
12/2014,11026.486281528052
01/2015,11440.527771058763
02/2015,11812.981144418382
03/2015,11826.608019831825
04/2015,11840.304330449197
05/2015,11973.796329658851
06/2015,12107.028704609535
07/2015,12240.489004744055
08/2015,11854.8073921671
09/2015,11684.520070887875
10/2015,12019.220888903099
11/2015,12257.140405566659
12/2015,11780.523328618818
01/2016,11318.294476041026
02/2016,11008.122651492838
03/2016,10937.327253246915
04/2016,11104.350891675984
05/2016,11384.9884204125
06/2016,10501.180119798984
07/2016,10298.39252259482
08/2016,10260.241915694283
09/2016,10115.173600245094
10/2016,9679.834547134848
11/2016,10232.374513668714
12/2016,10193.085883056066
01/2017,10139.77735194391
02/2017,10241.146189702142
03/2017,10217.912829379495
04/2017,10349.844755350887
05/2017,10017.01349367106
06/2017,9953.834030265109
07/2017,9795.155280190806
08/2017,9528.332895279524
09/2017,9941.766311829184
10/2017,9984.302185811754
11/2017,9972.542187031337
12/2017,9896.727777689339
01/2018,9993.103926310167
02/2018,9938.670442543327
03/2018,10041.942169655616
04/2018,9997.091811076256
05/2018,10038.588907526462
06/2018,9937.60420587165
07/2018,9876.033600821449
08/2018,9826.91550354252
09/2018,9944.730378194703
10/2018,9937.458688350705
11/2018,9917.110540317844
12/2018,9883.594340860003
01/2019,10106.839476751808
02/2019,10322.633009174033
03/2019,10338.346021102849
04/2019,10299.93375831961
05/2019,10024.577663314003
06/2019,9928.8725596508
07/2019,9727.198773236383
08/2019,9850.513213157827
09/2019,10075.823920643787
10/2019,10368.45472078194
11/2019,10487.616289802772
12/2019,10516.33508791242
01/2020,10639.680622767451
02/2020,10506.458587524605
03/2020,10077.15476062702
04/2020,10304.851643007165
05/2020,9960.637322667677
06/2020,9852.686892841102
07/2020,9994.395006202158
08/2020,10062.29375500763
09/2020,9882.83549997707
10/2020,9999.884131733548
11/2020,10047.446397684836
12/2020,10043.60408359793
01/2021,10219.672363468708
02/2021,10378.63021627877
03/2021,10600.649738252429
04/2021,10400.435074482726
05/2021,10507.13128630738
06/2021,10535.099092547453
07/2021,10618.597087874428
08/2021,10529.139362219621
09/2021,10511.119993231687
10/2021,10700.991152886683
11/2021,10619.843491841413
12/2021,10765.994533695522
01/2022,10871.032838798745
02/2022,10821.562802180066
03/2022,10682.602553973205
04/2022,10771.98798909848
05/2022,10625.612429094106
06/2022,10547.522307831734
07/2022,10791.436016567774
08/2022,10535.871648409891
09/2022,10271.340242313407
10/2022,10567.910021411075
11/2022,10556.996730298688
12/2022,10325.694396243833
01/2023,10432.28550923843
02/2023,10496.351142480518
03/2023,10503.107191129358
04/2023,10524.41781962772
05/2023,10764.376256460897
06/2023,10869.34613995443
07/2023,10929.832162675562
08/2023,10983.665992845268
09/2023,10946.241825273008
10/2023,10884.31401924201
11/2023,11062.785019196348
12/2023,11044.13024718011
01/2024,11288.51493027457
02/2024,11306.896463184907
03/2024,11384.42868254815
04/2024,11441.144181076053
05/2024,11510.784381409963
06/2024,11656.973871497967
07/2024,11743.8485950993
08/2024,11832.162549254455
09/2024,11968.204178648579
