Date,Markit iBoxx Global Developed Markets Liquid High Yield Capped (GBP Hedged)
06/2013,10000
07/2013,10012.81103254763
08/2013,10183.457439818532
09/2013,10504.101803603418
10/2013,10586.022168274303
11/2013,10849.41936283669
12/2013,10892.617855595621
01/2014,11117.733928041407
02/2014,11263.249936078599
03/2014,11260.283920636968
04/2014,11400.179940330958
05/2014,11631.94062460511
06/2014,11889.448252967375
07/2014,11874.314473501372
08/2014,11994.439329771185
09/2014,12035.77217304455
10/2014,12081.162790381366
11/2014,11853.27687717609
12/2014,11998.427456911088
01/2015,12555.49443738681
02/2015,13225.524696394677
03/2015,13144.765986851145
04/2015,13260.491197226758
05/2015,13419.100188028433
06/2015,13326.851756600945
07/2015,13464.303343505142
08/2015,12839.847323980843
09/2015,12285.886501634568
10/2015,13051.211798036084
11/2015,13080.33783291588
12/2015,12248.234193324124
01/2016,11606.226258757977
02/2016,11361.485536665896
03/2016,11698.697685738707
04/2016,12204.67662699709
05/2016,12543.893207208073
06/2016,11637.408405708742
07/2016,11656.442173565265
08/2016,11832.634181335632
09/2016,11680.774658377897
10/2016,11194.811762265099
11/2016,11760.31694093156
12/2016,11922.835068663824
01/2017,11966.08180728079
02/2017,12234.25597870207
03/2017,12173.749416782817
04/2017,12446.439376830725
05/2017,12137.943474510139
06/2017,12070.37507382185
07/2017,11976.251628786453
08/2017,11631.858879267304
09/2017,12207.066762382796
10/2017,12309.754287395745
11/2017,12239.183066473048
12/2017,12134.694091447827
01/2018,12298.63428291518
02/2018,12121.378422146765
03/2018,12195.153907221094
04/2018,12209.74195389776
05/2018,12202.218054799068
06/2018,12075.435670221175
07/2018,12135.541197614593
08/2018,12119.546860421498
09/2018,12298.058896663839
10/2018,12087.127813998864
11/2018,11938.240462539088
12/2018,11695.643595451662
01/2019,12381.61525680732
02/2019,12826.67745945822
03/2019,12943.734160446927
04/2019,13022.753496266312
05/2019,12471.199928407797
06/2019,12618.546882512665
07/2019,12416.024459219285
08/2019,12613.269212243813
09/2019,12890.446951967586
10/2019,13288.424964555461
11/2019,13514.557415907653
12/2019,13724.326300512272
01/2020,13851.88125596121
02/2020,13419.44099674634
03/2020,11386.389763983334
04/2020,12149.478714091158
05/2020,12176.859010945083
06/2020,12120.448148940248
07/2020,12696.022764425801
08/2020,12893.627716908672
09/2020,12498.051875109566
10/2020,12685.924634540339
11/2020,13234.633876517686
12/2020,13394.256656513773
01/2021,13682.598946541468
02/2021,13946.365918973766
03/2021,14301.370059933299
04/2021,14155.03700601426
05/2021,14331.55990518071
06/2021,14501.27112975084
07/2021,14661.414329541807
08/2021,14610.732590824427
09/2021,14561.541488630686
10/2021,14778.9517264189
11/2021,14539.81838540558
12/2021,14932.813296491113
01/2022,14778.713552492909
02/2022,14472.509773889957
03/2022,14231.733242541892
04/2022,13889.61608312452
05/2022,13735.177241619032
06/2022,12747.433680528942
07/2022,13743.517452225555
08/2022,13108.682531741633
09/2022,12291.895362267107
10/2022,12911.113020520068
11/2022,13214.290396735707
12/2022,12799.959788034132
01/2023,13298.114447516917
02/2023,13250.064413287459
03/2023,13280.277545640569
04/2023,13337.557763549112
05/2023,13574.67205687292
06/2023,13781.241357312656
07/2023,13965.076818808451
08/2023,14020.185382130492
09/2023,13832.467499460987
10/2023,13627.689149474152
11/2023,14275.4053231605
12/2023,14629.118491032503
01/2024,14899.730706278257
02/2024,14893.624270637567
03/2024,15027.35423256869
04/2024,14981.195066881995
05/2024,15143.605223221037
06/2024,15369.913987991435
07/2024,15649.685471785946
08/2024,15896.41854855351
09/2024,16202.301041691448
