Date,Medical Cannabis and Wellness Equity
11/2018,10000
12/2018,7674.418174672489
01/2019,9797.631885445682
02/2019,10396.231219341274
03/2019,9892.592024922118
04/2019,10829.730139062221
05/2019,10499.154972648192
06/2019,10980.599569420036
07/2019,9922.393623890235
08/2019,9554.59053098949
09/2019,8996.549150518871
10/2019,8082.263546709701
11/2019,7863.382043343653
12/2019,7191.43810753071
01/2020,7519.633333333333
02/2020,6593.124952172725
03/2020,5457.317296458562
04/2020,6404.424779330637
05/2020,7209.027702945402
06/2020,7148.01440435792
07/2020,7175.593813301823
08/2020,7641.163149078727
09/2020,6946.860924154423
10/2020,6970.860412036245
11/2020,8627.814732888146
12/2020,9244.009925841414
01/2021,10764.187499999998
02/2021,12413.556777493608
03/2021,13127.807010660978
04/2021,11965.590531368978
05/2021,11431.058568969756
06/2021,11878.107446987548
07/2021,11072.421915734589
08/2021,10478.615109007944
09/2021,9940.081475084204
10/2021,9919.152863890082
11/2021,8715.630845727359
12/2021,9354.075322267348
01/2022,8609.462208676945
02/2022,8387.747691758193
03/2022,8804.27382217818
04/2022,7581.647533206829
05/2022,6698.766937365816
06/2022,5908.1672667757775
07/2022,6013.0968327122955
08/2022,5879.5319899999995
09/2022,5042.333278621256
10/2022,5295.214282832359
11/2022,5208.105878951425
12/2022,4406.963988374273
01/2023,4792.317326686975
02/2023,4743.096515679443
03/2023,3991.787613793104
04/2023,3653.3754849285124
05/2023,3551.4551998502293
06/2023,3558.337944045647
07/2023,3584.7367595028577
08/2023,3267.0189731321307
09/2023,2769.520200113272
10/2023,2457.176655052265
11/2023,2598.8219833501057
