Date,Morningstar Developed Markets Large Cap Dividend Leaders
04/2016,10000
05/2016,10275.286022697099
06/2016,10136.401944146202
07/2016,10538.39226959443
08/2016,10607.834308869878
09/2016,10535.101998406815
10/2016,10658.285133746636
11/2016,11125.503642387928
12/2016,11717.867904270424
01/2017,11646.694143317285
02/2017,12027.788360521363
03/2017,12149.701566630876
04/2017,11955.8064627853
05/2017,11859.926805897088
06/2017,11770.627691384107
07/2017,11630.646855770674
08/2017,11460.36089079763
09/2017,11971.796026275988
10/2017,12094.22874888881
11/2017,12052.090188064973
12/2017,12168.57733291772
01/2018,12207.656518777634
02/2018,11776.053752640875
03/2018,11484.316374005703
04/2018,11852.307230515244
05/2018,11843.417725903093
06/2018,11871.009824634319
07/2018,12333.206340410301
08/2018,12188.607580323025
09/2018,12435.204747226358
10/2018,12125.976979646497
11/2018,12109.583347764346
12/2018,11300.580704002585
01/2019,12059.76748750274
02/2019,12493.275147484963
03/2019,12809.256629607822
04/2019,13158.140823606827
05/2019,12313.291541116845
06/2019,12778.374259688982
07/2019,12854.743185675197
08/2019,12514.748496288345
09/2019,13312.090880753645
10/2019,13367.217354160171
11/2019,13691.915168727415
12/2019,13924.658562209217
01/2020,13595.862339671434
02/2020,12395.31742458352
03/2020,10328.62305037001
04/2020,10993.604174603724
05/2020,11149.28595342823
06/2020,11353.744559507728
07/2020,10834.112608088293
08/2020,11360.382825938881
09/2020,11140.973689375309
10/2020,10843.752525427446
11/2020,12353.121139703762
12/2020,12538.703979496415
01/2021,12536.337293203569
02/2021,13276.821482584652
03/2021,14355.799535898588
04/2021,14192.209561412623
05/2021,14399.323474064582
06/2021,14500.571468153637
07/2021,14616.654544614921
08/2021,14808.529306503191
09/2021,14613.017929091771
10/2021,14869.889977949411
11/2021,14837.506782576571
12/2021,15954.813609023424
01/2022,17105.600387905655
02/2022,16954.13246516353
03/2022,17671.469308119464
04/2022,17966.381509830404
05/2022,18586.799662891513
06/2022,17288.297024902153
07/2022,17911.89000103903
08/2022,17701.54354125538
09/2022,16719.3110056685
10/2022,18002.97856128563
11/2022,18808.864106027544
12/2022,18599.614403306434
01/2023,19432.168461884805
02/2023,19577.575358755006
03/2023,18816.13733707385
