Date,Morningstar US Sustainable Moat Focus
12/2015,10000
01/2016,9379.384781435509
02/2016,10043.17323259579
03/2016,10102.536427415002
04/2016,10491.095520777117
05/2016,11111.710739341608
06/2016,10858.067997841337
07/2016,11424.716675661091
08/2016,11559.633027522937
09/2016,11273.610361575822
10/2016,11322.180248246086
11/2016,12401.511063140852
12/2016,12525.63410685375
01/2017,12396.114409066378
02/2017,13389.098758769562
03/2017,13232.595790609821
04/2017,13205.612520237451
05/2017,12817.053426875336
06/2017,13016.729627630868
07/2017,12714.516999460333
08/2017,12466.270912034537
09/2017,12800.863464651915
10/2017,13032.91958985429
11/2017,13227.19913653535
12/2017,13524.015110631408
01/2018,13772.261198057204
02/2018,13445.763626551538
03/2018,12719.913653534808
04/2018,13327.037236913113
05/2018,13831.624392876416
06/2018,14224.230976794386
07/2018,14689.692390717753
08/2018,15040.474905558553
09/2018,15226.6594711279
10/2018,14703.184025903938
11/2018,15275.229357798164
12/2018,13831.624392876416
01/2019,15094.441446303292
02/2019,15755.531570426334
03/2019,15930.922827846734
04/2019,16672.962763086885
05/2019,15518.078791149486
06/2019,16230.437128980031
07/2019,17250.404749055586
08/2019,16902.32056125202
09/2019,17638.9638424177
10/2019,17919.589854290338
11/2019,18971.937398812734
12/2019,19150.02698327037
01/2020,18977.33405288721
02/2020,17522.93577981651
03/2020,15747.436589314624
04/2020,17825.148407987046
05/2020,17933.08148947652
06/2020,17835.941716135996
07/2020,17415.00269832704
08/2020,18426.875337290883
09/2020,18116.567728008635
10/2020,17528.332433890984
11/2020,19716.67566109012
12/2020,19673.502428494332
01/2021,20045.87155963303
02/2021,21324.878575283325
03/2021,23135.45601726929
04/2021,23456.556934700486
05/2021,23437.668645439826
06/2021,24481.921208850512
07/2021,24967.620075553157
08/2021,25442.525634106856
09/2021,24991.905018888287
10/2021,25658.391797085806
11/2021,25582.83864004317
12/2021,26934.70048569886
01/2022,24937.93847814355
02/2022,24303.83162439287
03/2022,25205.072854830003
04/2022,24554.776038855907
05/2022,23864.00431732326
06/2022,22946.57312466271
07/2022,25353.48084187803
08/2022,24762.54722072315
09/2022,23189.42255801403
10/2022,24446.842957366433
11/2022,24365.893146249324
12/2022,23062.601187263896
01/2023,24236.37344846195
02/2023,24565.569347004857
03/2023,24209.390178089583
04/2023,23772.261198057204
05/2023,24379.384781435507
06/2023,25229.357798165136
07/2023,25720.45331894225
08/2023,25415.542363734483
09/2023,24735.56395035078
10/2023,23467.350242849432
11/2023,24840.79870480302
12/2023,26376.146788990824
01/2024,26829.46573124663
02/2024,27835.941716135992
03/2024,28548.300053966537
04/2024,27490.55585536967
05/2024,26627.09120345386
06/2024,27976.254722072317
07/2024,29001.61899622234
08/2024,28963.842417701024
09/2024,29384.781435509984
