Date,FTSE EPRA/NAREIT Developed Dividend+
08/2006,10000
09/2006,10331.687853287976
10/2006,10784.970713865514
11/2006,10944.215668721386
12/2006,11240.453231705758
01/2007,11985.932424482697
02/2007,11730.311788628283
03/2007,11614.29265672558
04/2007,11475.56078471494
05/2007,11734.09724531294
06/2007,10889.940404634628
07/2007,10250.8120827685
08/2007,10662.147990894442
09/2007,10938.230554774025
10/2007,11022.891781978158
11/2007,10066.450111261734
12/2007,9708.622144921606
01/2008,9189.707650203341
02/2008,8822.057958411131
03/2008,8567.1534900376
04/2008,9174.10543008415
05/2008,9005.447988336702
06/2008,7911.041767910582
07/2008,8057.344553290534
08/2008,8499.475663094356
09/2008,8199.043404864824
10/2008,6402.076885694555
11/2008,5404.813668567921
12/2008,5452.285341586311
01/2009,5170.678057139934
02/2009,4373.8905798398855
03/2009,4445.967721308541
04/2009,5417.448909123463
05/2009,5623.295905056654
06/2009,5619.510448371998
07/2009,6172.647517712357
08/2009,6636.570580862982
09/2009,6976.392050540962
10/2009,6792.490472414764
11/2009,6863.084124101595
12/2009,7472.235721410851
01/2010,7309.768012891015
02/2010,7701.920863493362
03/2010,8315.420620507968
04/2010,8695.296314295216
05/2010,8692.58510883188
06/2010,8566.846561117221
07/2010,8854.797043251401
08/2010,9027.13763204338
09/2010,9121.518275059469
10/2010,9305.931401386297
11/2010,9536.281556129627
12/2010,9805.969767501343
01/2011,9742.640100263448
02/2011,9970.8929073842
03/2011,9697.82847788833
04/2011,9774.304933882395
05/2011,10139.60150395171
06/2011,9790.009463641713
07/2011,9921.17042228304
08/2011,9429.623756298437
09/2011,8832.18661278359
10/2011,9563.85400414354
11/2011,9489.57720541218
12/2011,10018.927283423282
01/2012,10549.044683735325
02/2012,10607.770417167558
03/2012,10777.91134869683
04/2012,11143.719466966775
05/2012,11220.093613320716
06/2012,11599.457758907334
07/2012,12416.911783512802
08/2012,12165.895081464052
09/2012,12024.298539529887
10/2012,12026.651661252785
11/2012,12103.639665447477
12/2012,12280.226104304678
01/2013,12369.491265314475
02/2013,12884.006445507328
03/2013,13305.880246566234
04/2013,13775.635112668493
05/2013,13066.422671816252
06/2013,12598.50655037471
07/2013,12479.584003887769
08/2013,11912.765286339105
09/2013,12206.332035706066
10/2013,12534.59686932501
11/2013,12013.123216615088
12/2013,11823.570023275443
01/2014,12225.378740056782
02/2014,12560.100667570401
03/2014,12595.209039056706
04/2014,12984.258127222038
05/2014,13577.096467759677
06/2014,13701.463288743382
07/2014,14106.972719134461
08/2014,14634.724669411979
09/2014,14285.419909455968
10/2014,15398.427756605366
11/2014,15709.539857278052
12/2014,16318.806813822031
01/2015,18529.11855641098
02/2015,18359.013162135205
03/2015,19096.000051154817
04/2015,17933.11902191984
05/2015,18066.53837378827
06/2015,17111.6664961506
07/2015,17884.396112233677
08/2015,16558.83459600481
09/2015,16888.227971455613
10/2015,18067.345699158504
11/2015,18533.444172187126
12/2015,18223.457533826127
01/2016,17457.754974058545
02/2016,17637.923888680187
03/2016,18519.084777316606
04/2016,18405.78716839421
05/2016,18849.743019199028
06/2016,19814.425299739694
07/2016,20830.65479277539
08/2016,20231.630018161217
09/2016,19969.255645758298
10/2016,19118.496507857893
11/2016,19084.748699663156
12/2016,19861.519941608116
01/2017,19572.012809751715
02/2017,20500.42797381781
03/2017,20041.670969588577
04/2017,19765.536176938527
05/2017,19383.927123068865
06/2017,19205.602530947726
07/2017,19066.733999707067
08/2017,18982.730714050034
09/2017,18923.726227568768
10/2017,19044.675340206977
11/2017,19271.57424908883
12/2017,19294.34785647382
01/2018,18457.788275662
02/2018,17570.613222760105
03/2018,17840.52964316421
04/2018,18515.010610033496
05/2018,19502.146843861075
06/2018,19883.943741695053
07/2018,19949.43735951677
08/2018,20327.533985786264
09/2018,19975.10238796439
10/2018,19688.331557694943
11/2018,20355.038836728985
