Date,FTSE EPRA/NAREIT Developed Europe ex UK
12/1989,10000
01/1990,9834.416770056989
02/1990,9617.501120916426
03/1990,9906.934560238264
04/1990,9983.4331631033
05/1990,10114.44674842759
06/1990,9950.427324196171
07/1990,9885.330474986971
08/1990,9247.42962275187
09/1990,7996.657064551503
10/1990,8064.991439390116
11/1990,7725.20973365759
12/1990,7542.506736975371
01/1991,7485.148262734741
02/1991,7948.535458430328
03/1991,7972.888788690316
04/1991,7814.634685189415
05/1991,7606.386390852786
06/1991,7464.950477053558
07/1991,7308.44018628309
08/1991,7053.550521362071
09/1991,6887.5367528720035
10/1991,6791.078387177207
11/1991,6456.857040977911
12/1991,6084.589301351486
01/1992,5981.784487914947
02/1992,5764.33820975464
03/1992,5700.682469615098
04/1992,5494.373999395355
05/1992,5420.5885895951415
06/1992,5031.6334117387305
07/1992,4848.824365062725
08/1992,4602.693774712902
09/1992,4476.631961785141
10/1992,4554.366396646873
11/1992,4800.054434644745
12/1992,4650.897624331046
01/1993,4650.125634706896
02/1993,5162.85297959166
03/1993,5342.63570564474
04/1993,5506.745701961798
05/1993,5730.660840217676
06/1993,5974.926121522697
07/1993,6417.146909304335
08/1993,6808.075446745285
09/1993,6538.553378099571
10/1993,6736.573354801761
11/1993,6575.141752579165
12/1993,6988.355771751539
01/1994,7777.990253306432
02/1994,7545.83893054503
03/1994,7155.70022970395
04/1994,6929.334643770953
05/1994,6784.405945208138
06/1994,6449.79850416947
07/1994,6554.9373229795865
08/1994,6487.473227746455
09/1994,6088.753385102746
10/1994,6013.571373115694
11/1994,6110.8765804407785
12/1994,6045.018976252324
01/1995,5852.917046170233
02/1995,5822.117430396353
03/1995,5659.702043908522
04/1995,5855.345035086753
05/1995,6149.124060323562
06/1995,6022.746698124178
07/1995,6158.6039842468845
08/1995,6171.205939123109
09/1995,6139.107526801019
10/1995,6184.852947616619
11/1995,6345.287530383133
12/1995,6395.512110408101
01/1996,6695.485952532747
02/1996,6685.848175004695
03/1996,6618.432377162499
04/1996,6694.556867405491
05/1996,6604.52511869913
06/1996,6716.699899736007
07/1996,6654.92553618401
08/1996,6885.028826350952
09/1996,6970.335475046231
10/1996,7071.20092765021
11/1996,7323.858657157916
12/1996,7534.599368519879
01/1997,8205.236754589525
02/1997,8467.639901526643
03/1997,8470.499555613464
04/1997,8266.377734764215
05/1997,8386.828458525099
06/1997,8528.922573000616
07/1997,8713.656271231848
08/1997,8528.880308835103
09/1997,8931.253843312003
10/1997,8603.150924732781
11/1997,8491.389909244539
12/1997,8618.55634994217
01/1998,9074.285950608853
02/1998,9212.481843360825
03/1998,9792.77348977249
04/1998,10078.46103315117
05/1998,10233.834771650063
06/1998,10128.424194466275
07/1998,10104.21494563152
08/1998,8978.799997654938
09/1998,8796.683508399636
10/1998,9009.98078060764
11/1998,9191.067451982455
12/1998,9339.39322497888
01/1999,9616.92671152792
02/1999,9714.456832863852
03/1999,9808.128237994179
04/1999,10167.550366776726
05/1999,10273.920237331633
06/1999,10599.1331672299
07/1999,10552.004568943712
08/1999,10576.785363227506
09/1999,10427.31168749353
10/1999,10362.208689237828
11/1999,10398.197531683447
12/1999,10529.189216294168
01/2000,10381.675275373887
02/2000,10533.295600088522
03/2000,10738.509497914096
04/2000,11013.637212135864
05/2000,11259.914947904983
06/2000,11568.420191942403
07/2000,11690.558786851416
08/2000,12161.74000428058
09/2000,12087.193344629217
10/2000,12021.175328243053
11/2000,12070.241349990982
12/2000,11989.58776059417
01/2001,12465.717696954993
02/2001,13011.445574035519
03/2001,12489.303080799491
04/2001,12613.968681120414
05/2001,12944.26934683556
06/2001,12970.487027984133
07/2001,12874.144946655042
08/2001,12528.787540360594
09/2001,11482.186132260953
10/2001,11965.054749720202
11/2001,12102.671252777169
12/2001,12181.113712438562
01/2002,12706.520254331639
02/2002,13147.06153114139
03/2002,13494.41948338693
04/2002,14016.035517162145
05/2002,14643.891070129766
06/2002,13860.83526811397
07/2002,13546.960137576238
08/2002,13367.332169546262
09/2002,12368.006821027784
10/2002,13228.768039459832
11/2002,13896.529219557207
12/2002,13796.291338218087
01/2003,13496.10415366154
02/2003,13426.927380510486
03/2003,13294.786055845994
04/2003,13731.115656969225
05/2003,14355.917745064122
06/2003,14624.517361971786
07/2003,14825.624876003005
08/2003,15043.894968456781
09/2003,15174.45691473883
10/2003,15555.087104907863
11/2003,16264.227998625276
12/2003,16501.66121545271
01/2004,16828.908416295133
02/2004,17675.139353608694
03/2004,18322.47390662646
04/2004,17843.079921608587
05/2004,18148.636992665444
06/2004,18954.96230284925
07/2004,19212.400979187645
08/2004,19830.7802618606
09/2004,20295.328090083498
10/2004,20871.380032106954
11/2004,22027.379716163894
12/2004,22761.580080216085
01/2005,23540.845374114015
02/2005,23921.15968860656
03/2005,24004.866742876096
04/2005,25020.40704278767
05/2005,26965.56945860586
06/2005,28268.767207906585
07/2005,29246.82359420815
08/2005,29149.74446963391
09/2005,30510.7474677321
10/2005,28941.371815043454
11/2005,28844.608566145707
12/2005,29522.583059782894
01/2006,31321.284453602428
02/2006,33726.783021956995
03/2006,35669.52372425543
04/2006,34886.15204656315
05/2006,33018.589755269044
06/2006,33928.73287112551
07/2006,35517.69281575647
08/2006,35796.50574620393
09/2006,38134.828087358546
10/2006,39106.145792561685
11/2006,40360.17222822232
12/2006,43594.4232797914
01/2007,45231.08045157216
02/2007,45974.441210242534
03/2007,47174.34761333142
04/2007,46159.43906477282
05/2007,46674.632293126095
06/2007,41953.23855664762
07/2007,38747.311024070375
08/2007,38750.469780835265
09/2007,38387.42333665744
10/2007,38058.28088175609
11/2007,35009.34356039378
12/2007,33654.65807582538
01/2008,32972.05073893302
02/2008,34658.826851383354
03/2008,34217.759115112785
04/2008,34537.004132150825
05/2008,34119.416487832605
06/2008,29790.65621722974
07/2008,29329.47772955606
08/2008,29547.326654441185
09/2008,26688.546490325152
10/2008,21023.000356821587
11/2008,18730.058821189206
12/2008,19758.234148160333
01/2009,19691.2685047447
02/2009,18236.5557226215
03/2009,17771.481434937785
04/2009,20476.53543649592
05/2009,21146.718330113046
06/2009,20334.601965860275
07/2009,22561.736068890823
08/2009,25995.09408854002
09/2009,27153.410194224543
10/2009,27517.93072489264
11/2009,26703.497939012294
12/2009,27704.086790236728
01/2010,27705.771460511336
02/2010,27572.682508817375
03/2010,29489.73198942806
04/2010,27914.038823209634
05/2010,26368.7750138263
06/2010,27290.500237820692
07/2010,29432.874367660068
08/2010,29699.36814672447
09/2010,32672.3900138373
10/2010,33566.10759451634
11/2010,30684.68967358528
12/2010,33652.446946089956
01/2011,33104.29735548968
02/2011,34151.004055481484
03/2011,34730.0041704855
04/2011,35664.048545862956
05/2011,36811.624878546856
06/2011,36162.81623903881
07/2011,35064.832387563656
08/2011,32887.50134952618
09/2011,29894.05285533375
10/2011,31480.27521076847
11/2011,29611.449416768417
12/2011,29772.54601177772
01/2012,30871.688074066667
02/2012,31084.272404343643
03/2012,32598.580397431073
04/2012,31997.363693180676
05/2012,31741.820270901215
06/2012,32969.73431730544
07/2012,35025.7690955712
08/2012,34713.36805152376
09/2012,34639.45314322537
10/2012,36548.395148139505
11/2012,37323.55405824308
12/2012,37484.12419379157
01/2013,37097.597657661405
02/2013,37853.804027175654
03/2013,37765.148253974454
04/2013,39871.14996300507
05/2013,40122.4491112282
06/2013,37308.14163112286
07/2013,38465.69889814057
08/2013,37205.46744280774
09/2013,38792.16169544475
10/2013,40117.41183128604
11/2013,40019.684540352835
12/2013,39501.252017466366
01/2014,39284.61860324274
02/2014,41885.44581383149
03/2014,41477.75874507496
04/2014,43010.77893947867
05/2014,45238.47591190634
06/2014,46243.04722889724
07/2014,45499.329530712435
08/2014,46634.34886815807
09/2014,45371.035182207575
10/2014,45964.48788344286
11/2014,47689.28323454132
12/2014,48563.87066826734
01/2015,55760.69244640093
02/2015,58945.777059344524
03/2015,58488.4061686628
04/2015,56957.06496930073
05/2015,54717.83984030067
06/2015,51974.63700683352
07/2015,55572.992749271805
08/2015,54516.66366542657
09/2015,54628.04017598301
10/2015,59042.41974902574
11/2015,58351.88491186812
12/2015,57689.302250257046
01/2016,55938.31169227676
02/2016,55774.88590686527
03/2016,59813.837460606446
04/2016,58926.668911229775
05/2016,60747.69909152926
06/2016,60630.96638766391
07/2016,64903.38334913581
08/2016,64880.036808362725
09/2016,63595.97706584386
10/2016,59627.065134421886
11/2016,57642.60916871091
12/2016,60350.80789838707
01/2017,58786.58966659135
02/2017,60771.04563230234
03/2017,61074.55066235226
04/2017,62615.422353374895
05/2017,65743.85881696634
06/2017,64786.650645270456
07/2017,64553.18523753975
08/2017,65790.55189851248
09/2017,65907.28460237784
10/2017,66817.79969252758
11/2017,67518.1959157197
12/2017,69455.95879988454
01/2018,68872.29528055778
02/2018,65160.19529763958
03/2018,67121.3047225775
04/2018,69899.54307457288
05/2018,70716.67200163034
06/2018,71113.56319477255
07/2018,72701.12796734134
08/2018,73798.41538367563
09/2018,71370.37514327632
10/2018,68685.52295437321
11/2018,68989.02798442313
12/2018,65510.393409235636
01/2019,71883.99904028386
02/2019,69619.38458529604
03/2019,73915.14808754099
04/2019,72607.74180424905
05/2019,74031.88079140634
06/2019,71417.06822482245
07/2019,73144.71224202967
08/2019,75619.44556397512
09/2019,77860.71347818991
10/2019,78981.34743529727
11/2019,80662.29837095835
12/2019,82413.28892893862
01/2020,84981.40841397637
02/2020,79681.7436584894
03/2020,62592.07581260183
04/2020,64179.64058517062
05/2020,66280.82925474696
06/2020,67494.84937494661
07/2020,67868.39402731575
08/2020,69432.61225911147
09/2020,69596.03804452295
10/2020,65720.51227619326
11/2020,74428.77198454854
12/2020,77183.66379577086
01/2021,74452.11852532162
02/2021,72164.15752956072
03/2021,74498.81160686776
04/2021,78537.76316060894
05/2021,82016.39773579643
06/2021,82716.79395898855
07/2021,87526.18135824105
08/2021,89417.25116085974
09/2021,81339.3480533774
10/2021,86008.65620799149
11/2021,85495.03231098391
12/2021,85845.23042258
01/2022,83557.26942681908
02/2022,80895.76377868906
03/2022,80755.68453405063
04/2022,74615.54431073311
05/2022,72561.0487227029
06/2022,59650.41167519497
07/2022,67261.38396721592
08/2022,60794.39217307541
09/2022,51409.0827823011
10/2022,52856.568310231465
11/2022,54514.17270511947
12/2022,54093.9349712042
01/2023,59113.441237414336
02/2023,57969.46073953388
03/2023,50451.874610605206
04/2023,53113.38025873523
