Date,FTSE EPRA/NAREIT Developed Europe
10/2012,10000
11/2012,10120.225773397951
12/2012,10260.645051990556
01/2013,9938.83231941007
02/2013,10082.555139490485
03/2013,10174.843224400953
04/2013,10854.500012794862
05/2013,11006.309210433732
06/2013,10286.346135652026
07/2013,10804.514925134432
08/2013,10332.516871863452
09/2013,10933.393453974862
10/2013,11454.60651136312
11/2013,11439.195614435037
12/2013,11457.973309161323
01/2014,11624.336242077068
02/2014,12306.998327608106
03/2014,12034.658050294249
04/2014,12395.243117973168
05/2014,12923.26970578094
06/2014,13036.790302140964
07/2014,13042.144592872188
08/2014,13395.86981268142
09/2014,13117.894549335373
10/2014,13461.829661173257
11/2014,13962.75614726594
12/2014,14208.134160602427
01/2015,16108.880586936355
02/2015,16994.606648192013
03/2015,16961.186634946716
04/2015,16624.46965797495
05/2015,16491.123419323754
06/2015,15758.902540781277
07/2015,16841.169098881837
08/2015,16275.438544548759
09/2015,16308.877465532361
10/2015,17592.056210870545
11/2015,17366.302395935145
12/2015,16763.69652053917
01/2016,15890.313657029361
02/2016,15390.93810990143
03/2016,16304.44863699586
04/2016,16307.879081625733
05/2016,16832.83190089981
06/2016,15809.079170990344
07/2016,16763.764747859947
08/2016,16786.558229789458
09/2016,16383.370854712179
10/2016,15252.668325483337
11/2016,15108.60383183232
12/2016,15879.158913148154
01/2017,15354.765003038747
02/2017,16046.42430004694
03/2017,16073.554463764203
04/2017,16657.708152050953
05/2017,16994.35437958539
06/2017,16668.666382373147
07/2017,16603.909331266874
08/2017,16666.509810000556
09/2017,16848.28425816973
10/2017,17021.98590753055
11/2017,17139.774836319662
12/2017,17853.19486861279
01/2018,17666.385739419136
02/2018,16681.585618201614
03/2018,17272.445245924737
04/2018,18015.364438822362
05/2018,18096.676616769135
06/2018,18142.69492288382
07/2018,18366.38341813958
08/2018,18449.714696444524
09/2018,17898.24179350325
10/2018,17345.0255954727
11/2018,17184.754533097315
12/2018,16337.018768901638
01/2019,18027.081314558003
02/2019,17810.75420212247
03/2019,18540.86451744961
04/2019,18360.946466597183
05/2019,18290.626852925117
06/2019,17757.10772539204
07/2019,17849.257515707774
08/2019,18438.659228824956
09/2019,19275.445645988802
10/2019,19872.70116949398
11/2019,20376.150551298
12/2019,20994.50549025858
01/2020,21344.25553249678
02/2020,19748.125069422673
03/2020,15527.970778925393
04/2020,16086.305218712965
05/2020,16326.670893880791
06/2020,16484.12718691103
07/2020,16657.461753323845
08/2020,17011.26550645082
09/2020,16727.266715256108
10/2020,16016.700554432491
11/2020,18057.14175325077
12/2020,18739.98207121494
01/2021,18227.992453917584
02/2021,18013.183807640977
03/2021,18646.13098572747
04/2021,19560.118333198992
05/2021,20338.036269521705
06/2021,20429.919630002354
07/2021,21766.569768849564
08/2021,22338.209346821815
09/2021,20438.617266170317
10/2021,21567.09717743702
11/2021,21631.612094707893
12/2021,22029.36666734177
01/2022,21411.895028687344
02/2022,20735.37086155162
03/2022,20898.6248086304
04/2022,19712.942641731
05/2022,18881.46803873683
06/2022,15879.030373745005
07/2022,17853.127482155698
08/2022,15919.834108136263
09/2022,13266.598664988234
10/2022,13752.392206657354
11/2022,14088.663083627967
12/2022,13869.163009517608
01/2023,15101.210907199975
02/2023,14935.846381827121
03/2023,13220.223910768964
04/2023,13967.766828623491
05/2023,12921.158165574383
06/2023,12743.581349989126
07/2023,13904.24161639385
08/2023,13775.07957457584
09/2023,13282.84581536548
10/2023,12817.594137076587
11/2023,14598.061491714894
12/2023,16136.034718454064
01/2024,15669.146732498764
02/2024,14455.175566253001
03/2024,15680.079959735858
04/2024,15376.795128612586
05/2024,16207.985247771627
06/2024,15653.443467419916
07/2024,16228.869659459577
08/2024,16847.08022357889
09/2024,17606.670115066532
