Date,FTSE EPRA/NAREIT Eurozone Capped
12/2008,10000
01/2009,10126.109855134699
02/2009,9211.639743865011
03/2009,8695.580787349862
04/2009,10141.581519885825
05/2009,10656.440633012113
06/2009,10364.689240562284
07/2009,11335.551991108528
08/2009,13255.996059461713
09/2009,13947.547899011077
10/2009,13980.259418770604
11/2009,13418.038066610254
12/2009,13831.35253924751
01/2010,13680.86691842328
02/2010,13732.018136580067
03/2010,14729.277441681297
04/2010,13891.534157646794
05/2010,12882.213269004887
06/2010,13080.692625383634
07/2010,14163.267110398223
08/2010,14292.155550222917
09/2010,15682.710888263005
10/2010,16193.781022266568
11/2010,14693.597888275635
12/2010,15834.775250388371
01/2011,15864.645035805854
02/2011,16431.41316291347
03/2011,16562.385541255666
04/2011,16882.996324690248
05/2011,17230.003662679817
06/2011,16836.96022834914
07/2011,15973.325586976016
08/2011,14601.462545941373
09/2011,13169.102138247219
10/2011,13899.364714500423
11/2011,12900.337219141922
12/2011,12899.642572969424
01/2012,13334.112179041897
02/2012,13456.496204705913
03/2012,14407.845712770122
04/2012,13925.508670447227
05/2012,13746.416257246423
06/2012,14163.077661442088
07/2012,14838.273741111687
08/2012,14551.448021521404
09/2012,14760.157621531505
10/2012,15691.362390593229
11/2012,16063.25069148869
12/2012,16056.24108011165
01/2013,16006.289705343725
02/2013,16223.77710698814
03/2013,15979.640552180557
04/2013,16759.00455308991
05/2013,17035.511764780178
06/2013,15686.514549679832
07/2013,16303.332754461524
08/2013,15890.746940399362
09/2013,16578.68866590045
10/2013,17159.336593960365
11/2013,17119.888831352542
12/2013,16908.987287975044
01/2014,16728.474102327695
02/2014,17814.222438334367
03/2014,17620.480739356128
04/2014,18281.231506624397
05/2014,19182.468810386854
06/2014,19597.726448337267
07/2014,19474.20698561451
08/2014,20001.2644644278
09/2014,19320.98236861715
10/2014,19541.34928704043
11/2014,20216.94761736363
12/2014,20632.692694848254
01/2015,23373.72881013426
02/2015,24666.309572224258
03/2015,24615.343009965018
04/2015,23812.15154653498
05/2015,23111.467206385692
06/2015,21762.00209025348
07/2015,23156.83115046036
08/2015,22823.27454942723
09/2015,22954.598418732716
10/2015,24762.025897672305
11/2015,24448.68572944163
12/2015,24144.400337219144
01/2016,23217.745405230795
02/2016,22931.366302701485
03/2016,24703.785486237102
04/2016,24355.43368498277
05/2016,25023.760314917345
06/2016,24759.724001138897
07/2016,26513.06211690918
08/2016,26577.807278471893
09/2016,26136.822601228592
10/2016,24675.57159971229
11/2016,23701.132455285962
12/2016,24917.428210789152
01/2017,24207.188466190546
02/2017,24966.19093952279
03/2017,25196.46844110102
04/2017,25830.873172786112
05/2017,27059.889640132857
06/2017,26834.993978180733
07/2017,26781.17558191954
08/2017,27403.185773859623
09/2017,27547.353841419943
10/2017,27694.946716015053
11/2017,28343.05067583936
12/2017,29274.598189305998
01/2018,29274.92436140455
02/2018,27649.282622217666
03/2018,28521.46681374771
04/2018,29688.999840517256
05/2018,29859.261675961792
06/2018,30100.139770742997
07/2018,30407.72005967823
08/2018,30973.791736716525
09/2018,29910.144523336025
10/2018,28822.84983281045
11/2018,28844.540277364198
12/2018,27115.338896886824
01/2019,29890.41111137358
02/2019,29029.969115391435
03/2019,30565.587355377767
04/2019,30279.04516679918
05/2019,30601.62937226784
06/2019,29509.442100263972
07/2019,30004.571345867043
08/2019,30621.199698181004
09/2019,31588.952314586997
10/2019,32558.988135682866
11/2019,32894.45613904436
12/2019,33143.16236419083
01/2020,34061.66299371536
02/2020,31707.352786361647
03/2020,24417.406383707792
04/2020,25296.44018930744
05/2020,25725.193412855027
06/2020,26271.857850029428
07/2020,26198.142955756502
08/2020,26846.736173728634
09/2020,25877.841954977706
10/2020,24342.38680104066
11/2020,28478.412096738746
12/2020,29541.406965922142
01/2021,28893.955350294942
02/2021,28291.678570317297
03/2021,28978.760095918657
04/2021,30411.47103881159
05/2021,31970.73675594299
06/2021,31919.20156437166
07/2021,33391.216245140204
08/2021,33919.28887269709
09/2021,30906.11102626683
10/2021,31690.88109538473
11/2021,30842.99672519687
12/2021,31429.943416542537
01/2022,31398.141636933644
02/2022,30903.82782157696
03/2022,30752.973225996317
04/2022,29188.16258318952
05/2022,28607.413161716362
06/2022,23938.911915130913
07/2022,26377.537609960513
08/2022,23979.683427450007
09/2022,20399.4553876858
10/2022,20998.63353272719
11/2022,21388.898448645552
12/2022,21187.813349887783
01/2023,23442.477981133634
02/2023,23268.138994457197
03/2023,19963.526377970054
04/2023,20966.66866706902
05/2023,19222.789542156766
06/2023,19639.96365620573
07/2023,21190.585812725483
08/2023,21310.61714499289
09/2023,20421.961262485936
10/2023,19789.513563392164
11/2023,22314.238907076735
12/2023,24452.559581629317
01/2024,23502.38274875383
02/2024,21449.51753316158
03/2024,23424.337919872625
04/2024,23646.98462520522
05/2024,25002.9016092149
06/2024,23333.67023077742
07/2024,24081.58285275887
08/2024,25307.463175378034
09/2024,26749.77336313137
