Date,FTSE EPRA/NAREIT US Dividend+
11/2006,10000
12/2006,9832.634646107195
01/2007,10868.148431976108
02/2007,10396.140937126136
03/2007,10049.540215646808
04/2007,9834.496159674558
05/2007,9925.331915777393
06/2007,8942.346283323857
07/2007,8113.664979453356
08/2007,8641.717193092385
09/2007,8701.352029424337
10/2007,8634.399997232575
11/2007,7633.7885683360255
12/2007,7237.512198346022
01/2008,7116.164590980958
02/2008,6715.375572803073
03/2008,6847.864378583292
04/2008,7384.935963624591
05/2008,7404.834501994352
06/2008,6469.01748237675
07/2008,6726.134216727619
08/2008,7278.1987317350495
09/2008,7465.359072824339
10/2008,5671.363145496366
11/2008,4299.467915144791
12/2008,4614.914930896667
01/2009,4113.249553552342
02/2009,3264.178156853967
03/2009,3192.241696777139
04/2009,4227.360216864084
05/2009,4065.7375463147478
06/2009,3914.513333547962
07/2009,4326.7385209921895
08/2009,4894.659702197366
09/2009,5080.81125602846
10/2009,4802.521030556133
11/2009,5043.433865599724
12/2009,5606.518644768907
01/2010,5471.87225663709
02/2010,5938.210234366312
03/2010,6557.435637636838
04/2010,7084.657412014486
05/2010,7247.133905605759
06/2010,6896.905959080617
07/2010,7129.698685555082
08/2010,7244.033325451619
09/2010,7011.133920828945
10/2010,7196.152681024615
11/2010,7499.193002475536
12/2010,7605.287301567454
01/2011,7673.662514503675
02/2011,7953.124917540172
03/2011,7628.700806272603
04/2011,7713.524169910084
05/2011,8076.88525447322
06/2011,7767.125384916261
07/2011,8033.519167046855
08/2011,7616.605107708198
09/2011,7278.805764532826
10/2011,7995.787408159625
11/2011,8019.412907052263
12/2011,8686.222753466589
01/2012,9053.171974959654
02/2012,8769.926207479411
03/2012,9282.329354965257
04/2012,9645.359575411976
05/2012,9819.165974371208
06/2012,10202.931082764018
07/2012,10696.659019100754
08/2012,10382.381506780472
09/2012,9881.17450521703
10/2012,9759.445995058859
11/2012,9718.460071563042
12/2012,9910.072851693574
01/2013,9996.216941579187
02/2013,10433.805709100707
03/2013,10979.779671206306
04/2013,11496.107486383753
05/2013,10846.508774903006
06/2013,10552.9081059379
07/2013,10494.025172437932
08/2013,9770.21065903916
09/2013,9863.178030556022
10/2013,10177.080299653207
11/2013,9636.01809229446
12/2013,9516.632762532068
01/2014,10121.625236136815
02/2014,10400.203782042898
03/2014,10461.655300875409
04/2014,10758.858973096514
05/2014,11197.027899780582
06/2014,11251.831182137796
07/2014,11505.800743251666
08/2014,11999.360038713421
09/2014,11788.88836524112
10/2014,13023.40326873469
11/2014,13324.05871071665
12/2014,13940.851480376607
01/2015,16001.557891199533
02/2015,15468.866273196394
03/2015,16415.928831995647
04/2015,14798.651456720163
05/2015,15083.707187015878
06/2015,14121.369685182482
07/2015,15255.165771911641
08/2015,14016.257067017055
09/2015,14429.91276000986
10/2015,15531.692068119948
11/2015,16094.952362391463
12/2015,15910.241077683157
01/2016,15294.397956314264
02/2016,15254.92623173851
03/2016,16045.701549620955
04/2016,15588.623380393956
05/2016,16270.115523073871
06/2016,17459.3758978235
07/2016,18220.2893723135
08/2016,17554.037291382087
09/2016,17161.199600462533
10/2016,16451.093516770776
11/2016,16601.69343182863
12/2016,17495.07895302274
01/2017,17017.53510266847
02/2017,17877.69783041487
03/2017,17210.90112029977
04/2017,16794.149760558335
05/2017,16194.387269618965
06/2017,16280.658925928705
07/2017,15995.689461555357
08/2017,15784.035068819914
09/2017,15797.579979377651
10/2017,15825.05416184634
11/2017,15981.439800152799
12/2017,15765.327126259099
01/2018,14529.411115406077
02/2018,13717.75352160082
03/2018,14096.674890976128
04/2018,14554.135159454587
05/2018,15709.522646076837
06/2018,16374.09905683592
07/2018,16356.523398629279
08/2018,16909.25831771393
09/2018,16542.400707407498
10/2018,16536.183321667995
11/2018,17271.871981624314
12/2018,15685.468994266597
01/2019,17448.216088610352
02/2019,17621.04015527727
03/2019,18461.7060580985
04/2019,18418.175021505413
05/2019,18487.57694453442
06/2019,18271.658848473864
07/2019,18931.322734265348
08/2019,19694.3466856742
09/2019,20483.42271286024
10/2019,20290.46610784464
11/2019,20226.56445908137
12/2019,19566.298966630402
01/2020,20089.87163674438
02/2020,18523.010559402912
03/2020,14099.22890706237
04/2020,15390.254704189492
05/2020,14951.415095963104
06/2020,15331.961012192218
07/2020,14946.33056167744
08/2020,14936.98003328823
09/2020,14741.49541571232
10/2020,14362.948548385046
11/2020,15757.549566592214
12/2020,15878.574899440076
01/2021,15997.361800868857
02/2021,16843.661715305374
03/2021,18155.683568550263
04/2021,19052.06269511586
05/2021,19006.814638709868
06/2021,19910.573861643043
07/2021,20884.330620187924
08/2021,21329.57132580366
09/2021,20607.04424934897
10/2021,21949.048020371843
11/2021,22297.98634406333
12/2021,24151.279654567395
01/2022,23039.455987702182
02/2022,22267.63892136643
03/2022,23833.61298046293
04/2022,23635.61608817334
05/2022,22256.052092149843
06/2022,21258.804987190833
07/2022,23525.17521178876
08/2022,22451.413475773294
09/2022,20323.996061269263
10/2022,20929.686648568895
11/2022,20956.56290571251
12/2022,19324.03673753951
01/2023,21005.873949254754
02/2023,20429.68308312202
03/2023,19285.626622839663
04/2023,19247.073289796153
05/2023,19051.07800093486
06/2023,19634.465304277892
07/2023,19875.658717661157
08/2023,19528.77481705465
09/2023,18630.757164727176
10/2023,17674.3362998802
11/2023,18923.05247070664
12/2023,20700.798046791402
01/2024,20105.486693361392
02/2024,20359.66968117926
03/2024,20899.5344538277
04/2024,19677.079515143243
05/2024,20302.25440111772
06/2024,21144.98611258075
07/2024,22177.771112142433
08/2024,23033.71932105042
09/2024,23311.33734587034
