Date,NYSE Arca Gold BUGS
12/2008,9999.999999999998
01/2009,10776.903617462638
02/2009,10554.307882774052
03/2009,11243.150510424532
04/2009,10363.397224058162
05/2009,13022.308246016906
06/2009,11089.155132196593
07/2009,11761.347778862253
08/2009,11554.567811404302
09/2009,13206.94329401961
10/2009,12201.085435236952
11/2009,14610.223961945285
12/2009,13805.403633592854
01/2010,12390.281529716345
02/2010,13788.9493463917
03/2010,13987.133911324789
04/2010,16142.414210153633
05/2010,17097.951418144665
06/2010,17971.54269387687
07/2010,15767.625340387402
08/2010,17872.44967901739
09/2010,17366.74378907615
10/2010,17519.682846806354
11/2010,19682.751512841416
12/2010,19970.56931529795
01/2011,17208.485341472355
02/2011,18988.992559401093
03/2011,18809.958120400042
04/2011,18598.665335597543
05/2011,17930.09482641576
06/2011,16859.273345345435
07/2011,17811.511129815557
08/2011,19369.543975282268
09/2011,18249.42331240777
10/2011,18936.9235640944
11/2011,20435.636640249155
12/2011,18094.78782616504
01/2012,19291.189547901184
02/2012,18521.095385038363
03/2012,16684.454108121943
04/2012,15817.160038057735
05/2012,15857.264880429168
06/2012,16069.960448682245
07/2012,15761.529514209102
08/2012,17221.887641707268
09/2012,18867.50375324144
10/2012,18505.209457998357
11/2012,16491.528601293026
12/2012,16035.294388153961
01/2013,13847.317077334688
02/2013,12872.970171379364
03/2013,13342.357023975215
04/2013,10395.212169763316
05/2013,10132.890900219016
06/2013,8383.938284106549
07/2013,9025.402369670015
08/2013,9247.27882841841
09/2013,8219.53808691941
10/2013,8394.502392649814
11/2013,7435.125539716695
12/2013,6953.570038565051
01/2014,7785.804985577299
02/2014,8362.225489566066
03/2014,7747.957791970603
04/2014,7948.045817118068
05/2014,7398.103431367286
06/2014,8602.258776066496
07/2014,8543.76597233128
08/2014,9112.84104638778
09/2014,7614.551368339212
10/2014,6116.15216299576
11/2014,6401.880172368194
12/2014,6636.763566755525
01/2015,8773.557723085754
02/2015,8412.663205951738
03/2015,7319.554565884893
04/2015,7921.266456058195
05/2015,7517.939149070257
06/2015,6621.052791379882
07/2015,5042.82555652296
08/2015,5081.40467265568
09/2015,4801.120362493782
10/2015,5526.733664808476
11/2015,5200.389640727209
12/2015,5075.656881655941
01/2016,5499.595265936971
02/2016,7651.436084427248
03/2016,7805.006500535107
04/2016,10207.406371823046
05/2016,9001.18730727811
06/2016,11080.275485514778
07/2016,12313.34793706352
08/2016,9935.747090908615
09/2016,10352.496533788668
10/2016,9694.918176099482
11/2016,8374.890488358067
12/2016,8655.512265610887
01/2017,9653.27791405218
02/2017,9263.816169399348
03/2017,9271.84372176089
04/2017,8827.993921542424
05/2017,8626.104344883037
06/2017,8186.728514111489
07/2017,8414.698096162243
08/2017,9045.04168943155
09/2017,8384.491530234493
10/2017,8057.387984321479
11/2017,7882.466955722918
12/2017,8088.474721071317
01/2018,7954.442329863242
02/2018,7100.91672077084
03/2018,7201.625117016052
04/2018,7474.984004565231
05/2018,7789.330319949277
06/2018,7583.572071724246
07/2018,7181.258929090351
08/2018,6231.399566699794
09/2018,6185.558293225586
10/2018,6405.394602728524
11/2018,6485.926239399397
12/2018,7136.9024783751875
01/2019,7548.067571759698
02/2019,7503.41599735254
03/2019,7710.264048914745
04/2019,7122.969505269421
05/2019,7188.0392352459285
06/2019,8712.098224293963
07/2019,9132.703281274422
08/2019,10568.522125630065
09/2019,9548.422776321806
10/2019,10096.338635181484
11/2019,10014.082528605662
12/2019,11034.007682042557
01/2020,10877.39240372795
02/2020,10069.340472216107
03/2020,8721.408255143991
04/2020,12627.762225965138
05/2020,12615.423335403515
06/2020,13543.192285894693
07/2020,15229.413421514997
08/2020,15174.083072334573
09/2020,14396.473389377245
10/2020,13866.224668025005
11/2020,12222.658109406844
12/2020,12626.554782356994
01/2021,12084.49251727829
02/2021,10681.116488276151
03/2021,11744.773836417009
04/2021,11841.969088076596
05/2021,13623.64937852764
06/2021,11737.019654412125
07/2021,12025.993126706157
08/2021,11231.634995717917
09/2021,10410.525938455372
10/2021,11227.11678406437
11/2021,11774.901308551267
12/2021,12039.954452079852
01/2022,11670.587696163546
02/2022,13183.464355441518
03/2022,14849.743534296313
04/2022,14173.557003126598
05/2022,12580.772944570928
06/2022,11288.196307207181
07/2022,10798.374861159484
08/2022,9953.920389953733
09/2022,10659.928886051432
10/2022,10559.838770731663
11/2022,11845.358346400077
12/2022,11572.880123001738
01/2023,12723.737577201777
02/2023,11011.258610826582
03/2023,12717.311484376778
04/2023,12818.623322998628
05/2023,12207.54806281533
06/2023,11668.425641495407
07/2023,11904.026634449783
08/2023,11361.587381206818
09/2023,10640.017120516533
10/2023,11171.074313603287
11/2023,12068.168968080314
12/2023,12052.24611436928
01/2024,11047.359383756693
02/2024,10336.808928201415
03/2024,12576.486807548281
04/2024,13268.336635148236
05/2024,14183.93324934972
06/2024,13813.748108021
07/2024,15556.292118961122
08/2024,15624.302108344438
09/2024,15817.248636150149
