Date,Nasdaq Global Artificial Intelligence and Big Data
02/2019,10000
03/2019,10284.589165579033
04/2019,10776.955167295398
05/2019,9750.510139832453
06/2019,10223.051252402973
07/2019,10559.781050078605
08/2019,10165.053698701033
09/2019,10439.692171619274
10/2019,10481.666876694333
11/2019,11147.107724271154
12/2019,11165.51108689029
01/2020,11241.072312686152
02/2020,10534.79218919719
03/2020,9313.295720917893
04/2020,10638.554395697896
05/2020,11132.065767730259
06/2020,11491.404277342024
07/2020,11496.341119170585
08/2020,11994.841642454285
09/2020,11890.22184847768
10/2020,11614.105809635239
11/2020,13199.621367420432
12/2020,14084.932228302738
01/2021,14896.934584831006
02/2021,15581.012594914995
03/2021,16397.736714824474
04/2021,16603.58695982054
05/2021,16257.217324818384
06/2021,17590.01382866002
07/2021,17179.484586303868
08/2021,17653.164148284104
09/2021,17092.074184592093
10/2021,18137.362652156746
11/2021,18423.32716885816
12/2021,18989.918143380823
01/2022,17517.592457073006
02/2022,16757.741785775033
03/2022,17227.645463858833
04/2022,16401.63318026787
05/2022,15708.385209697472
06/2022,14712.820392194271
07/2022,15946.914583861737
08/2022,15397.044359432748
09/2022,13694.956378350947
10/2022,14068.816757655422
11/2022,14622.327675824674
12/2022,13266.659157212434
01/2023,14717.751361084853
02/2023,14909.394514090876
03/2023,16009.375376965692
04/2023,15796.86542795286
05/2023,17956.855333071973
06/2023,18660.78195861305
07/2023,19220.38078340607
08/2023,19351.96080364251
09/2023,18948.351173730163
10/2023,18780.36218736923
11/2023,20740.536858428783
12/2023,21511.839264939652
01/2024,22846.018197488243
02/2024,24186.585246463423
03/2024,24930.547359211916
04/2024,23535.553496504148
05/2024,24118.21101748136
06/2024,26564.2768470337
07/2024,25580.577280885886
08/2024,25163.067974437807
09/2024,25839.240090222418
