Date,Nasdaq-100 (EUR Hedged)
12/2012,10000
01/2013,10265.476371964729
02/2013,10309.155176753799
03/2013,10617.353106974071
04/2013,10873.22156002822
05/2013,11250.447601388361
06/2013,10978.270503688944
07/2013,11664.226278899096
08/2013,11621.540174218868
09/2013,12168.730655642968
10/2013,12772.646857572352
11/2013,13216.312899074306
12/2013,13613.392942611297
01/2014,13392.127179065372
02/2014,14022.881737508818
03/2014,13648.952878653046
04/2014,13602.366880688081
05/2014,14224.612581055735
06/2014,14662.286968329321
07/2014,14826.15339343896
08/2014,15572.805689589766
09/2014,15447.264579396508
10/2014,15857.639713676925
11/2014,16564.26492329619
12/2014,16179.061827489992
01/2015,15839.452029539918
02/2015,16961.699502586336
03/2015,16549.197153786972
04/2015,16865.23032415204
05/2015,17233.9829610117
06/2015,16811.872693301753
07/2015,17556.75231068677
08/2015,16394.690472560706
09/2015,16034.269425900255
10/2015,17823.363197061608
11/2015,17903.133741522164
12/2015,17622.057796418478
01/2016,16411.10547793192
02/2016,16124.959671558076
03/2016,17179.242640724107
04/2016,16622.089704636262
05/2016,17355.411456468326
06/2016,16933.691178086854
07/2016,18125.640380204142
08/2016,18290.641319723887
09/2016,18671.05818286245
10/2016,18358.570370028963
11/2016,18408.02810759451
12/2016,18575.26262235915
01/2017,19514.037843146292
02/2017,20347.55139882081
03/2017,20728.4646120138
04/2017,21257.46740930089
05/2017,22019.612917864702
06/2017,21454.341113029543
07/2017,22310.86403908402
08/2017,22703.47693213122
09/2017,22641.82316465704
10/2017,23648.633796475206
11/2017,24082.372836888735
12/2017,24157.569870133553
01/2018,26186.400717580364
02/2018,25808.678326165802
03/2018,24730.180565059083
04/2018,24772.12214465768
05/2018,26129.604089924447
06/2018,26344.842745666687
07/2018,27001.017517611563
08/2018,28544.45346540972
09/2018,28389.556794854976
10/2018,25847.46453756129
11/2018,25754.540716658572
12/2018,23403.117787413274
01/2019,25476.37196473078
02/2019,26156.903342917616
03/2019,27141.059140108984
04/2019,28558.45762765946
05/2019,26111.948209417176
06/2019,28021.619590227576
07/2019,28608.482622430056
08/2019,27995.100315891355
09/2019,28151.84057236252
10/2019,29285.29137520873
11/2019,30425.691078816842
12/2019,31547.335841082888
01/2020,32429.70442354259
02/2020,30436.00806923374
03/2020,28195.16484139843
04/2020,32505.39780684183
05/2020,34543.5529445967
06/2020,36702.39205272656
07/2020,39338.223563155225
08/2020,43681.88925012143
09/2020,41158.41011986854
10/2020,39811.81242222372
11/2020,44148.70647630461
12/2020,46301.34120875419
01/2021,46404.014762868755
02/2021,46375.72280976675
03/2021,47046.25627971452
04/2021,49779.65602941228
05/2021,49142.271652384785
06/2021,52292.889076398904
07/2021,53737.196827614076
08/2021,55986.867995703025
09/2021,52728.57806345481
10/2021,56873.95190367972
11/2021,57892.28494747553
12/2021,58500.10104268965
01/2022,53522.70269695347
02/2022,51142.88145388021
03/2022,53278.14393442506
04/2022,45900.07764332994
05/2022,45088.82893295374
06/2022,40904.066170552964
07/2022,46090.179714173275
08/2022,43524.971725773685
09/2022,38757.316731605795
10/2022,40194.9592106616
11/2022,42205.88600257393
12/2022,38381.2961118064
01/2023,42331.53347349313
02/2023,42031.09987626702
03/2023,45883.44991650683
04/2023,46022.782467497935
05/2023,49560.97837686441
06/2023,52655.756419756144
07/2023,54537.34856891643
08/2023,53629.59522653062
09/2023,50810.85872104772
10/2023,49694.07109859993
11/2023,54913.40464229115
12/2023,57886.82509687689
01/2024,58911.57523780486
02/2024,62011.49404911738
03/2024,62686.99101960937
04/2024,59793.376563059486
05/2024,63480.33567445109
06/2024,67373.45732630407
07/2024,66244.89911685143
08/2024,66885.82885141052
09/2024,68499.42742475864
