Date,Nasdaq-100
07/2007,10000
08/2007,10300.779819004563
09/2007,10468.07718363035
10/2007,10999.387840194588
11/2007,10053.509312920913
12/2007,10063.698597951678
01/2008,8803.943561646622
02/2008,8188.30076688323
03/2008,8019.882066348303
04/2008,8779.008119060274
05/2008,9327.057974591677
06/2008,8298.067451488543
07/2008,8434.417210834446
08/2008,9053.889678914531
09/2008,7952.161191254918
10/2008,7474.590001841879
11/2008,6669.096922860284
12/2008,6230.196153423168
01/2009,6592.083427663298
02/2009,6334.7485080545675
03/2009,6658.912500922267
04/2009,7515.841059627607
05/2009,7290.480875403172
06/2009,7481.918205732913
07/2009,8112.337544374604
08/2009,8150.6666676241375
09/2009,8398.864735895564
10/2009,8063.063418184023
11/2009,8422.407674949452
12/2009,9239.310305969922
01/2010,8927.020746967568
02/2010,9600.700823917961
03/2010,10400.566941295741
04/2010,10756.484297870336
05/2010,10793.2668795967
06/2010,10175.017957415701
07/2010,10263.947089264424
08/2010,10014.858037468359
09/2010,10503.069282514783
10/2010,10992.567922745451
11/2010,11694.679828814002
12/2010,11910.272456812492
01/2011,11955.856198826616
02/2011,12195.158744670602
03/2011,11817.444673982534
04/2011,11611.586254579575
05/2011,11943.529523135212
06/2011,11659.247105072864
07/2011,12007.565199402316
08/2011,11266.32362738077
09/2011,11525.19763788954
10/2011,12246.906678263782
11/2011,12445.526810693666
12/2011,12811.981504561249
01/2012,13634.620775488089
02/2012,14221.255818642541
03/2012,15037.869402848706
04/2012,15030.408387423908
05/2012,14862.928691600806
06/2012,15177.074149644144
07/2012,15718.280156857554
08/2012,16087.123222330225
09/2012,15849.399203168077
10/2012,15026.212714601377
11/2012,15134.382620445645
12/2012,14812.315815602266
01/2013,14807.025979294192
02/2013,15345.991996304389
03/2013,16201.785912952124
04/2013,16264.160847537367
05/2013,16907.68504911684
06/2013,16415.738140638103
07/2013,17187.384424650718
08/2013,17177.46529963351
09/2013,17630.818386337953
10/2013,18326.99994541464
11/2013,19001.977848509716
12/2013,19320.342252677165
01/2014,19334.594489072086
02/2014,19883.73167724297
03/2014,19386.893275513834
04/2014,19234.13784616119
05/2014,20455.28107791524
06/2014,21003.640775252203
07/2014,21689.02465407652
08/2014,23110.638800751687
09/2014,24035.578964517463
10/2014,24801.52337261242
11/2014,25991.374613111548
12/2014,26103.282638761226
01/2015,27461.73878980575
02/2015,29600.791031137152
03/2015,30196.611841839323
04/2015,29513.102632144182
05/2015,30853.763897942565
06/2015,29517.54452293832
07/2015,31441.84606402838
08/2015,28680.808962797695
09/2015,28092.345286725325
10/2015,31773.547267143524
11/2015,33251.18659382656
12/2015,31827.05476778745
01/2016,29571.188412248765
02/2016,29164.146862367994
03/2016,29773.697083074378
04/2016,28793.860682765557
05/2016,30725.60920018606
06/2016,30154.420414821863
07/2016,32267.63239087876
08/2016,32538.997387923184
09/2016,33175.95124047154
10/2016,33321.00346585916
11/2016,34419.492546669215
12/2016,35119.341118178934
01/2017,36221.96058863582
02/2017,38346.60758622972
03/2017,38780.7443281975
04/2017,38973.38715238099
05/2017,39406.66058725986
06/2017,37811.98347110732
07/2017,38326.91025985269
08/2017,38760.264661816465
09/2017,38773.24018837394
10/2017,41117.68125127
11/2017,41195.57434942613
12/2017,40907.311634976424
01/2018,42804.67729287723
02/2018,43104.62932209454
03/2018,41042.07901719706
04/2018,42031.229524416834
05/2018,45834.92698837809
06/2018,46492.507467539945
07/2018,47451.92914505264
08/2018,50644.85064274413
09/2018,50815.65640455186
10/2018,47487.67627635776
11/2018,47254.61724795731
12/2018,42723.14076807406
01/2019,46475.682990015615
02/2019,48112.218952073956
03/2019,50847.36282042425
04/2019,53717.768660597176
05/2019,49559.669352648096
06/2019,52288.24483313929
07/2019,54615.63748585912
08/2019,54132.897427834745
09/2019,55306.50765860137
10/2019,56343.01476227171
11/2019,59548.177336224784
12/2019,60521.98403752108
01/2020,63359.01267854037
02/2020,60085.063194511575
03/2020,55625.52117783946
04/2020,64563.3501633447
05/2020,67007.76047823073
06/2020,70865.0430228647
07/2020,71932.01922983708
08/2020,79325.34726727226
09/2020,76298.27008467689
10/2020,73940.98689267201
11/2020,80194.6591448864
12/2020,82269.08489783997
01/2021,83443.54735537506
02/2021,83493.4905342711
03/2021,87568.23977782152
04/2021,89998.13276580127
05/2021,88057.31237628365
06/2021,96176.48990448964
07/2021,98817.86685301171
08/2021,103488.92144841165
09/2021,99740.02525450898
10/2021,107036.98574451094
11/2021,111732.27536427844
12/2021,113413.15123875359
01/2022,105357.42558024314
02/2022,100151.90775937095
03/2022,105343.2785541357
04/2022,96138.37567946943
05/2022,93099.92262065125
06/2022,87415.69616490114
07/2022,100244.00664356319
08/2022,96970.52917721614
09/2022,88969.42013001039
10/2022,90972.36780590586
11/2022,91771.89741406494
12/2022,81214.33358812779
01/2023,88481.60117459069
02/2023,89895.68578303116
03/2023,96132.23906386989
04/2023,95690.172438517
05/2023,105930.7261109108
06/2023,110948.16685354685
07/2023,113556.44431631056
08/2023,113404.16282874733
09/2023,110477.49778902104
10/2023,107960.07518623635
11/2023,116179.72215142411
12/2023,121273.19547402923
01/2024,125978.87960837162
02/2024,132882.23694498627
03/2024,134679.03417896316
04/2024,129817.68829596967
05/2024,136367.1857396563
06/2024,146874.83237980786
07/2024,142878.43426012935
08/2024,141151.64980826355
09/2024,143330.2640283848
