Date,Northern Trust MSCI World Custom ESG
11/2007,10000
12/2007,9877.670293813317
01/2008,9030.174051482121
02/2008,8779.752601880837
03/2008,8344.09736887085
04/2008,8927.765786131202
05/2008,9101.446838798223
06/2008,8205.467289092883
07/2008,8114.043601926229
08/2008,8476.2491196878
09/2008,7701.289549416588
10/2008,6928.043047330943
11/2008,6459.917478819491
12/2008,6123.369205469529
01/2009,6058.78364010499
02/2009,5517.511206302878
03/2009,5647.349241076412
04/2009,6336.218713149476
05/2009,6499.568631697749
06/2009,6476.209219006767
07/2009,7043.5023236189245
08/2009,7272.020741549557
09/2009,7374.294865571079
10/2009,7148.221173705891
11/2009,7320.605240936882
12/2009,7790.329271827331
01/2010,7701.720179650569
02/2010,8042.677324828545
03/2010,8595.684890519171
04/2010,8716.493735795395
05/2010,8536.649267415343
06/2010,8299.064991070642
07/2010,8428.277389184568
08/2010,8333.258159254789
09/2010,8463.204776839684
10/2010,8636.618333422011
11/2010,9002.886363311556
12/2010,9391.275073058465
01/2011,9350.412518778296
02/2011,9562.939752498209
03/2011,9219.40407861719
04/2011,9190.658869664618
05/2011,9300.320580139663
06/2011,9116.597436507585
07/2011,9067.187564326247
08/2011,8318.364725479974
09/2011,8134.4802440491485
10/2011,8638.176345093558
11/2011,8762.30633000963
12/2011,9052.663712700509
01/2012,9360.991821578073
02/2012,9633.041145585063
03/2012,9841.853658445014
04/2012,9828.89912112126
05/2012,9561.493687508993
06/2012,9884.591166499007
07/2012,10247.69357933527
08/2012,10252.868512071658
09/2012,10271.438428017269
10/2012,10156.63902831287
11/2012,10308.86890332684
12/2012,10350.403906464673
01/2013,10592.452760794455
02/2013,10950.25257451648
03/2013,11506.718122581395
04/2013,11650.37034102713
05/2013,11698.43072157301
06/2013,11348.64350417809
07/2013,11770.64398737703
08/2013,11566.06100670134
09/2013,11911.298995091827
10/2013,12251.094941724195
11/2013,12494.360328359653
12/2013,12580.703093707003
01/2014,12383.927946513373
02/2014,12726.880628210009
03/2014,12760.836959190283
04/2014,12804.039939092663
05/2014,13304.169328091666
06/2014,13492.567310756363
07/2014,13576.011756254782
08/2014,14081.923401910379
09/2014,14363.701299665798
10/2014,14536.607802576667
11/2014,14895.532410378384
12/2014,15074.826522928532
01/2015,15902.519528936833
02/2015,16922.954574801974
03/2015,17447.181465299214
04/2015,17107.608937227735
05/2015,17567.46562986896
06/2015,16840.725001721174
07/2015,17502.178331451996
08/2015,15976.175867085227
09/2015,15387.047573858183
10/2015,16870.27454785408
11/2015,17480.381908988096
12/2015,16681.502885439935
01/2016,15603.648816577916
02/2016,15509.852005056513
03/2016,15838.18110268557
04/2016,16035.126439158217
05/2016,16512.416701898248
06/2016,16339.821550185643
07/2016,17071.477854645666
08/2016,17067.33276755632
09/2016,17121.49515645322
10/2016,17096.776107068545
11/2016,17829.449097347337
12/2016,18413.813306682303
01/2017,18506.105352069048
02/2017,19297.45383087103
03/2017,19356.234602708493
04/2017,19229.90586336639
05/2017,19136.663766285383
06/2017,18893.82793387162
07/2017,18845.616081249675
08/2017,18717.04197678651
09/2017,19156.166315314018
10/2017,19827.22076381524
11/2017,19896.77999103299
12/2017,19890.246049227782
01/2018,20155.725992232256
02/2018,19740.173312142146
03/2018,19155.025648741514
04/2018,19777.074227400284
05/2018,20551.433328179013
06/2018,20618.960062881106
07/2018,21105.799035807526
08/2018,21582.775060576572
09/2018,21817.63685725174
10/2018,20637.71992476632
11/2018,20847.611583269234
12/2018,19109.38303295004
01/2019,20522.482827126492
02/2019,21239.05550918028
03/2019,21895.9266501676
04/2019,22743.63253357216
05/2019,21553.40668274587
06/2019,22507.766835321752
07/2019,23100.505593087946
08/2019,22878.055427566618
09/2019,23667.47867239222
10/2019,23718.942964348455
11/2019,24742.00018433899
12/2019,24946.410789360583
01/2020,25219.89219604145
02/2020,23301.870184736137
03/2020,20334.570880807303
04/2020,22799.90086077414
05/2020,23396.023737087882
06/2020,23909.4613536887
07/2020,23744.716067400852
08/2020,25157.018757132642
09/2020,24770.682486403934
10/2020,24048.548873360774
11/2020,26414.41924370149
12/2020,26881.59474117917
01/2021,26940.812646465387
02/2021,27620.665835525262
03/2021,29456.366518719264
04/2021,29935.484854200087
05/2021,30042.67790129616
06/2021,31357.644453342946
07/2021,31904.11618527258
08/2021,32898.607581933335
09/2021,32212.04065027581
10/2021,33887.83689044674
11/2021,34027.48344185382
12/2021,35574.32535736697
01/2022,34057.702084655204
02/2022,32954.53609823369
03/2022,34176.44515010977
04/2022,32942.98310804931
05/2022,32373.35137370789
06/2022,30500.557611189142
07/2022,33613.40868953059
08/2022,32796.030443578195
09/2022,30519.5588415636
10/2022,32095.847499950403
11/2022,32792.342933684246
12/2022,30485.02255624243
01/2023,32195.087676319865
02/2023,32063.2025554689
03/2023,32291.08230979024
04/2023,32553.16190735842
05/2023,33198.36653870138
06/2023,34610.711472225776
07/2023,35283.417478656615
08/2023,34926.00500862633
09/2023,34283.92964351237
10/2023,33167.81280180591
11/2023,35284.1005961895
12/2023,36627.07111866848
01/2024,37840.87042271753
02/2024,39517.0852964778
03/2024,40793.79532770033
04/2024,39562.17244411374
05/2024,40818.70632317029
06/2024,42306.56256883294
07/2024,42485.98961652689
08/2024,42578.96014914365
09/2024,42942.49435661276
10/2024,43300.7858083283
