Date,Palladium spot price (EUR Hedged)
04/1990,10000
05/1990,10196.581196581197
06/1990,9764.957264957266
07/1990,9978.632478632479
08/1990,9551.28205128205
09/1990,8205.128205128205
10/1990,8269.23076923077
11/1990,7927.350427350428
12/1990,6987.179487179487
01/1991,7136.752136752137
02/1991,7316.239316239316
03/1991,7799.145299145299
04/1991,8525.641025641025
05/1991,8376.068376068377
06/1991,8269.23076923077
07/1991,7534.188034188034
08/1991,6901.709401709401
09/1991,7038.461538461538
10/1991,7393.1623931623935
11/1991,7158.119658119658
12/1991,6816.239316239316
01/1992,7393.1623931623935
02/1992,7170.940170940171
03/1992,7316.239316239316
04/1992,7038.461538461538
05/1992,6880.34188034188
06/1992,7000
07/1992,7811.965811965812
08/1992,7393.1623931623935
09/1992,8183.760683760684
10/1992,8021.3675213675215
11/1992,8132.478632478633
12/1992,9081.196581196582
01/1993,9602.564102564103
02/1993,8559.82905982906
03/1993,9615.384615384615
04/1993,10200.854700854701
05/1993,10470.08547008547
06/1993,11794.871794871795
07/1993,12136.752136752137
08/1993,10747.863247863248
09/1993,10705.128205128205
10/1993,11111.111111111111
11/1993,10555.555555555555
12/1993,10534.188034188035
01/1994,10641.02564102564
02/1994,11602.564102564103
03/1994,11410.25641025641
04/1994,11688.034188034188
05/1994,11495.726495726496
06/1994,12072.649572649572
07/1994,12820.51282051282
08/1994,12982.905982905982
09/1994,12991.452991452992
10/1994,13581.196581196582
11/1994,13213.675213675213
12/1994,13397.435897435897
01/1995,13418.803418803418
02/1995,13183.760683760684
03/1995,14914.529914529914
04/1995,13931.623931623932
05/1995,13645.299145299145
06/1995,13589.74358974359
07/1995,13076.923076923076
08/1995,12435.897435897436
09/1995,12158.119658119658
10/1995,11666.666666666666
11/1995,11294.871794871795
12/1995,10897.435897435897
01/1996,10918.803418803418
02/1996,11752.136752136752
03/1996,11880.34188034188
04/1996,11004.273504273504
05/1996,11239.31623931624
06/1996,11311.965811965812
07/1996,11111.111111111111
08/1996,10726.495726495727
09/1996,10149.57264957265
10/1996,9957.264957264957
11/1996,9786.324786324787
12/1996,9957.264957264957
01/1997,10568.376068376068
02/1997,13034.188034188035
03/1997,12521.367521367521
04/1997,13333.333333333334
05/1997,15555.555555555555
06/1997,16410.25641025641
07/1997,18034.188034188035
08/1997,16324.786324786324
09/1997,16581.196581196582
10/1997,17692.30769230769
11/1997,17478.63247863248
12/1997,17435.897435897437
01/1998,20085.470085470086
02/1998,19914.529914529914
03/1998,22735.042735042734
04/1998,31196.581196581195
05/1998,24358.97435897436
06/1998,25384.615384615383
07/1998,26282.05128205128
08/1998,23290.59829059829
09/1998,23931.62393162393
10/1998,23504.273504273504
11/1998,23418.803418803418
12/1998,28119.65811965812
01/1999,28632.478632478633
02/1999,30000
03/1999,30940.17094017094
04/1999,25213.675213675215
05/1999,28888.88888888889
06/1999,27435.897435897437
07/1999,28803.418803418805
08/1999,29145.299145299145
09/1999,32222.222222222223
10/1999,33760.68376068376
11/1999,33675.21367521367
12/1999,37948.717948717946
01/2000,41367.52136752137
02/2000,61709.40170940171
03/2000,48974.35897435898
04/2000,51282.05128205128
05/2000,48547.00854700855
06/2000,54529.91452991453
07/2000,70256.41025641025
08/2000,61196.581196581195
09/2000,60854.70085470085
10/2000,64786.32478632479
11/2000,69316.23931623931
12/2000,81538.46153846153
01/2001,89743.58974358975
02/2001,71709.4017094017
03/2001,63076.92307692308
04/2001,58290.59829059829
05/2001,55128.205128205125
06/2001,51452.99145299145
07/2001,39059.82905982906
08/2001,38717.94871794872
09/2001,30769.23076923077
10/2001,27350.42735042735
11/2001,29658.119658119656
12/2001,37606.83760683761
01/2002,31623.931623931625
02/2002,32222.222222222223
03/2002,32991.45299145299
04/2002,30769.23076923077
05/2002,29743.589743589742
06/2002,27435.897435897437
07/2002,27521.36752136752
08/2002,28205.128205128207
09/2002,27179.48717948718
10/2002,26581.196581196582
11/2002,22393.162393162394
