Date,Palladium spot price
04/1990,10000
05/1990,10030.346074469684
06/1990,9670.864095165909
07/1990,9584.291969656666
08/1990,8770.286850238395
09/1990,7546.7764956616775
10/1990,7382.893902328531
11/1990,6937.718717196277
12/1990,6187.245387011742
01/1991,6335.421601122084
02/1991,6386.766747811879
03/1991,7410.532293014274
04/1991,8532.676543899517
05/1991,8495.146116821983
06/1991,8699.620989697327
07/1991,7936.648352178623
08/1991,7110.425724085255
09/1991,7051.252398683426
10/1991,7396.821770687469
11/1991,6893.80411448227
12/1991,6356.093374392622
01/1992,6942.646032076927
02/1992,6882.649762041974
03/1992,7209.827775034569
04/1992,6873.537445725223
05/1992,6590.694757506227
06/1992,6513.426423200861
07/1992,6923.165609610623
08/1992,6386.799166911712
09/1992,7233.103743816468
10/1992,7384.480438678101
11/1992,7977.248532408676
12/1992,8902.097650885236
01/1993,9597.024922612069
02/1993,8768.04111804112
03/1993,9897.75798806524
04/1993,10143.1471519198
05/1993,10436.524745721756
06/1993,12100.169609897239
07/1993,12978.97274618904
08/1993,11581.526918710395
09/1993,11076.853073269764
10/1993,11631.899486884382
11/1993,11347.081880675216
12/1993,11319.095639109815
01/1994,11588.93309755379
02/1994,12587.521015824086
03/1994,12122.960117703877
04/1994,12454.092306490831
05/1994,11985.915658542894
06/1994,12383.042457467356
07/1994,12744.850777637663
08/1994,12921.113060945658
09/1994,12791.065260622008
10/1994,13116.161183050815
11/1994,12950.982139280184
12/1994,13399.645601525861
01/1995,13146.7200794287
02/1995,12775.05988915385
03/1995,13890.601966166396
04/1995,12726.930931209332
05/1995,12657.961452821482
06/1995,12501.244709982575
07/1995,11889.716101426126
08/1995,11649.228709551566
09/1995,11535.138481864604
10/1995,10896.675651392632
11/1995,10572.216186478747
12/1995,10361.748535013921
01/1996,10508.113621905084
02/1996,11375.092939338752
03/1996,11491.84768900832
04/1996,10735.185735185734
05/1996,11097.486554622436
06/1996,11082.601289887825
07/1996,10720.410147617786
08/1996,10255.493903897532
09/1996,9788.010265109502
10/1996,9632.424774803336
11/1996,9345.554882562756
12/1996,9719.25226573114
01/1997,10596.334735223627
02/1997,13638.049562473687
03/1997,13253.547329302264
04/1997,14189.77418977419
05/1997,16504.04844526094
06/1997,17606.47467653837
07/1997,19887.12788494567
08/1997,18515.571733564815
09/1997,18313.15473424571
10/1997,19185.649829426653
11/1997,18563.872029149203
12/1997,19018.12789842289
01/1998,22412.0508967321
02/1998,22172.350941285124
03/1998,25405.933685672007
04/1998,34625.435778542764
05/1998,26624.517035475943
06/1998,27947.04206468913
07/1998,29003.52301626187
08/1998,25597.496698538842
09/1998,25074.96631038748
10/1998,23717.433152494308
11/1998,24314.977130660725
12/1998,29009.46016291372
01/1999,30503.750953504994
