Date,ROBO Global Artificial Intelligence
12/2013,10000
01/2014,10310.5524616809
02/2014,10915.755413462784
03/2014,10393.06188528218
04/2014,9712.115777549576
05/2014,10329.512969483932
06/2014,11018.439311154316
07/2014,10792.557130968276
08/2014,11588.984485608364
09/2014,11673.552013457622
10/2014,12270.715490958703
11/2014,12697.069737330808
12/2014,12939.723261707351
01/2015,13646.190451387904
02/2015,14837.490985109844
03/2015,15125.325242694977
04/2015,15153.742661998569
05/2015,16081.660643185902
06/2015,15494.857741168658
07/2015,15909.439159499576
08/2015,14190.334959883081
09/2015,13780.314973897155
10/2015,15524.238642091852
11/2015,17156.521463447873
12/2015,16301.238871192943
01/2016,14609.547922366259
02/2016,14538.706468045351
03/2016,15179.493655493035
04/2016,15382.893324755643
05/2016,16587.34417422249
06/2016,16424.609179681684
07/2016,17983.948667914603
08/2016,18674.50455067609
09/2016,19349.55436722854
10/2016,18877.488210727442
11/2016,19487.96691752959
12/2016,19607.634153874405
01/2017,20695.90736556234
02/2017,21913.998788458084
03/2017,22133.854699530828
04/2017,22907.143961623075
05/2017,23938.76853642128
06/2017,23248.258427413064
07/2017,24071.14659870283
08/2017,24909.57008934704
09/2017,25324.31248121839
10/2017,27171.722031555357
11/2017,27225.350672663426
12/2017,26892.42130966272
01/2018,28979.093595163846
02/2018,30271.203057740702
03/2018,30024.210901373295
04/2018,30494.983372123133
05/2018,33843.140794245264
06/2018,34664.74854387234
07/2018,34819.22822231081
08/2018,38635.787681583504
09/2018,38371.6158941231
10/2018,34171.453760338874
11/2018,35058.8974427203
12/2018,31969.43662797712
01/2019,36482.50548375489
02/2019,39716.38692977463
03/2019,41151.959406285605
04/2019,43367.178671875736
05/2019,40132.62558121699
06/2019,41890.91568243597
07/2019,43681.19538370754
08/2019,42363.8509023577
09/2019,41631.13119292943
10/2019,41173.71179997179
11/2019,44772.44367011879
12/2019,44839.40775999083
01/2020,47836.56954674746
02/2020,45423.43841673866
03/2020,39198.23561740543
04/2020,46045.672893118186
05/2020,50901.78173448969
06/2020,55156.136573348485
07/2020,56318.33415681828
08/2020,59853.79777417727
09/2020,58287.3084538505
10/2020,58483.06718200082
11/2020,66175.76021258872
12/2020,69037.38730304103
01/2021,71329.87007972515
02/2021,72844.79825595592
03/2021,71392.12099053165
04/2021,72826.94704976713
05/2021,70149.10011892558
06/2021,77095.97485784927
07/2021,77049.87393270424
08/2021,80585.60908015945
09/2021,78603.56310563824
10/2021,84707.00174709837
11/2021,83801.15029056226
12/2021,82278.61611443179
01/2022,73865.32070875092
02/2022,69700.52096437017
03/2022,71080.52142544638
04/2022,62632.44257538514
05/2022,58003.66036207106
06/2022,54649.32929848541
07/2022,61710.97465430653
08/2022,61872.82447908629
09/2022,55860.74874774554
10/2022,57410.82268770883
11/2022,57762.6728450603
12/2022,53165.53652677069
01/2023,59996.06080937459
02/2023,62002.92233337079
03/2023,64032.05977934016
04/2023,59380.897808319205
05/2023,68237.74908146203
06/2023,71140.75615659785
07/2023,74056.36630879852
08/2023,71460.22883137122
09/2023,69260.27508224755
10/2023,66219.97095631615
11/2023,75667.70524770507
12/2023,80559.3140944744
01/2024,82561.85175484006
02/2024,88298.06904753059
03/2024,88180.37564108025
04/2024,84458.79876423928
05/2024,84753.6165923682
06/2024,91376.36494407721
07/2024,88098.9403519187
08/2024,87346.40541637648
09/2024,89749.72584359033
