Date,ROBO Global Robotics and Automation
12/2002,10000
01/2003,9722.969304733728
02/2003,9403.479502875161
03/2003,9317.499770536942
04/2003,9754.012307968736
05/2003,10310.472085941465
06/2003,11180.810448936727
07/2003,12390.189432761972
08/2003,13970.829962478263
09/2003,12880.145640233437
10/2003,14079.217088280846
11/2003,13798.178005669502
12/2003,13780.067458432306
01/2004,14776.982396640826
02/2004,15012.675068449027
03/2004,15750.231757198953
04/2004,15646.670712312713
05/2004,15211.222413510412
06/2004,16032.038996297817
07/2004,15271.002325774567
08/2004,14975.862026257118
09/2004,15048.916834555564
10/2004,15220.435110308548
11/2004,15420.898834148175
12/2004,15848.681814844722
01/2005,16685.874952052167
02/2005,17105.74700158407
03/2005,16716.588630052454
04/2005,16221.38257312649
05/2005,17726.950612277997
06/2005,18308.019351637442
07/2005,19664.53419333498
08/2005,19870.105263157897
09/2005,20974
10/2005,20688.77592946852
11/2005,22705.348542781885
12/2005,23843.546155802323
01/2006,25026.700198052484
02/2006,25599.760505263155
03/2006,26759.871282220756
04/2006,26803.457047140462
05/2006,24634.83338514143
06/2006,25397.133328089356
07/2006,24225.980339938906
08/2006,23950.933779472416
09/2006,24632.02464454976
10/2006,25652.510396975424
11/2006,25703.4781060606
12/2006,26615.63971146545
01/2007,27423.73977149915
02/2007,26918.829535992732
03/2007,27486.050608199428
04/2007,28141.851010657843
05/2007,29291.571545380208
06/2007,30282.23169196594
07/2007,30254.463266943898
08/2007,30520.57511856986
09/2007,30965.458001269482
10/2007,31450.837474908283
11/2007,28939.60151751236
12/2007,28629.987297058622
01/2008,24950.17390719569
02/2008,25764.95556141623
03/2008,24582.636921325575
04/2008,26929.455276705274
05/2008,27509.102398761926
06/2008,25168.40085003806
07/2008,24396.66767023253
08/2008,25240.682388870035
09/2008,22700.69265189121
10/2008,19997.394528494155
11/2008,18293.540268720044
12/2008,18067.60070417475
01/2009,17750.81858614232
02/2009,16360.847991142044
03/2009,16778.56958220619
04/2009,20335.695216572505
05/2009,20630.334657398213
06/2009,20680.179991509838
07/2009,22349.96442212477
08/2009,23450.99530549327
09/2009,24119.455439459125
10/2009,23124.54358108108
11/2009,23413.73008054317
12/2009,26109.76183534638
01/2010,27098.299871115567
02/2010,28819.5434045689
03/2010,31196.471474144964
04/2010,33216.57814494931
05/2010,32713.61152189811
06/2010,31979.75226142938
07/2010,32397.16679459625
08/2010,31221.982413249207
09/2010,32715.014067995307
10/2010,34669.838854008805
11/2010,38346.37144176027
12/2010,41857.74367609639
01/2011,42406.78710195734
02/2011,44504.177822755526
03/2011,44395.729429154635
04/2011,44574.690040376845
05/2011,45546.458950295455
06/2011,45639.09312945409
07/2011,45585.35638148667
08/2011,40482.72297577853
09/2011,38307.87787898985
10/2011,41784.71409185058
11/2011,42348.159785362936
12/2011,43325.03168714738
01/2012,47215.377504553726
02/2012,48966.63713456818
03/2012,49091.66022761306
04/2012,49702.538898138344
05/2012,48192.17439329194
06/2012,48919.89753772835
07/2012,48818.67535004885
08/2012,48870.035365950345
09/2012,48210.19079659705
10/2012,47924.77480181636
11/2012,50129.41051902049
12/2012,52221.98529634682
01/2013,52448.93107011069
02/2013,55038.17868839972
03/2013,57741.970714564624
04/2013,58360.41171970625
05/2013,60782.026295555894
06/2013,59349.36452599388
07/2013,61657.24015065913
08/2013,62182.71998488855
09/2013,68203.16156978895
