Date,Russell 1000 Growth
01/2005,10000
02/2005,9937.183249004283
03/2005,9976.633181555568
04/2005,9791.932172525216
05/2005,10786.841891011716
06/2005,10959.493249027139
07/2005,11494.18977225381
08/2005,11248.492280095033
09/2005,11446.679685957213
10/2005,11353.332818198047
11/2005,12098.775501205975
12/2005,12032.22028494607
01/2006,11919.133155446289
02/2006,12143.709204208813
03/2006,12089.874582253218
04/2006,11656.443976539838
05/2006,10971.669506302464
06/2006,11061.619375971488
07/2006,10805.042807654147
08/2006,11069.323730725922
09/2006,11545.08088636486
10/2006,11917.043754259439
11/2006,11689.485449604055
12/2006,11755.78748012115
01/2007,12259.038738023057
02/2007,11794.61385843251
03/2007,11763.309523691612
04/2007,12057.292983235298
05/2007,12632.185716265136
06/2007,12395.710343458213
07/2007,12023.69542735742
08/2007,12217.068936919042
09/2007,12303.323953856814
10/2007,12486.054839179793
11/2007,11770.283156850192
12/2007,11759.589329526427
01/2008,10733.96752852362
02/2008,10314.764221705223
03/2008,9833.766683637572
04/2008,10531.19734045169
05/2008,10939.731346415938
06/2008,9986.969373391892
07/2008,9893.112668432614
08/2008,10594.11648812887
09/2008,9650.192556425152
10/2008,8914.777763408068
11/2008,8225.136367097055
12/2008,7657.773436700422
01/2009,7915.616690381184
02/2009,7419.713464235888
03/2009,7678.296431395276
04/2009,8436.379777790087
05/2009,8337.681477907814
06/2009,8409.483302665038
07/2009,9004.22983756098
08/2009,9104.674700110734
09/2009,9251.45599016045
10/2009,9029.335693227478
11/2009,9441.765601456165
12/2009,10150.481527179745
01/2010,10013.391476092995
02/2010,10659.766787602493
03/2010,11352.484518665387
04/2010,11620.72800729576
05/2010,11612.7125478032
06/2010,11005.446330235758
07/2010,11105.392848821028
08/2010,10877.44047784452
09/2010,11181.727582441206
10/2010,11539.059219308136
11/2010,12444.505437171689
12/2010,12772.28981498947
01/2011,12781.662693849383
02/2011,13064.476138745089
03/2011,12737.008695329827
04/2011,12585.1052041904
05/2011,12859.135354899896
06/2011,12615.068383696633
