Date,Russell 2000
01/2005,10000
02/2005,9999.087450359266
03/2005,9932.369081044882
04/2005,9368.610454704325
05/2005,10488.535185798033
06/2005,11108.390161295374
07/2005,11811.193161849904
08/2005,11492.419341752011
09/2005,11677.816544797952
10/2005,11333.106442128657
11/2005,12139.749643733092
12/2005,12055.588696326413
01/2006,12788.65426917183
02/2006,13014.422464122477
03/2006,13387.672085206734
04/2006,12923.187536829146
05/2006,11883.665882819938
06/2006,12105.89193755172
07/2006,11662.44560104327
08/2006,11929.25100699922
09/2006,12210.042129097928
10/2006,12876.450526291048
11/2006,12710.58565290077
12/2006,12782.199516315317
01/2007,13212.805307290677
02/2007,12852.963975920859
03/2007,12886.191410026413
04/2007,12840.939671350974
05/2007,13517.873980912153
06/2007,13268.835500216623
07/2007,12179.148284562967
08/2007,12457.015639721702
09/2007,12247.256298853417
10/2007,12364.92463515921
11/2007,11232.908829023083
12/2007,11256.402800112495
01/2008,10383.679625678351
02/2008,9802.99255328049
03/2008,9442.500822358683
04/2008,10010.055623843902
05/2008,10491.490314649725
06/2008,9526.513665486847
07/2008,9975.877432923282
08/2008,10950.948110292082
09/2008,10382.775026928422
10/2008,9219.365874996001
11/2008,8147.997758403309
12/2008,7883.768345209973
01/2009,7608.877388879378
02/2009,6775.14807459639
03/2009,7011.723699736724
04/2009,8115.7374835244045
05/2009,7872.362314249386
06/2009,7967.645831073688
07/2009,8732.542297697782
08/2009,8898.602689787185
09/2009,9173.386031518761
10/2009,8459.852710774952
11/2009,8595.8919705586
12/2009,9685.601426397985
01/2010,9622.973156046139
02/2010,10349.915105745604
03/2010,11267.842742425177
04/2010,12052.17740078208
05/2010,12050.231419929803
06/2010,11149.02364506977
07/2010,11222.837887346117
08/2010,10677.126367732488
09/2010,11155.814819244786
10/2010,11437.18246339779
11/2010,12615.808795215922
12/2010,13246.640554799083
01/2011,12894.063555540824
02/2011,13461.582755027477
03/2011,13447.863800487634
04/2011,13196.418310823554
05/2011,13376.584542091954
06/2011,13006.692186209024
07/2011,12706.236569389423
08/2011,11448.228261566363
09/2011,10877.747282574815
10/2011,12078.710796358067
11/2011,12557.577616654655
12/2011,13108.478528538772
01/2012,13782.16172778469
02/2012,13831.714095440393
03/2012,14278.522140473486
04/2012,14209.032999178817
05/2012,14136.137804541302
06/2012,14621.08730903302
07/2012,14778.222100671363
08/2012,14875.059929375935
09/2012,14984.490588727333
10/2012,14588.327746562645
11/2012,14673.74231631525
12/2012,14956.927740484496
01/2013,15475.564315488566
02/2013,16147.995874360506
03/2013,17321.062311311656
04/2013,16904.92848171998
05/2013,17669.800996504524
06/2013,17479.947869330295
07/2013,18428.518835019222
08/2013,17897.114496627804
09/2013,18658.374214983553
10/2013,18936.858478814887
11/2013,19738.95811070395
12/2013,19864.721576103355
01/2014,19707.849952069493
02/2014,20192.599188080807
03/2014,20091.326042863275
04/2014,19225.717115677722
05/2014,19725.862718536813
06/2014,20697.839964308532
07/2014,19850.518163978715
08/2014,21136.565272610525
09/2014,20812.704796232465
10/2014,22289.173437188965
11/2014,22382.42471052557
12/2014,23668.78367682489
01/2015,24601.450564030914
02/2015,26212.661242662853
03/2015,27861.61867460355
04/2015,26047.110126647745
05/2015,27236.777325614938
06/2015,26903.647321811775
07/2015,27129.24609182955
08/2015,24862.204088633967
09/2015,23667.71269272235
10/2015,25423.251114867937
11/2015,27337.07193871268
12/2015,25229.93004546191
01/2016,22941.80935287539
02/2016,23008.20650568417
03/2016,23759.96809996566
04/2016,24094.778020957077
05/2016,25187.51214129168
06/2016,25289.534656504915
07/2016,26772.960808846547
08/2016,27199.915669211918
09/2016,27431.41382913303
10/2016,26640.5151630338
11/2016,30477.180463514484
12/2016,31610.535037725036
01/2017,31103.76130033491
02/2017,32176.730381934376
03/2017,31935.55527995923
04/2017,31579.80054213261
05/2017,30135.025509273546
06/2017,30654.942690208994
07/2017,30053.152697439637
08/2017,29424.918479610045
09/2017,31311.608286561026
10/2017,32034.36800982607
11/2017,32370.689882086706
12/2017,31852.931814614345
01/2018,31467.91522618809
02/2018,30851.243827797287
03/2018,30978.875879936855
04/2018,31872.72024710017
05/2018,34905.52430350568
06/2018,35279.28564501931
07/2018,35655.589835214974
08/2018,37464.0394578448
09/2018,36799.83427840482
10/2018,33550.524316837684
11/2018,33960.78223881028
12/2018,29688.870997894766
01/2019,32919.57175127184
02/2019,34849.403343577855
03/2019,34669.71655803737
04/2019,35901.79272181253
05/2019,33308.54998252826
06/2019,34945.06735962397
07/2019,35868.03033840563
08/2019,34452.38114332873
09/2019,35643.994706132595
10/2019,35713.5834677691
11/2019,37766.09700645237
12/2019,37983.47161837298
01/2020,37370.71985169184
02/2020,34458.61173871496
03/2020,27023.66526149613
04/2020,30961.56132128176
