Date,Russell Midcap
01/2005,10000
02/2005,10136.20134800341
03/2005,10283.829473390268
04/2005,9961.517260206827
05/2005,10968.739073809971
06/2005,11486.279426455656
07/2005,12090.827646232325
08/2005,11902.803208852678
09/2005,12216.94241351409
10/2005,11868.64612337653
11/2005,12662.758294710566
12/2005,12763.221897692027
01/2006,13063.594893955218
02/2006,13314.904643582546
03/2006,13386.69021267836
04/2006,13014.941770001184
05/2006,12253.418656813996
06/2006,12417.171868381294
07/2006,12094.042265474589
08/2006,12320.069565549838
09/2006,12732.401650049693
10/2006,13196.251292798725
11/2006,13149.082287447269
12/2006,13177.542741479228
01/2007,13849.973247412807
02/2007,13602.493328638508
03/2007,13601.395018448466
04/2007,13821.595851985
05/2007,14504.936701875919
06/2007,14123.30669628429
07/2007,13397.124420567561
08/2007,13421.983899316898
09/2007,13399.986827098639
10/2007,13363.65148077882
11/2007,12454.764447236133
12/2007,12449.08291136016
01/2008,11521.394540450792
02/2008,11037.381844029742
03/2008,10433.890379414317
04/2008,11333.932499849563
05/2008,11871.984785059325
06/2008,10745.478926694577
07/2008,10574.784462566937
08/2008,11410.540424020533
09/2008,10313.758453957864
10/2008,8978.996131766376
11/2008,8084.204208547336
12/2008,7708.742676016782
01/2009,7751.831259593636
02/2009,7075.439124043743
03/2009,7337.744258187014
04/2009,8486.739283318815
05/2009,8338.310019797762
06/2009,8346.030147684456
07/2009,9082.31797779718
08/2009,9434.453971726462
09/2009,9716.845398543084
10/2009,9190.494772269698
11/2009,9491.37107049551
12/2009,10461.587789369069
01/2010,10430.568330868771
02/2010,11272.05978708812
03/2010,12150.34370388982
04/2010,12762.51905286314
05/2010,12792.393390787456
06/2010,12028.492317744158
07/2010,12143.713669508525
08/2010,11927.731386644853
09/2010,12253.82112852206
10/2010,12535.983750404732
11/2010,13607.025785730228
12/2010,14152.29423199766
01/2011,14105.071421416449
02/2011,14490.569133568108
03/2011,14325.93344077062
04/2011,14106.46852494225
05/2011,14511.528457741602
06/2011,14141.600625160745
07/2011,13813.400142705823
08/2011,12694.516403509619
09/2011,12276.455512924695
10/2011,13380.465089121872
11/2011,13891.957274780441
