Date,S&P 500 ESG Leaders
08/2013,10000
09/2013,10057.468987563332
10/2013,10348.203632258454
11/2013,10674.372653498673
12/2013,10745.098379448391
01/2014,10529.635393113238
02/2014,10728.650389642291
03/2014,10975.537533100698
04/2014,11012.058193179926
05/2014,11410.791081152725
06/2014,11591.048257720504
07/2014,11711.789133751086
08/2014,12291.425730990308
09/2014,12730.393201924104
10/2014,12995.22870507747
11/2014,13407.728674421338
12/2014,13750.56892427448
01/2015,14080.050308060965
02/2015,15018.084137292562
03/2015,15398.02974522771
04/2015,15105.6805224679
05/2015,15617.410386505622
06/2015,14984.623437286611
07/2015,15467.39427438919
08/2015,14161.063002009587
09/2015,13847.067127010816
10/2015,15282.005428671231
11/2015,15898.206660903974
12/2015,15183.205546308167
01/2016,14365.087212676151
02/2016,14431.80002901849
03/2016,14777.541041075126
04/2016,14753.407758614763
05/2016,15283.929753774111
06/2016,15372.083777402308
07/2016,15986.600545000178
08/2016,15978.314923030859
09/2016,15921.96687235624
10/2016,15914.614045482971
11/2016,16991.348821747863
12/2016,17497.941348056258
01/2017,17437.069550752538
02/2017,18378.277505516548
03/2017,18231.310457919204
04/2017,17991.674240085602
05/2017,17693.91249998328
06/2017,17590.365891924615
07/2017,17497.41270898298
08/2017,17366.400701822837
09/2017,17763.563507292292
10/2017,18455.3764808522
11/2017,18593.17379179954
12/2017,18596.12775786802
01/2018,18917.779217205352
02/2018,18623.3066479904
03/2018,17883.881225846733
04/2018,18415.00215300228
05/2018,19423.469131519774
06/2018,19515.444141734068
07/2018,20169.319100249966
08/2018,21119.178053075862
09/2018,21334.654071427994
10/2018,20279.642125600203
11/2018,20628.237332504817
12/2018,18616.241495153787
01/2019,19897.892522598442
02/2019,20624.322515954318
03/2019,21410.04849155925
04/2019,22365.544855103137
05/2019,20979.204424044303
06/2019,22003.52318120495
07/2019,22963.4005734311
08/2019,22794.382024990326
09/2019,23578.417650830088
10/2019,23644.82799700549
11/2019,24927.057353642205
12/2019,25164.38764666898
01/2020,25599.586758196187
02/2020,23655.80246037713
03/2020,21008.462509901146
04/2020,23884.783054457333
05/2020,24503.889740289153
06/2020,25099.10951749206
07/2020,25102.165823142797
08/2020,27021.382854610278
09/2020,26354.297150145856
10/2020,25679.53385607456
11/2020,27674.216848351105
12/2020,27840.047173954474
01/2021,27861.034274149963
02/2021,28425.07850821798
03/2021,30873.73463817259
04/2021,31712.85560114095
05/2021,31541.480552788234
06/2021,33235.5844546196
07/2021,33971.59674950001
08/2021,35264.336899464266
09/2021,34319.117274516204
10/2021,37079.673216669435
11/2021,37984.51721078482
12/2021,39483.2274822171
01/2022,38046.35404843255
02/2022,36657.04606606215
03/2022,38338.405180509704
04/2022,36652.57811107372
05/2022,35987.725790389275
06/2022,34171.67077941368
07/2022,37944.88124844586
08/2022,36983.87958588105
09/2022,34239.08180991445
10/2022,36749.07638150574
11/2022,37233.67053325265
12/2022,34047.744689504456
01/2023,35836.108742628436
02/2023,35667.18132584671
03/2023,36524.72031077291
04/2023,36886.49399926164
05/2023,38394.04771400712
06/2023,40306.69622170813
07/2023,41185.89626410027
08/2023,41098.90116283471
09/2023,40069.01134322207
10/2023,39131.19155513304
11/2023,41523.28036103368
12/2023,42842.919268874866
01/2024,44332.45989141332
02/2024,46591.156044365234
03/2024,48247.31506609419
04/2024,46855.569317033645
05/2024,48653.980794609444
06/2024,51104.61167512492
07/2024,51395.460588148446
08/2024,50950.453430302834
09/2024,51675.799380228105
