Date,S&P 500 EUR Hedged
03/2006,10000
04/2006,10110.937579214524
05/2006,9803.603853408255
06/2006,9797.530007107967
07/2006,9836.295331399939
08/2006,10047.854107670708
09/2006,10291.013335457792
10/2006,10605.993558339656
11/2006,10781.942658255746
12/2006,10917.898317780991
01/2007,11068.753291444264
02/2007,10841.254354535495
03/2007,10947.344651590602
04/2007,11407.179461180875
05/2007,11796.191701990956
06/2007,11587.795298808822
07/2007,11221.148842084138
08/2007,11377.436186073557
09/2007,11770.147777440947
10/2007,11944.927218342904
11/2007,11446.705762213134
12/2007,11359.106010112559
01/2008,10679.86055140033
02/2008,10349.716146881445
03/2008,10316.24920720812
04/2008,10838.16337151495
05/2008,10992.25521225095
06/2008,10096.962714726324
07/2008,10024.062591500857
08/2008,10194.004579310746
09/2008,9257.87903211622
10/2008,7504.669324308526
11/2008,6976.610958271987
12/2008,7046.628578168504
01/2009,6412.232119115882
02/2009,5726.21960619583
03/2009,6207.24743694136
04/2009,6802.879089021346
05/2009,7159.917891075312
06/2009,7175.9697926894505
07/2009,7712.807067823668
08/2009,7987.479837478958
09/2009,8279.821131667082
10/2009,8127.609746710108
11/2009,8607.327724901994
12/2009,8782.045604803207
01/2010,8456.246165370438
02/2010,8723.590072021198
03/2010,9254.975318694576
04/2010,9403.46252176621
05/2010,8592.980390493327
06/2010,8137.615219948661
07/2010,8672.407531755647
08/2010,8271.220697739625
09/2010,8958.747404350243
10/2010,9295.597819395543
11/2010,9300.282663284088
12/2010,9904.465603954803
01/2011,10134.617354408234
02/2011,10483.101246636132
03/2011,10491.488027678653
04/2011,10794.457647583447
05/2011,10677.462258967991
06/2011,10509.084127504731
07/2011,10302.688198187107
08/2011,9751.002306209592
09/2011,9019.124778457995
10/2011,9969.47712465637
11/2011,9949.652413139498
12/2011,10051.866436425076
01/2012,10496.581036521711
02/2012,10940.191159840293
03/2012,11300.539253673744
04/2012,11227.643269002952
05/2012,10503.962148778972
06/2012,10924.27117465632
07/2012,11077.950194563802
08/2012,11317.680112485916
09/2012,11600.91658639595
10/2012,11384.73452723738
11/2012,11447.461048440746
12/2012,11546.520975747035
01/2013,12124.237341971877
02/2013,12293.159176055151
03/2013,12759.813806425314
04/2013,12996.674671321161
05/2013,13303.381923413977
06/2013,13123.21046309392
07/2013,13775.27803327605
08/2013,13372.073136538162
09/2013,13779.23863009702
10/2013,14408.7934975029
11/2013,14846.27183475579
12/2013,15217.866450910014
01/2014,14680.473057491765
02/2014,15336.05529522897
03/2014,15465.569811726802
04/2014,15580.217087885312
05/2014,15953.081205685134
06/2014,16282.69432324802
07/2014,16050.891806799853
08/2014,16701.588998066258
09/2014,16454.580397115013
10/2014,16856.41957081119
11/2014,17308.812741782123
12/2014,17261.11486455028
01/2015,16699.77682843932
02/2015,17661.361729336455
03/2015,17360.57778361774
04/2015,17525.59075281344
05/2015,17747.326752341647
06/2015,17403.15161284649
07/2015,17763.961672845184
08/2015,16698.161240159294
09/2015,16275.421848050897
10/2015,17657.579090366376
11/2015,17707.57438276044
12/2015,17420.078301454392
01/2016,16537.779830960735
02/2016,16503.54001620244
03/2016,17565.409856588736
04/2016,17617.504430840097
05/2016,17930.962700241384
06/2016,17956.869017848552
07/2016,18593.21473615162
08/2016,18598.477425736222
09/2016,18577.27302355562
10/2016,18206.54750388248
11/2016,18883.19239830278
12/2016,19223.591623979202
01/2017,19547.291264235337
02/2017,20320.000289698826
03/2017,20313.335664719132
04/2017,20492.924623469124
05/2017,20739.962194303072
06/2017,20831.540132081973
07/2017,21210.931267918644
08/2017,21237.767208368983
09/2017,21644.633174033468
10/2017,22123.941952632173
11/2017,22748.794387292153
12/2017,22947.201871454425
01/2018,24169.540548006717
02/2018,23219.451517349335
03/2018,22578.37439641767
04/2018,22622.46810984966
05/2018,23126.167460406967
06/2018,23212.052816234722
07/2018,24022.061600317018
08/2018,24752.843445719234
09/2018,24838.832782733123
10/2018,23034.848182295056
11/2018,23450.18887328884
12/2018,21278.51645230678
01/2019,22920.492156921577
02/2019,23610.97482620657
03/2019,24013.93451358015
04/2019,24928.19038593057
05/2019,23269.16590534505
06/2019,24817.804269126074
07/2019,25123.90367100146
08/2019,24654.497419093845
09/2019,25060.839340273
10/2019,25529.178879713945
11/2019,26417.48549695247
12/2019,27135.153814557576
01/2020,27073.696277680465
02/2020,24773.1384005107
03/2020,21662.09114959737
04/2020,24415.909742261163
05/2020,25546.6513402192
06/2020,26031.7478875265
07/2020,27389.977041367958
08/2020,29315.75671920217
09/2020,28161.71040256756
10/2020,27391.41570643576
11/2020,30302.258823139902
12/2020,31409.069746027246
01/2021,31066.406213625985
02/2021,31904.099859185677
03/2021,33308.328013566184
04/2021,35018.671089402094
05/2021,35244.17369100102
06/2021,36068.30374094303
07/2021,36902.01195835372
08/2021,38005.61239745437
09/2021,36180.4689189371
10/2021,38696.853456882985
11/2021,38391.46588641116
12/2021,40046.33836202214
01/2022,37919.97380294893
02/2022,36764.40139427907
03/2022,38093.57892896274
04/2022,34515.339552891244
05/2022,34550.17894075763
06/2022,31564.499374560928
07/2022,34474.04557169477
08/2022,32984.924279969084
09/2022,29798.615343070665
