Date,S&P 500 Equal Weight
08/2022,10000
09/2022,9305.793313921564
10/2022,10043.780668472788
11/2022,10232.501705970248
12/2022,9480.222263997935
01/2023,10021.64024304184
02/2023,9880.391401057585
03/2023,9556.125713416852
04/2023,9493.17070873996
05/2023,9382.510835091012
06/2023,9930.40837552566
07/2023,10124.347455586769
08/2023,9938.204047740792
09/2023,9671.859315385509
10/2023,9252.746217484591
11/2023,9802.59262506021
12/2023,10356.348356163118
01/2024,10470.058435193681
02/2024,10910.758320296967
03/2024,11406.085086956422
04/2024,10942.186420633232
05/2024,11105.632248465188
06/2024,11200.47826531411
07/2024,11566.76868296367
08/2024,11571.89069321063
09/2024,11720.623494380363
