Date,S&P 500 Health Care Sector
09/1989,10000
10/1989,9689.9237653046
11/1989,10003.169680410792
12/1989,9660.371347387725
01/1990,8767.454618737582
02/1990,8433.877085662827
03/1990,8882.136128330223
04/1990,8814.121089506662
05/1990,9822.630502939104
06/1990,10336.930889814865
07/1990,10340.823531760181
08/1990,9154.103240932653
09/1990,8811.619400581354
10/1990,8713.323716708474
11/1990,9352.88648111374
12/1990,9654.578918125952
01/1991,10022.595052744744
02/1991,10790.034189457314
03/1991,12320.427815254554
04/1991,12927.272784138375
05/1991,13637.649459956514
06/1991,13581.16623760006
07/1991,14679.65712705405
08/1991,14781.608713012154
09/1991,14157.631402792027
10/1991,14842.36731471418
11/1991,13880.120799457634
12/1991,15625.193331093024
01/1992,14627.092908527608
02/1992,14754.234286488747
03/1992,14405.181046506817
04/1992,14209.332216516168
05/1992,13975.699844960518
06/1992,12955.691343099337
07/1992,13104.254950345055
08/1992,12351.581219022637
09/1992,11968.8169353534
10/1992,12795.039961142902
11/1992,14027.778358000076
12/1992,13771.225634922195
01/1993,12925.299337675036
02/1993,12328.701542394316
03/1993,12507.24314680529
04/1993,12322.503625737963
05/1993,12652.820940221474
06/1993,12573.341447809908
07/1993,12106.738726511514
08/1993,12713.282329734682
09/1993,12107.592989862422
10/1993,12933.512233510766
11/1993,13624.84077563577
12/1993,13860.111127089927
01/1994,14139.166352227627
02/1994,13255.139556141425
03/1994,12265.295060523984
04/1994,12696.547882562749
05/1994,13191.921595367676
06/1994,12629.930551663088
07/1994,12407.02157842213
08/1994,13876.243206540998
09/1994,14003.56999352804
10/1994,13910.300412024812
11/1994,14253.813608031272
12/1994,14681.859121960762
01/1995,15319.392846348157
02/1995,15363.628869988557
03/1995,15199.987415355321
04/1995,15308.75760066458
05/1995,15948.316720639037
06/1995,16493.06862891553
07/1995,17086.128257975688
08/1995,17578.700770298175
09/1995,19365.317657012634
10/1995,19601.46484117079
11/1995,20615.160964508686
12/1995,22049.78328070797
01/1996,23573.279470345395
02/1996,23339.352985335616
03/1996,23323.041271656417
04/1996,23098.05860399102
05/1996,24342.01934753854
06/1996,24604.788472826145
07/1996,23080.978951212135
08/1996,23716.545024629944
09/1996,25882.583581577488
10/1996,26190.284906935405
11/1996,28018.34871471185
12/1996,27397.74484573043
01/1997,31198.14597979427
02/1997,33027.350107244754
03/1997,31143.978956518014
04/1997,33908.02969664281
05/1997,35859.83817362171
06/1997,39639.07486708256
07/1997,41564.214852596044
08/1997,39350.29364268032
09/1997,40521.341399486795
10/1997,40186.946830202556
11/1997,41082.529732016315
12/1997,44004.89621846939
01/1998,48135.46665318765
02/1998,50675.197100809506
03/1998,52707.22791159754
04/1998,53593.30511062691
05/1998,51734.238238665
06/1998,55900.988649321516
07/1998,56272.966734352296
08/1998,49760.15287141876
09/1998,53032.149660125135
10/1998,52875.57097148588
11/1998,57746.104688641346
12/1998,59883.77303111732
01/1999,61624.827540976796
02/1999,64269.70142952394
03/1999,67492.02546841875
04/1999,63844.63652749883
05/1999,62865.173511328016
06/1999,66577.87653998002
07/1999,60736.976111744014
08/1999,63518.13198319553
09/1999,57882.64543368274
10/1999,65572.25021630006
11/1999,68365.50710497906
12/1999,62602.74262791629
01/2000,68051.29007424037
02/2000,61478.565352443984
03/2000,65937.82405576916
04/2000,74850.31294154718
05/2000,77172.11276121774
06/2000,81378.81997587046
07/2000,79414.11541608536
08/2000,82988.78057776681
09/2000,88509.62375990601
10/2000,95552.94758451743
11/2000,96559.08966648548
12/2000,92632.5451514863
01/2001,85170.31360161939
02/2001,85794.55898600772
03/2001,83162.0817808855
04/2001,85014.12061324238
05/2001,90073.6182876164
06/2001,85887.76029224243
07/2001,87663.20733041267
08/2001,80843.1952635633
09/2001,82257.8306742563
10/2001,82667.83445195085
11/2001,88082.92856521712
12/2001,86108.64429137214
01/2002,87036.83035855142
02/2002,87239.61907972822
03/2002,86685.10645234487
04/2002,78758.73429368615
05/2002,74139.48906649419
06/2002,63362.42669393591
07/2002,63281.27939596299
08/2002,63736.151230155374
09/2002,59477.7599116118
