Date,S&P 500 Minimum Volatility
12/1998,10000
01/1999,9936.701170063245
02/1999,10086.814449083318
03/1999,10487.306313163283
04/1999,11527.732582051523
05/1999,11981.551947207345
06/1999,12479.100996901629
07/1999,11690.50432728633
08/1999,11611.826942211293
09/1999,10939.995812845755
10/1999,11131.295629580025
11/1999,11358.8551450926
12/1999,11570.301774636671
01/2000,11242.62745092432
02/2000,10651.560469425569
03/2000,11919.305398094837
04/2000,12572.134258227847
05/2000,12833.086160593357
06/2000,12110.8119744663
07/2000,12460.708796711022
08/2000,13826.242688075456
09/2000,13802.320580034228
10/2000,14614.677342996316
11/2000,13924.67875909719
12/2000,13493.313177001612
01/2001,13565.210828365434
02/2001,13297.07710769896
03/2001,13310.340996829711
04/2001,14017.022102748986
05/2001,15118.189659905658
06/2001,14887.813649528302
07/2001,14457.673819760137
08/2001,13651.579904345925
09/2001,12775.537844704852
10/2001,13072.789013934971
11/2001,13877.15074938188
12/2001,14519.853874957447
01/2002,15024.47289105013
02/2002,15163.435356837359
03/2002,15553.425168271433
04/2002,14866.350747335697
05/2002,14225.348614040693
06/2002,12546.126947368419
07/2002,11768.420527036697
08/2002,11976.819835655446
09/2002,10855.117212576066
10/2002,11138.09014760746
11/2002,11553.7558251234
12/2002,10651.124329169448
01/2003,10162.940266272191
02/2003,10060.358914858094
03/2003,10003.80353813676
04/2003,10321.142759500493
05/2003,10422.614830316359
06/2003,10898.893259823224
07/2003,11136.507203392825
08/2003,11732.86455349135
09/2003,10960.489479231032
10/2003,11537.369959731543
11/2003,11419.208340837085
12/2003,11352.489960095012
01/2004,11900.094537467698
02/2004,12037.877033338702
03/2004,12288.638932264397
04/2004,12526.02931614631
05/2004,12493.872597147074
06/2004,12778.387064747016
07/2004,12491.089331339812
08/2004,12547.696856081244
09/2004,12480.563329841243
10/2004,12408.484304938369
11/2004,12528.115864610756
12/2004,12702.62512297188
01/2005,13088.988804909855
02/2005,13170.762815418268
03/2005,13309.035248688675
04/2005,13110.903270510147
05/2005,14077.99733711783
06/2005,14521.857608666887
07/2005,14931.098937567185
08/2005,14668.458888014427
09/2005,14923.300895200133
10/2005,14588.627902520171
11/2005,15331.084605998807
12/2005,15382.865015173347
