Date,S&P Commodity Producers Gold
09/2011,10000
10/2011,10293.897710851264
11/2011,11012.650309131695
12/2011,9816.695758223901
01/2012,10658.081271393496
02/2012,10284.799245725146
03/2012,9151.63248400015
04/2012,8651.106732857814
05/2012,8565.625263588083
06/2012,8527.073055165476
07/2012,8494.927387075326
08/2012,9052.340365012227
09/2012,9968.693941677897
10/2012,9616.840183705921
11/2012,8764.055650398474
12/2012,8318.445928447993
01/2013,7473.750583580235
02/2013,6987.984426424217
03/2013,7151.972024292817
04/2013,5612.540750274016
05/2013,5512.489918677903
06/2013,4373.578493520949
07/2013,4784.142043253274
08/2013,5142.92407669426
09/2013,4605.991881166074
10/2013,4534.398412423377
11/2013,3983.831532178312
12/2013,3810.66317500019
01/2014,4291.197029854852
02/2014,4613.219772835159
03/2014,4239.330263194868
04/2014,4322.975617883541
05/2014,4112.8597190622
06/2014,4756.641969547783
07/2014,4787.277098119668
08/2014,5012.080007273015
09/2014,4255.29397127828
10/2014,3480.4263573576472
11/2014,3664.946009191799
12/2014,3791.041724958679
01/2015,4901.081409686627
02/2015,4763.086491306147
03/2015,4270.484797764033
04/2015,4561.059008524739
05/2015,4527.129709328438
06/2015,4039.63814992376
07/2015,3242.9000273386087
08/2015,3216.9175935805415
09/2015,3161.1290354758544
10/2015,3528.591712723846
11/2015,3383.9763022728407
12/2015,3315.714310742029
01/2016,3501.087691534342
02/2016,4720.499393593404
03/2016,4715.578507980422
04/2016,5984.979260428097
05/2016,5382.888119588796
06/2016,6604.398350765639
07/2016,7162.991600630994
08/2016,5953.424994573877
09/2016,6168.750752297011
10/2016,5870.137586177038
11/2016,5123.382303087526
12/2016,5288.469495210171
01/2017,5848.107500815563
02/2017,5779.957211067605
03/2017,5673.917836568886
04/2017,5423.835686186875
05/2017,5363.620424904453
06/2017,5135.892497002936
07/2017,5174.114300440551
08/2017,5540.39283208183
09/2017,5188.918506918476
10/2017,5132.766422486495
11/2017,5038.63566189634
12/2017,5185.385935163885
01/2018,5101.171660095497
02/2018,4648.21680394492
03/2018,4721.449127884253
04/2018,4906.420719622829
05/2018,5051.469785842971
06/2018,5063.591383175767
07/2018,4815.103948117102
08/2018,4245.516738128571
09/2018,4266.455014010777
10/2018,4491.086095426953
11/2018,4560.231321047844
12/2018,4965.072077635599
01/2019,5337.83649105773
02/2019,5290.239362169427
03/2019,5421.0720139282685
04/2019,5057.472468681548
05/2019,5319.842292536836
06/2019,6218.034410672451
07/2019,6633.286994709127
08/2019,7461.321258522331
09/2019,6839.552792304376
10/2019,6992.437215662112
11/2019,6812.738173902959
12/2019,7266.575988609568
01/2020,7344.992183479283
02/2020,6755.891621895187
03/2020,5946.266116065914
04/2020,8357.023146998652
05/2020,8501.254754418345
06/2020,8928.862626677794
07/2020,10010.407348794213
08/2020,9794.662284380951
09/2020,9287.578425233512
10/2020,8911.139103096422
11/2020,8062.912226188456
12/2020,8211.97987590527
01/2021,7944.502860513996
02/2021,7259.956284314056
03/2021,7797.921525223615
04/2021,8077.208265255768
05/2021,9034.04834399957
06/2021,8058.665475826903
07/2021,8361.810299629047
08/2021,7852.574294244167
09/2021,7234.824821661021
10/2021,7793.9978452829355
11/2021,8008.525105644268
12/2021,8188.531774782232
01/2022,7758.119561396296
02/2022,8633.679695372995
03/2022,9500.901735363068
04/2022,9253.136773482802
05/2022,8234.621744308855
06/2022,7276.218837321548
07/2022,7118.147084891633
08/2022,6682.043724692865
09/2022,6870.177853193526
10/2022,6766.081310624602
11/2022,7721.4908130991635
12/2022,7630.600341035812
01/2023,8392.093043514391
02/2023,7388.820095014382
03/2023,8462.43397354541
04/2023,8722.662383205936
05/2023,8215.569057128589
06/2023,7912.051832361966
07/2023,8115.904793255371
08/2023,7747.301418084428
09/2023,7325.181657452068
10/2023,7609.553521503357
11/2023,8189.132211368761
12/2023,8208.992996083725
01/2024,7658.462021126737
02/2024,7190.7260512640905
03/2024,8583.223884103616
04/2024,9105.549882643298
05/2024,9418.527592353852
06/2024,9247.237860873322
07/2024,10099.629595205319
08/2024,10195.209884659602
09/2024,10381.039269634859
