Date,S&P Consumer Staples Select Sector
07/2003,10000
08/2003,10578.254405289068
09/2003,9860.474950609116
10/2003,10372.309213490826
11/2003,10119.61680040538
12/2003,9799.025693579784
01/2004,9997.636404947856
02/2004,10536.346270156935
03/2004,10678.050319585493
04/2004,11085.698630293407
05/2004,10793.911414114089
06/2004,10885.669488274263
07/2004,10462.045535336558
08/2004,10595.647402567885
09/2004,10060.951141473382
10/2004,9870.390271654205
11/2004,9693.053920914075
12/2004,9822.497516063208
01/2005,10368.95488375499
02/2005,10196.797224208414
03/2005,10346.76656657113
04/2005,10231.70908464401
05/2005,10987.024144978863
06/2005,11012.295017968208
07/2005,11357.826726184607
08/2005,11087.203250893735
09/2005,11378.891214037989
10/2005,11361.635859703674
11/2005,11707.838369551055
12/2005,11694.015975295188
01/2006,11392.663698365855
02/2006,11741.577473421527
03/2006,11610.827493576855
04/2006,11307.595453959813
05/2006,11054.229556984483
06/2006,11380.778153327057
07/2006,11526.829212778668
08/2006,11882.19350748816
09/2006,12058.979979320295
10/2006,12267.488099097487
11/2006,11699.53774014931
12/2006,12021.364577224474
01/2007,12459.227241200993
02/2007,12034.535144646434
03/2007,12165.38444554368
04/2007,12279.838716621593
05/2007,12571.523300889421
06/2007,12296.261614316534
07/2007,11801.532753713462
08/2007,12099.788966908982
09/2007,12165.758679696966
10/2007,12140.058043181323
11/2007,12214.534042587504
12/2007,12127.942948792548
01/2008,11376.057119090532
02/2008,11136.47977650662
03/2008,11021.463958934646
04/2008,11246.686212563796
05/2008,11464.286747472299
06/2008,10553.975766146952
07/2008,11018.757875682704
08/2008,11965.605309306788
09/2008,12117.05987771987
10/2008,12167.316283872104
11/2008,11904.724469541898
12/2008,10911.310629980055
01/2009,10973.892759648317
02/2009,10294.500848081207
03/2009,10144.308264796418
04/2009,10590.319450939049
05/2009,10497.007519229684
06/2009,10523.559179492731
07/2009,11213.130578724144
08/2009,11248.715247297325
09/2009,11330.729379472681
10/2009,11355.383017149967
11/2009,11596.388633689723
12/2009,12071.679046650137
01/2010,12351.302614880657
02/2010,13100.402930474034
03/2010,13708.187971888883
04/2010,13714.256902214622
05/2010,14137.397260084168
06/2010,13831.062282702174
07/2010,13781.363384757871
08/2010,13921.841249216604
09/2010,13705.005547168075
10/2010,13913.732618015545
11/2010,14622.897091932815
12/2010,14849.72106173031
01/2011,14277.944698601656
02/2011,14532.48436768456
03/2011,14351.260956674825
04/2011,14455.41169963982
05/2011,15319.015178489812
06/2011,14833.709496647987
07/2011,14837.097469330838
08/2011,14676.62035626754
09/2011,15180.974874426238
10/2011,15353.358160143303
11/2011,16465.992081917146
12/2011,17525.77537335204
01/2012,16972.357688392516
02/2012,17274.318933000937
03/2012,17923.008478128428
04/2012,18175.13381916356
05/2012,19120.500133021713
06/2012,19539.424228185653
07/2012,20545.727072166952
08/2012,19938.17168894439
09/2012,19761.943852130014
10/2012,19449.951876635172
11/2012,19784.263290379437
12/2012,19071.588443053563
01/2013,19643.71048992619
02/2013,20941.104722257336
03/2013,22540.581366034356
04/2013,22744.581975653913
05/2013,22353.743824449077
06/2013,22159.498798253746
07/2013,22751.966487585323
08/2013,21819.80602541973
09/2013,21686.384979032013
10/2013,22839.162474859753
11/2013,23259.991686575013
12/2013,23102.180460691612
01/2014,22386.62483787719
02/2014,22741.20895421885
03/2014,23283.74344930749
04/2014,23827.833519602846
05/2014,24706.267287601448
06/2014,24554.558783920696
07/2014,24229.218102821076
08/2014,25734.829725808067
09/2014,27117.923649934077
10/2014,28230.754638602546
11/2014,29881.213106694642
12/2014,30466.233081135833
01/2015,32374.979190418202
02/2015,33950.18052616544
03/2015,34794.01184080849
04/2015,33098.59507765707
05/2015,34135.68077793299
06/2015,32880.658435194186
07/2015,35416.425062591836
08/2015,32595.611999659555
09/2015,32778.991929176045
10/2015,35220.08312877842
11/2015,36346.60465311088
12/2015,36355.150659706036
01/2016,36475.013000539824
02/2016,36675.52732824938
03/2016,36731.98652995699
04/2016,36178.62543779569
05/2016,37278.17571008018
06/2016,39412.04986827587
07/2016,39055.87701969218
08/2016,38801.21802800559
09/2016,38079.34860691217
10/2016,38523.93367042458
11/2016,37966.850618603734
12/2016,39483.07450078442
01/2017,39342.31151809363
02/2017,41863.08172907847
03/2017,41335.024388444865
04/2017,40859.52256707386
05/2017,40884.32759978853
06/2017,39285.359875208764
07/2017,38487.01463658932
08/2017,37767.48125374991
09/2017,37554.63814006459
10/2017,37473.85835641177
11/2017,38860.46756942696
12/2017,39245.445975007206
01/2018,38421.152627509175
02/2018,36202.1950626281
03/2018,35555.88946510368
04/2018,34774.671464524516
05/2018,35340.379936753365
06/2018,37060.126803035746
07/2018,38294.88658760205
08/2018,38770.052749411305
09/2018,39373.328546534125
10/2018,41113.441009288785
11/2018,41966.37213426029
12/2018,37831.51390895987
01/2019,39619.787826992964
02/2019,40612.57614555826
03/2019,42858.840855694274
04/2019,44159.580636989485
05/2019,42815.8360294252
06/2019,44172.96574701458
07/2019,46137.58603010589
08/2019,47617.89366155417
09/2019,49102.45623899472
10/2019,47729.59803689577
11/2019,49138.85297173957
12/2019,49233.416950054656
01/2020,50207.09023383856
02/2020,46360.04240670545
03/2020,43929.1377412401
04/2020,47346.37613872669
05/2020,47016.80191521415
06/2020,46653.842836306925
07/2020,47113.73303023191
08/2020,48930.58149706897
09/2020,49078.285605020465
10/2020,47660.85113936657
11/2020,50050.132597723416
12/2020,49708.77167052403
01/2021,47755.203750031644
02/2021,47216.87187008789
03/2021,52864.16355567432
04/2021,52344.02526976516
05/2021,52750.61375775257
06/2021,53882.746896696255
07/2021,55004.99896332954
08/2021,55916.16520211275
09/2021,54759.837414638176
10/2021,56368.92642970801
11/2021,56948.29468886414
12/2021,63183.018989615906
01/2022,63219.10996971377
02/2022,62145.8597582544
03/2022,63649.64897066451
04/2022,68716.35732552256
05/2022,64818.84938813388
06/2022,65279.49516207186
07/2022,68640.92731556931
08/2022,68713.73866629697
09/2022,64726.44585748581
10/2022,69388.34558794429
11/2022,70418.5209597573
12/2022,66625.62765928105
01/2023,64879.19740490304
02/2023,64661.93407893353
03/2023,65817.90764121614
04/2023,67560.13083385285
05/2023,65141.32698692345
06/2023,65862.13385019262
07/2023,66297.55142251434
08/2023,64590.84783378639
09/2023,63093.07925134964
10/2023,62073.469283122926
11/2023,62808.055446245155
12/2023,63800.17304728202
01/2024,65897.75279506012
02/2024,67384.75108665311
03/2024,69701.79454169271
04/2024,69528.2993748174
05/2024,70302.93265160087
06/2024,71131.275669747
07/2024,71493.43184413727
08/2024,74016.2139851241
09/2024,74168.57508303826
