Date,S&P Euro High Yield Dividend Aristocrats
05/2014,10000
06/2014,9855.814974749323
07/2014,9374.954256019908
08/2014,9481.812193515334
09/2014,9410.085632730734
10/2014,9078.533265022323
11/2014,9501.573592915172
12/2014,9388.128522286468
01/2015,10188.831149820684
02/2015,10794.847398082413
03/2015,11046.622264509992
04/2015,10905.364853985217
05/2015,10888.531069311279
06/2015,10389.372758544976
07/2015,10862.18253677816
08/2015,10223.230622850033
09/2015,9972.187660103931
10/2015,10712.142282075682
11/2015,10937.568615970138
12/2015,10447.925053063018
01/2016,10160.286906243138
02/2016,10151.504062065433
03/2016,10488.911659225647
04/2016,10536.485398521554
05/2016,10775.81790236405
06/2016,10317.646197760376
07/2016,10779.477420771427
08/2016,10949.279074873746
09/2016,11081.753641220816
10/2016,11016.614213569495
11/2016,10745.077947742078
12/2016,11435.995023054966
01/2017,11137.378321012953
02/2017,11555.295323135475
03/2017,12186.928200248847
04/2017,12496.523457512993
05/2017,12896.142867598624
06/2017,12361.853180121496
07/2017,12437.239259313475
08/2017,12355.997950669693
09/2017,12632.657542267438
10/2017,12784.893508014346
11/2017,12708.043621459416
12/2017,12582.888091927101
01/2018,12676.57176315597
02/2018,12178.14535607114
03/2018,12095.440240064408
04/2018,12714.630754592696
05/2018,12730.732635585158
06/2018,12755.617360755325
07/2018,13076.923076923076
08/2018,12673.644148430067
09/2018,12560.199077801364
10/2018,12011.271316694725
11/2018,12037.619849227842
12/2018,11572.129107809415
01/2019,12268.16950889263
02/2019,12456.268755031839
03/2019,12628.266120178585
04/2019,13039.595989167827
05/2019,12728.536924540731
06/2019,13244.529019980971
07/2019,12880.772890287639
08/2019,12813.437751591891
09/2019,13454.585376564446
10/2019,13677.084095733002
11/2019,13903.242333308937
12/2019,14068.652565322403
01/2020,13856.400497694503
02/2020,12645.831808533998
03/2020,10193.954475591012
04/2020,11029.788479836054
05/2020,11320.354241381832
06/2020,11521.6277537876
07/2020,11444.777867232673
08/2020,11746.322184000586
09/2020,11446.241674595622
10/2020,10591.378174632218
11/2020,12134.963038864085
12/2020,12317.20705555149
01/2021,12216.936251189341
02/2021,12350.874624899363
03/2021,13227.695235307034
04/2021,13246.724731025397
05/2021,13611.212764400205
06/2021,13610.48086071873
07/2021,13934.714191612382
08/2021,14264.802751957843
09/2021,13610.48086071873
10/2021,13807.362951035644
11/2021,13581.936617141184
12/2021,14114.030593573887
01/2022,13601.698016541024
02/2022,12974.456561516505
03/2022,13070.3359437898
04/2022,13138.40298616702
05/2022,13027.885530264217
06/2022,11911.000512332577
07/2022,12395.520749469371
08/2022,11894.166727658641
09/2022,11056.868916050647
10/2022,11930.03000805094
11/2022,12678.767474200396
12/2022,12440.166874039376
01/2023,13323.574617580327
02/2023,13557.051891971018
03/2023,13599.502305496597
04/2023,14043.767840152237
05/2023,13556.319988289542
06/2023,13746.614945473177
07/2023,14084.754446314866
08/2023,13998.389811900754
09/2023,13614.140379126107
10/2023,13239.40569421064
11/2023,14259.679426187517
12/2023,14673.936909902657
01/2024,14864.231867086291
02/2024,14864.963770767767
03/2024,15429.993412866866
04/2024,15375.83254043768
05/2024,16123.838102905658
06/2024,15607.846007465418
07/2024,16204.347507867966
08/2024,16472.95615896948
09/2024,16727.65864012296
