Date,S&P Global Clean Energy
02/2007,10000
03/2007,10525.128770538762
04/2007,11143.491914690243
05/2007,11696.185381539033
06/2007,12096.957574995924
07/2007,12133.789917396143
08/2007,11886.655653391454
09/2007,12411.807316497592
10/2007,14077.068606588382
11/2007,13566.618902047958
12/2007,14634.386849718685
01/2008,11154.428433675863
02/2008,10955.341982952494
03/2008,10744.877945852126
04/2008,12025.533804879684
05/2008,12502.82619906738
06/2008,11528.708158249397
07/2008,11362.073371385528
08/2008,12317.87699568721
09/2008,9164.446903867212
10/2008,6170.898457975213
11/2008,5379.51236065619
12/2008,5375.160438808401
01/2009,5295.6384608401795
02/2009,4299.082561316477
03/2009,4692.485438492697
04/2009,5607.244703242206
05/2009,6031.71541669725
06/2009,5774.061361694952
07/2009,5895.7653321903
08/2009,5322.306649133304
09/2009,5699.367386795686
10/2009,5013.929161761355
11/2009,5102.846914006732
12/2009,5574.353813326043
01/2010,5055.736178884358
02/2010,4792.532662391161
03/2010,5085.9095752699095
04/2010,5057.27118503376
05/2010,4466.848471707902
06/2010,4358.534089689615
07/2010,4544.387278728957
08/2010,4486.141386153894
09/2010,4620.946296094828
10/2010,4471.350295902211
11/2010,4164.1111425328745
12/2010,4349.403245772811
01/2011,4421.7193443326605
02/2011,4543.9490328998145
03/2011,4842.4597982628
04/2011,4533.109712958897
05/2011,4308.642280457725
06/2011,4139.325529051881
07/2011,3797.2877691901
08/2011,3381.7671119216957
09/2011,2540.7366910444503
10/2011,2578.3313244876267
11/2011,2511.2839087551224
12/2011,2494.0585033267666
01/2012,2643.6646490913436
02/2012,2645.2520969525854
03/2012,2532.5312943529193
04/2012,2387.2349925039753
05/2012,2110.2286069320594
06/2012,2162.3062974608715
07/2012,1945.7546118570517
08/2012,1995.1813453507411
09/2012,1988.6919944239041
10/2012,1876.3807999995315
11/2012,1915.5917111837655
12/2012,2050.7349248747432
01/2013,2042.9702130059798
02/2013,2102.723211106996
03/2013,2189.1517117405933
04/2013,2442.7651547969463
05/2013,2618.9326747632967
06/2013,2542.628643808213
07/2013,2680.4354097333207
08/2013,2580.7481012668545
09/2013,2883.2845581232
10/2013,2948.289689527333
11/2013,2956.177718186532
12/2013,2911.8815634834323
01/2014,2987.1094178350027
02/2014,3150.7131294969304
03/2014,3129.5202140157103
04/2014,2964.250656299621
05/2014,3147.2429813598087
06/2014,3359.335330647655
07/2014,3259.664624212914
08/2014,3465.4499811495552
09/2014,3334.9391200509963
10/2014,3230.135690149819
11/2014,3190.310397035234
12/2014,3154.3958037292064
01/2015,3469.9380332864125
02/2015,3814.1211415905204
03/2015,4316.288260128637
04/2015,4363.5695852468525
05/2015,4326.748216854765
06/2015,3997.3091510727277
07/2015,3807.5464586544244
08/2015,3342.229643378503
09/2015,3195.8228633486137
10/2015,3526.9603927858416
11/2015,3498.0655470459574
12/2015,3582.7894512262046
01/2016,3146.1859707326416
02/2016,3081.1869997445856
03/2016,3240.7817112448465
04/2016,3215.6668114006716
05/2016,3098.9081035167324
06/2016,3181.1096742245013
07/2016,3292.5560727783036
08/2016,3327.0559114574226
09/2016,3276.0419963695713
10/2016,3243.033273074089
11/2016,3028.4429704288677
12/2016,3071.822695939108
01/2017,3140.1585386662596
02/2017,3330.382189501557
03/2017,3266.571697488601
04/2017,3174.3431063449407
05/2017,3156.0212787356627
06/2017,3111.736367721776
07/2017,3194.8528620992247
08/2017,3189.6579091968574
09/2017,3151.1508081355537
10/2017,3330.049562644666
11/2017,3132.449234397681
12/2017,3266.5911492457262
01/2018,3238.9490676449973
02/2018,3229.807687746297
03/2018,3236.5455922581505
04/2018,3444.786575340489
05/2018,3494.0604202742143
06/2018,3201.7280525959814
07/2018,3313.8325658816325
08/2018,3195.173403880928
09/2018,3172.4351120924443
10/2018,3068.7142284739534
11/2018,3376.0544640039593
12/2018,3133.814295888372
01/2019,3577.3061831879622
02/2019,3699.880322971534
03/2019,3775.02356489369
04/2019,3931.7973666507537
05/2019,3904.2146218147786
06/2019,4096.377686886984
07/2019,4215.88527465399
08/2019,4347.155952328948
09/2019,4397.656880052462
10/2019,4215.7092649195465
11/2019,4411.508207325653
12/2019,4634.088769965394
01/2020,4882.434709620167
02/2020,5032.200728259692
03/2020,3902.2334587499545
04/2020,4396.8355934136325
05/2020,4747.363578420622
06/2020,4973.063984044009
07/2020,5442.149606666962
