Date,S&P Global Dividend Aristocrats
08/2013,10000
09/2013,10450.924270392588
10/2013,10696.9011548902
11/2013,10566.747403107674
12/2013,10591.629378029798
01/2014,10465.58398000022
02/2014,10755.820521696483
03/2014,10975.265683569205
04/2014,11270.746666050087
05/2014,11594.652715622204
06/2014,11764.386145766712
07/2014,11728.315998922313
08/2014,12054.231481465436
09/2014,11962.274610600954
10/2014,12281.129020003016
11/2014,12468.59435485078
12/2014,12578.918016995034
01/2015,13545.938842360916
02/2015,14310.14157360219
03/2015,14498.121781845884
04/2015,14398.898599977007
05/2015,14363.012868589469
06/2015,13805.813251873966
07/2015,14160.481244405682
08/2015,13013.210590379296
09/2015,12704.044098493958
10/2015,13618.623673621683
11/2015,13748.271022624716
12/2015,12868.664829751095
01/2016,12528.367882574215
02/2016,12588.334426921454
03/2016,13261.93538214972
04/2016,13575.181985849356
05/2016,13541.041084615736
06/2016,13834.553828686863
07/2016,14507.350394019652
08/2016,14202.01343095199
09/2016,14396.378996405496
10/2016,14258.112087071382
11/2016,14424.458842064476
12/2016,15046.451735228347
01/2017,15022.206615572459
02/2017,15554.258823914783
03/2017,15541.07318393952
04/2017,15462.552941666489
05/2017,15368.488768804578
06/2017,15118.296251883618
07/2017,15063.849534185425
08/2017,14925.122746845613
09/2017,15088.860168203291
10/2017,15336.859165877044
11/2017,15531.329550800992
12/2017,15718.938484315682
01/2018,15564.402545275045
02/2018,15016.551403987758
03/2018,14851.433241811674
04/2018,15389.854743751308
05/2018,15540.840252669213
06/2018,15652.485395837804
07/2018,16008.174516531777
08/2018,15849.019436228913
09/2018,15984.028947214476
10/2018,15477.653333972836
11/2018,15813.063165926565
12/2018,14948.404038602102
01/2019,15893.75048016427
02/2019,16205.376022533675
03/2019,16445.03957436809
04/2019,16818.502526381682
05/2019,16154.25121822006
06/2019,16726.71480008952
07/2019,16844.223370004056
08/2019,16567.54380923682
09/2019,17645.052803570015
10/2019,17701.669392392552
11/2019,17971.263681346114
12/2019,18315.547878442612
01/2020,18305.878967295208
02/2020,16783.903815294325
03/2020,12820.727704961715
04/2020,13961.589957716817
05/2020,13604.074043952865
06/2020,13854.388945024253
07/2020,13226.4476212472
08/2020,13863.252102839122
09/2020,13515.707978047632
10/2020,13256.670906522237
11/2020,14874.16856262948
12/2020,15084.332860997722
01/2021,15273.839107391626
02/2021,15861.658745723566
03/2021,17234.628681563125
04/2021,17217.124642028626
05/2021,17629.410105144045
06/2021,17759.41184649154
07/2021,17636.24810519839
08/2021,17798.3099972757
09/2021,17808.742081108205
10/2021,17959.95699027985
11/2021,17674.81222327366
12/2021,18659.315271589807
01/2022,19108.625542629477
02/2022,18912.17245862534
03/2022,19483.626976089177
04/2022,19675.487989899088
05/2022,19870.99775612794
06/2022,19201.79351075748
07/2022,19768.45788226647
08/2022,19421.031821591365
09/2022,17995.924301810737
10/2022,18105.162449107793
11/2022,18797.485365557106
12/2022,18330.787329695377
01/2023,18992.468379860882
02/2023,18642.046448381072
03/2023,18139.65779212984
04/2023,18281.67474149817
05/2023,17715.45086753815
06/2023,17971.252034171906
07/2023,18410.847859077265
08/2023,18104.965270904613
09/2023,17802.285595066798
10/2023,17139.751722537956
11/2023,18113.445637178345
12/2023,19106.370871540046
01/2024,19090.102961223536
02/2024,18960.308872029836
03/2024,19481.077356202524
04/2024,19267.856760053677
05/2024,19712.531840583684
06/2024,19732.116823867706
07/2024,20722.43667203616
08/2024,21154.780115537225
09/2024,21518.023754290116
